呪術士ギルドのヤヤケは冒険者に頼みごとがあるようだ。			呪術士ギルドのヤヤケは冒険者に頼みごとがあるようだ。			声を聞きし者							
ま、まさに大驚失色……。ゴーレムどもは、エオルゼア最高峰たるソーム・アルに登り、彗星を呼び寄せようと……！？			ま、まさに大驚失色……。ゴーレムどもは、エオルゼア最高峰たるソーム・アルに登り、彗星を呼び寄せようと……！？			魔石は求める							
このままゴーレムを放置すれば、彗星は確実に落下する。……だが、ゴーレムの数はあまりにも多い。敵すべてを倒しきる前に、こちらの体力が尽きるだろう。			このままゴーレムを放置すれば、彗星は確実に落下する。……だが、ゴーレムの数はあまりにも多い。敵すべてを倒しきる前に、こちらの体力が尽きるだろう。			魔石は求める							
じゃあー　どーすればー　いいのー……？			じゃあー　どーすればー　いいのー……？			魔石は求める							
……ひとつ、手がありますわ……。ただ、待つのです。			……ひとつ、手がありますわ……。ただ、待つのです。			魔石は求める							
ゴーレムは、互いの魔石を求めて共食いを行っています。共食いがつづけば、倒すべき敵の数も減り、一体一体を撃破したときの成果も大きくなる……。			ゴーレムは、互いの魔石を求めて共食いを行っています。共食いがつづけば、倒すべき敵の数も減り、一体一体を撃破したときの成果も大きくなる……。			魔石は求める							
だ、だがよッォ！それってッェ、放っとけば放っとくほどッォ、ゴーレムがッァ、強くなっちまうってことだよなッァ……？			だ、だがよッォ！それってッェ、放っとけば放っとくほどッォ、ゴーレムがッァ、強くなっちまうってことだよなッァ……？			魔石は求める							
ええ、ですから、この作戦は、そうした強大なゴーレムを破壊できるかが鍵となります……。			ええ、ですから、この作戦は、そうした強大なゴーレムを破壊できるかが鍵となります……。			魔石は求める							
……Forename、鍵を握るのは君だ。共食いを繰り返して、強大化したゴーレムの王者……。それを破壊できる自信はあるかい？			……Forename、鍵を握るのは君だ。共食いを繰り返して、強大化したゴーレムの王者……。それを破壊できる自信はあるかい？			魔石は求める							
強大化したゴーレムを倒す自信はある？			強大化したゴーレムを倒す自信はある？			魔石は求める							
ありがとう……その答えが、僕らにも勇気をくれるんだ。君の決意に、僕らもつづこう……！どうか、君の横で戦わせてくれ。			ありがとう……その答えが、僕らにも勇気をくれるんだ。君の決意に、僕らもつづこう……！どうか、君の横で戦わせてくれ。			魔石は求める							
……なら、君に足りない自信は、僕らが背負ってみせる。僕はもう「破壊の力」だけに、責任を委ねはしない……！どうか、君の横で戦わせてくれ。			……なら、君に足りない自信は、僕らが背負ってみせる。僕はもう「破壊の力」だけに、責任を委ねはしない……！どうか、君の横で戦わせてくれ。			魔石は求める							
……ええ、Forenameと私たちなら、きっと、ゴーレムを破壊できるはずです。			……ええ、Forenameと私たちなら、きっと、ゴーレムを破壊できるはずです。			魔石は求める							
……よし、僕はもう一度、ドラヴァニアへ行ってくる。近隣の者へ、霊峰へなるべく近づかないよう呼びかけないと。ついでに、多少でもゴーレムの数を減らしてくるよ！			……よし、僕はもう一度、ドラヴァニアへ行ってくる。近隣の者へ、霊峰へなるべく近づかないよう呼びかけないと。ついでに、多少でもゴーレムの数を減らしてくるよ！			魔石は求める							
