幻術士ギルドのエ・スミ・ヤンは冒険者に頼みがあるようだ。			幻術士ギルドのエ・スミ・ヤンは冒険者に頼みがあるようだ。			偉人の後継者							
でも、私のわがままで……あなたを苦しめた……。ごめんなさい、身勝手な母親で……。			でも、私のわがままで……あなたを苦しめた……。ごめんなさい、身勝手な母親で……。			角尊の宝物							
お母さん！			お母さん！			角尊の宝物							
みんなと助けあい……強く生きて、あなたの宝物を見つけて……。			みんなと助けあい……強く生きて、あなたの宝物を見つけて……。			角尊の宝物							
Forename様、シルフィーさん、エ・スミ様……ありがとうございました。どうか、娘を……。			Forename様、シルフィーさん、エ・スミ様……ありがとうございました。どうか、娘を……。			角尊の宝物							
いや……いや……いやーーーー！！			いや……いや……いやーーーー！！			角尊の宝物							
……だめ、だめ……お母さんと……約束したんだ……。			……だめ、だめ……お母さんと……約束したんだ……。			角尊の宝物							
（★未使用／削除★）			（★未使用／削除★）			角尊の宝物							
ヴォイドゲート！？　どうして！			ヴォイドゲート！？　どうして！			角尊の宝物							
(-ヴォイドゲートから響く声-)スンスンスン……もう一息だったのに。でもでも、ほうら、聞くがいい……。			(-ヴォイドゲートから響く声-)スンスンスン……もう一息だったのに。でもでも、ほうら、聞くがいい……。			角尊の宝物							
母親に憑き、このときの到来を窺っていましたか……。			母親に憑き、このときの到来を窺っていましたか……。			角尊の宝物							
(-ヴォイドゲートから響く声-)娘よ娘、ひどい娘……。不幸者、お前が殺した、病弱な母親を連れまわして……！罪をあがないたくば、己を憎み、己を殺すがいい！			(-ヴォイドゲートから響く声-)娘よ娘、ひどい娘……。不幸者、お前が殺した、病弱な母親を連れまわして……！罪をあがないたくば、己を憎み、己を殺すがいい！			角尊の宝物							
私が……殺した……？私が……お母さんを……殺した？			私が……殺した……？私が……お母さんを……殺した？			角尊の宝物							
（★未使用／削除★）			（★未使用／削除★）			角尊の宝物							
（★未使用／削除★）			（★未使用／削除★）			角尊の宝物							
ガッティ、耳を貸しちゃダメ！			ガッティ、耳を貸しちゃダメ！			角尊の宝物							
お母さんを……殺したのは…………わ……た……し……？			お母さんを……殺したのは…………わ……た……し……？			角尊の宝物							
うわあああ！！			うわあああ！！			角尊の宝物							
……妖異の虚言に惑わされている……。Forename、シルフィー！ガッティの命が蝕まれる前に、あの妖異を退けるのです！			……妖異の虚言に惑わされている……。Forename、シルフィー！ガッティの命が蝕まれる前に、あの妖異を退けるのです！			角尊の宝物							
