ヴォロク連王宮のエレンヴィルは、冒険者たちを待っていたようだ。			ヴォロク連王宮のエレンヴィルは、冒険者たちを待っていたようだ。			継承の儀							
ってのは、ちょっとキツいか。ごめん、今のナシで。			ってのは、ちょっとキツいか。ごめん、今のナシで。			永久に生きる者たち							
おふくろ、ここにいるってことは、やっぱり……。			おふくろ、ここにいるってことは、やっぱり……。			永久に生きる者たち							
いやあ、何度も言おうと思ったんだけどさ。あんたを前にしたら、どうしても言い出せなくなっちゃって……。			いやあ、何度も言おうと思ったんだけどさ。あんたを前にしたら、どうしても言い出せなくなっちゃって……。			永久に生きる者たち							
察しのとおり、あたしは永久人さ！もうずっと前に、うっかり死んじまってねぇ……。			察しのとおり、あたしは永久人さ！もうずっと前に、うっかり死んじまってねぇ……。			永久に生きる者たち							
エレンヴィル……。			エレンヴィル……。			永久に生きる者たち							
おっと、本題本題！あんたたち、スフェーン様を止めにきたんだろ？それなら、ちょっと頼みたいことがあるんだ。			おっと、本題本題！あんたたち、スフェーン様を止めにきたんだろ？それなら、ちょっと頼みたいことがあるんだ。			永久に生きる者たち							
止める方法を知ってるのか！？			止める方法を知ってるのか！？			永久に生きる者たち							
理論上は……ってところだけどね。あんたたちが来てくれたおかげで、多少は現実味を帯びてきた。			理論上は……ってところだけどね。あんたたちが来てくれたおかげで、多少は現実味を帯びてきた。			永久に生きる者たち							
で、スフェーン様を止めるためにも、まずはあたしの願いを叶えてほしいんだよ。引き受けるか否か、話だけでも聞いてくれないかい？			で、スフェーン様を止めるためにも、まずはあたしの願いを叶えてほしいんだよ。引き受けるか否か、話だけでも聞いてくれないかい？			永久に生きる者たち							
よかった、さすがはエレネッシパの友達だ！それじゃあ、ちょっと場所を移させてもらうよ。			よかった、さすがはエレネッシパの友達だ！それじゃあ、ちょっと場所を移させてもらうよ。			永久に生きる者たち							
この先にいる警備員……機械兵が見えるかい？あの子をちょちょっとハッキングして、ジップラインをあんたたちでも使えるようにしておくよ。			この先にいる警備員……機械兵が見えるかい？あの子をちょちょっとハッキングして、ジップラインをあんたたちでも使えるようにしておくよ。			永久に生きる者たち							
ジップライン……？			ジップライン……？			永久に生きる者たち							
実に娯楽施設らしい移動手段さ！永久人はリビング・メモリー内なら自由に転移できるから、使われる頻度は高くないんだけどね。			実に娯楽施設らしい移動手段さ！永久人はリビング・メモリー内なら自由に転移できるから、使われる頻度は高くないんだけどね。			永久に生きる者たち							
