情報屋のワイモンドは、冒険者に紹介したい仕事があるようだ。			情報屋のワイモンドは、冒険者に紹介したい仕事があるようだ。			謎の事件屋							
フフフ、皆さんもうわかりましたね？私の変装に一番はじめに気づいてしまった、ヴァンネス殿……あなたが「怪盗白仮面」ですぞ！！			フフフ、皆さんもうわかりましたね？私の変装に一番はじめに気づいてしまった、ヴァンネス殿……あなたが「怪盗白仮面」ですぞ！！			るり色の婚約者							
(-全員-)……誰だって気づくわ！！！！！！！！！！			(-全員-)……誰だって気づくわ！！！！！！！！！！			るり色の婚約者							
まったくだ、なんなんだあの変態は……！俺に恥をかかせやがって！			まったくだ、なんなんだあの変態は……！俺に恥をかかせやがって！			るり色の婚約者							
……アラベラ？　なんだ、いるじゃないか！早くこちらに来い！！			……アラベラ？　なんだ、いるじゃないか！早くこちらに来い！！			るり色の婚約者							
あの手袋……ま……さか！？			あの手袋……ま……さか！？			るり色の婚約者							
事件屋くん、悪くない推理だったかもしれません……ね。しかし、予告は止められなかったようです。ホラ、このとおり「太陽の首飾り」はいただきましたよ。			事件屋くん、悪くない推理だったかもしれません……ね。しかし、予告は止められなかったようです。ホラ、このとおり「太陽の首飾り」はいただきましたよ。			るり色の婚約者							
ま、まさか……奴が「怪盗白仮面」か！？おい、お前ら、ボサっとしてないで捕まえろぉお！！			ま、まさか……奴が「怪盗白仮面」か！？おい、お前ら、ボサっとしてないで捕まえろぉお！！			るり色の婚約者							
ややっ、わざわざ追ってきたのですか……！？もしかして、私の…………ファンに？			ややっ、わざわざ追ってきたのですか……！？もしかして、私の…………ファンに？			るり色の婚約者							
銅刃団ご自慢のガーベラ部隊も、私の敵ではありません。……それでは紳士淑女の皆様、またお会いいたしましょう！			銅刃団ご自慢のガーベラ部隊も、私の敵ではありません。……それでは紳士淑女の皆様、またお会いいたしましょう！			るり色の婚約者							
本物のヴァンネスは見つかったみたいよ。なんだか、いろいろ大変だったわね……。			本物のヴァンネスは見つかったみたいよ。なんだか、いろいろ大変だったわね……。			るり色の婚約者							
ヒルディブランドさんの変装を信じた方がいたみたいで、「るり色の乙女」についての悪評が広まっているそうです。……そのせいで、婚約を取り下げられちゃいました！			ヒルディブランドさんの変装を信じた方がいたみたいで、「るり色の乙女」についての悪評が広まっているそうです。……そのせいで、婚約を取り下げられちゃいました！			るり色の婚約者							
フフ、相手方が断っているのですから仕方ありません。だから……今度は、自分がしたいようにしてみようと思います。……ヒルディブランドさん、あなたのおかげです。			フフ、相手方が断っているのですから仕方ありません。だから……今度は、自分がしたいようにしてみようと思います。……ヒルディブランドさん、あなたのおかげです。			るり色の婚約者							
……あんた、早く着替えなさいよ。			……あんた、早く着替えなさいよ。			るり色の婚約者							
それにしても、不思議ね。「るり色の乙女の唇をいただく」っていう予告状だったのに、今回の狙いは、アラベラさんの首飾りだったなんて。			それにしても、不思議ね。「るり色の乙女の唇をいただく」っていう予告状だったのに、今回の狙いは、アラベラさんの首飾りだったなんて。			るり色の婚約者							
そ、そういえば、あの「太陽の首飾り」は、太陽の女神アーゼマの意匠が凝らされているため、「アーゼマの口づけ」……という異名を持つと聞きました。			そ、そういえば、あの「太陽の首飾り」は、太陽の女神アーゼマの意匠が凝らされているため、「アーゼマの口づけ」……という異名を持つと聞きました。			るり色の婚約者							
