甲冑師ギルドのハ・ナンザは、冒険者に話したいことがあるようだ。			甲冑師ギルドのハ・ナンザは、冒険者に話したいことがあるようだ。			個性を求めて							
己の未熟を恥じ、過ちを悔いるがいいとな。それでも克己に励まぬならば、もはや見込みなし。腕のない職人になど、存在する価値はない。			己の未熟を恥じ、過ちを悔いるがいいとな。それでも克己に励まぬならば、もはや見込みなし。腕のない職人になど、存在する価値はない。			孤高なる甲冑師							
甲冑師ギルドのハ・ナンザは、新人甲冑師の作業の手伝いを頼みたいようだ。			甲冑師ギルドのハ・ナンザは、新人甲冑師の作業の手伝いを頼みたいようだ。			甲冑師の基礎の基礎							
新人甲冑師グラネーが作るはずだったブロンズプレートの納品が遅れているという。これを代わりに作り、グラネーを助けることが今回の課題となった。「ブロンズプレート」を12個調達し、甲冑師ギルドの「グラネー」に渡そう。			新人甲冑師グラネーが作るはずだったブロンズプレートの納品が遅れているという。これを代わりに作り、グラネーを助けることが今回の課題となった。「ブロンズプレート」を12個調達し、甲冑師ギルドの「グラネー」に渡そう。			甲冑師の基礎の基礎							
グラネーにブロンズプレートを12個渡すことができた。彼女は今回の作業を、初心者向けだとナメていたらしい。しかし、冒険者の実直な作業ぶりを見て、改心した。これでハ・ナンザに提示された課題は達成できたといえる。今後も、グラネーの手本であり続けられるよう、冒険者ギルドのチャ・モクリから受けられるギルドリーヴの「製作稼業」なども活用しながら、腕を磨いていこう。※甲冑師のレベルが15以上になると、ハ・ナンザから次の甲冑師クエストを受注することができます。			グラネーにブロンズプレートを12個渡すことができた。彼女は今回の作業を、初心者向けだとナメていたらしい。しかし、冒険者の実直な作業ぶりを見て、改心した。これでハ・ナンザに提示された課題は達成できたといえる。今後も、グラネーの手本であり続けられるよう、冒険者ギルドのチャ・モクリから受けられるギルドリーヴの「製作稼業」なども活用しながら、腕を磨いていこう。※甲冑師のレベルが15以上になると、ハ・ナンザから次の甲冑師クエストを受注することができます。			甲冑師の基礎の基礎							
グラネーにブロンズプレートを納品			グラネーにブロンズプレートを納品			甲冑師の基礎の基礎							
やあ、あんたか、あれから息災かい？だったら少しばっかり力を貸してほしいんだが。			やあ、あんたか、あれから息災かい？だったら少しばっかり力を貸してほしいんだが。			甲冑師の基礎の基礎							
回した仕事に手こずってる奴がいてね。誰かの助けが必要みたいなんだよ。それをあんたに頼みたい。			回した仕事に手こずってる奴がいてね。誰かの助けが必要みたいなんだよ。それをあんたに頼みたい。			甲冑師の基礎の基礎							
新入りのグラネーって職人がいるんだけど、これがまた不器用な奴でさ。マメに面倒見てやらないと、どうにもならない。			新入りのグラネーって職人がいるんだけど、これがまた不器用な奴でさ。マメに面倒見てやらないと、どうにもならない。			甲冑師の基礎の基礎							
本当なら基礎中の基礎くらい、助けなしに作れるよう、早くなってほしいんだが。			本当なら基礎中の基礎くらい、助けなしに作れるよう、早くなってほしいんだが。			甲冑師の基礎の基礎							
全員があんたくらい仕事をこなせると、ギルドとしては、ずいぶん楽なんだけどねぇ。			全員があんたくらい仕事をこなせると、ギルドとしては、ずいぶん楽なんだけどねぇ。			甲冑師の基礎の基礎							
