クガネのヒルディブランドは、シグレの帰りを待っているようだ。			クガネのヒルディブランドは、シグレの帰りを待っているようだ。			薬に侵されし最強の男							
ヒルディブランドと話した。ナマズオの匂いでダイゴロウの鼻がやられてしまったようで、ここから先は自分達で手がかりを掴むしかなさそうだ。門前侍町で、こそドロ一匹オオカミの手がかりを探そう。			ヒルディブランドと話した。ナマズオの匂いでダイゴロウの鼻がやられてしまったようで、ここから先は自分達で手がかりを掴むしかなさそうだ。門前侍町で、こそドロ一匹オオカミの手がかりを探そう。			近接の脅威							
二日酔いなナマズオを見つけた。目覚めたナマズオに話を聞いたところ、こそドロ一匹オオカミの行方を知っているという。時を同じくして、ヒルディブランドも、居場所をキャッチしたといい、方角を示すが、ナマズオとヒルディブランドの示した方角は、真反対だった。改めて、門前侍町で、こそドロ一匹オオカミの手がかりを探そう。			二日酔いなナマズオを見つけた。目覚めたナマズオに話を聞いたところ、こそドロ一匹オオカミの行方を知っているという。時を同じくして、ヒルディブランドも、居場所をキャッチしたといい、方角を示すが、ナマズオとヒルディブランドの示した方角は、真反対だった。改めて、門前侍町で、こそドロ一匹オオカミの手がかりを探そう。			近接の脅威							
脱ぎ捨てられた手袋を見つけた。こそドロ一匹オオカミの手がかりかもしれない。門前侍町の「ヨウジンボウ」に報告しよう。			脱ぎ捨てられた手袋を見つけた。こそドロ一匹オオカミの手がかりかもしれない。門前侍町の「ヨウジンボウ」に報告しよう。			近接の脅威							
ヨウジンボウに報告した。脱ぎ捨てられた手袋をダイゴロウに嗅がせれば、また臭気を辿れるようになるかもしれないと言う。門前侍町の「ダイゴロウ」に脱ぎ捨てられた手袋を渡して嗅がせよう。			ヨウジンボウに報告した。脱ぎ捨てられた手袋をダイゴロウに嗅がせれば、また臭気を辿れるようになるかもしれないと言う。門前侍町の「ダイゴロウ」に脱ぎ捨てられた手袋を渡して嗅がせよう。			近接の脅威							
ダイゴロウに脱ぎ捨てられた手袋を渡して嗅がせたところ、こそドロ一匹オオカミと遭遇することに成功し、見事、ソボロ助広を取り戻し、こそドロ一匹オオカミを捕まえることに成功したヒルディブランドたち。ヨウジンボウは、ソボロ助広が本物であることを確かめると、先にクガネに戻って返しておくといい、去っていった。冒険者たちもクガネへ向かい、「ミヤマギ」に事の顛末を話そう。			ダイゴロウに脱ぎ捨てられた手袋を渡して嗅がせたところ、こそドロ一匹オオカミと遭遇することに成功し、見事、ソボロ助広を取り戻し、こそドロ一匹オオカミを捕まえることに成功したヒルディブランドたち。ヨウジンボウは、ソボロ助広が本物であることを確かめると、先にクガネに戻って返しておくといい、去っていった。冒険者たちもクガネへ向かい、「ミヤマギ」に事の顛末を話そう。			近接の脅威							
ミヤマギと話し、事の顛末を伝えた。そこへアケボノもやってきたが、ヨウジンボウは戻っておらず、ソボロ助広を取り逃げされてしまったことが発覚し、またもやアケボノを激怒させてしまう。だが、こそドロ一匹オオカミを捕らえた功績を認められ、シグレは赤誠組への入隊が叶う。クガネの「シグレ」と話し、今後について検討しよう。			ミヤマギと話し、事の顛末を伝えた。そこへアケボノもやってきたが、ヨウジンボウは戻っておらず、ソボロ助広を取り逃げされてしまったことが発覚し、またもやアケボノを激怒させてしまう。だが、こそドロ一匹オオカミを捕らえた功績を認められ、シグレは赤誠組への入隊が叶う。クガネの「シグレ」と話し、今後について検討しよう。			近接の脅威							
シグレと話した。ヨウジンボウの目撃情報を集めると語るシグレ。進展があったら、再び協力するとしよう。			シグレと話した。ヨウジンボウの目撃情報を集めると語るシグレ。進展があったら、再び協力するとしよう。			近接の脅威							
七彩溝のヒルディブランドと話す			七彩溝のヒルディブランドと話す			近接の脅威							
ヒルディブランドと再度話す			ヒルディブランドと再度話す			近接の脅威							
こそドロ一匹オオカミの手がかりを探す			こそドロ一匹オオカミの手がかりを探す			近接の脅威							
こそドロ一匹オオカミの手がかりを再度探す			こそドロ一匹オオカミの手がかりを再度探す			近接の脅威							
ヨウジンボウに報告			ヨウジンボウに報告			近接の脅威							
ダイゴロウに脱ぎ捨てられた手袋を渡す			ダイゴロウに脱ぎ捨てられた手袋を渡す			近接の脅威							
クガネのミヤマギと話す			クガネのミヤマギと話す			近接の脅威							
シグレと話す			シグレと話す			近接の脅威							
