聖ガンリオル占星院のジャンヌキナルは、冒険者に知らせたいことがあるようだ。			聖ガンリオル占星院のジャンヌキナルは、冒険者に知らせたいことがあるようだ。			東風吹き込む占星院							
フォルルモルの妨害を止めることに成功し、シャーレアン式の占星術をイシュガルドに広める突破口を開くことができた。「六天座」のすべての門を開いた占星術師として、己の運命を切り開いていこう。※引き続き、アドネール占星台のジャンヌキナルから、新たなジョブクエストを受注することができます。			フォルルモルの妨害を止めることに成功し、シャーレアン式の占星術をイシュガルドに広める突破口を開くことができた。「六天座」のすべての門を開いた占星術師として、己の運命を切り開いていこう。※引き続き、アドネール占星台のジャンヌキナルから、新たなジョブクエストを受注することができます。			「槍」試練に備えよ							
ジャンヌキナルと話す			ジャンヌキナルと話す			「槍」試練に備えよ							
キャンプ・ドラゴンヘッドのレヴェヴァと話す			キャンプ・ドラゴンヘッドのレヴェヴァと話す			「槍」試練に備えよ							
スチールヴィジルのレヴェヴァと話す			スチールヴィジルのレヴェヴァと話す			「槍」試練に備えよ							
スチールヴィジルのジャンヌキナルに襲撃者の書簡を渡す			スチールヴィジルのジャンヌキナルに襲撃者の書簡を渡す			「槍」試練に備えよ							
アドネール占星台の指定地点で待機			アドネール占星台の指定地点で待機			「槍」試練に備えよ							
神殿騎士を尾行せよ！			神殿騎士を尾行せよ！			「槍」試練に備えよ							
偽の神殿騎士をひそかに倒せ！			偽の神殿騎士をひそかに倒せ！			「槍」試練に備えよ							
刺客たちを討伐せよ！			刺客たちを討伐せよ！			「槍」試練に備えよ							
「襲撃者の書簡」を入手せよ！			「襲撃者の書簡」を入手せよ！			「槍」試練に備えよ							
修練に出向く前に、レヴェヴァ師が、貴方に話しておきたいことがあるそうです。二階にいらっしゃるので、声をかけて差し上げてください。			修練に出向く前に、レヴェヴァ師が、貴方に話しておきたいことがあるそうです。二階にいらっしゃるので、声をかけて差し上げてください。			「槍」試練に備えよ							
さあForename、これで準備は整った。残る「氷天座」の門を開きに行くぞ。			さあForename、これで準備は整った。残る「氷天座」の門を開きに行くぞ。			「槍」試練に備えよ							
クルザス中央高地の、キャンプ・ドラゴンヘッドで待ち合わせよう。「ジャンヌキナル」にも、声をかけてくれ。			クルザス中央高地の、キャンプ・ドラゴンヘッドで待ち合わせよう。「ジャンヌキナル」にも、声をかけてくれ。			「槍」試練に備えよ							
おや、レヴェヴァ師は、もう出発されたのですね。では私たちも、「キャンプ・ドラゴンヘッド」へ向かいましょう。			おや、レヴェヴァ師は、もう出発されたのですね。では私たちも、「キャンプ・ドラゴンヘッド」へ向かいましょう。			「槍」試練に備えよ							
私たちも、「キャンプ・ドラゴンヘッド」へ向かいましょう。			私たちも、「キャンプ・ドラゴンヘッド」へ向かいましょう。			「槍」試練に備えよ							
よし、これで揃ったな。「氷天座」の門は、スチールヴィジルで開く。さっそく、向かうとしよう……。			よし、これで揃ったな。「氷天座」の門は、スチールヴィジルで開く。さっそく、向かうとしよう……。			「槍」試練に備えよ							
(-厳めしい声-)貴様らは、聖ガンリオル占星院の者だな？この星図の持ち主を知らないか？先日、何者かに襲撃された占星術士が持っていた品だ。			(-厳めしい声-)貴様らは、聖ガンリオル占星院の者だな？この星図の持ち主を知らないか？先日、何者かに襲撃された占星術士が持っていた品だ。			「槍」試練に備えよ							
