解放軍の将校は、冒険者を待っていたようだ。			解放軍の将校は、冒険者を待っていたようだ。			ウェポン襲来							
図に乗るなよ……ガ、ガイウスゥゥゥ……！！			図に乗るなよ……ガ、ガイウスゥゥゥ……！！			輝く命たち							
兵の命を使い捨てる「ウェポン」の設計思想……自らは決して危地に赴かず、保身に走る卑怯者の証。ゆえにこそ、生きていると確信しておったぞ……？			兵の命を使い捨てる「ウェポン」の設計思想……自らは決して危地に赴かず、保身に走る卑怯者の証。ゆえにこそ、生きていると確信しておったぞ……？			輝く命たち							
あと少し……あと少しで我が計画は成就していた！あの力があれば、皇位を得ることなど容易かったはずなのだ！			あと少し……あと少しで我が計画は成就していた！あの力があれば、皇位を得ることなど容易かったはずなのだ！			輝く命たち							
それが……それがァァァァ！貴様らのせいでェェェェェ！			それが……それがァァァァ！貴様らのせいでェェェェェ！			輝く命たち							
アルフォンスはどこにいる？			アルフォンスはどこにいる？			輝く命たち							
ンフ……			ンフ……			輝く命たち							
ンフフフフ……			ンフフフフ……			輝く命たち							
ヌフフフフフフ……！			ヌフフフフフフ……！			輝く命たち							
わからんのか？あの小僧なら、おるではないか……貴様の目の前になァ……。			わからんのか？あの小僧なら、おるではないか……貴様の目の前になァ……。			輝く命たち							
……どういうことだ。			……どういうことだ。			輝く命たち							
やれやれ、察しの悪いヤツだよ、まったく……！ならば、愚かな貴様にもわかるように、説明してやろうじゃあないか！			やれやれ、察しの悪いヤツだよ、まったく……！ならば、愚かな貴様にもわかるように、説明してやろうじゃあないか！			輝く命たち							
エメラルドまでの試作機は、抽出した戦闘データの不備なのか、まるで怨念にとりつかれたように、安定しないところがあってな。改善策として思考能力を与えてみたのだよ。			エメラルドまでの試作機は、抽出した戦闘データの不備なのか、まるで怨念にとりつかれたように、安定しないところがあってな。改善策として思考能力を与えてみたのだよ。			輝く命たち							
そうッ！！ダイヤウェポンに搭載されていたのは、戦闘データなどではないッ！			そうッ！！ダイヤウェポンに搭載されていたのは、戦闘データなどではないッ！			輝く命たち							
あの小生意気な小僧の……			あの小生意気な小僧の……			輝く命たち							
「こ・こ」さッ！			「こ・こ」さッ！			輝く命たち							
あの小僧はなァ……私の発想と技術力によって、最高の「デバイス」となったのだ！これぞ神にも等しい技巧、つまり、アートなのだよ！			あの小僧はなァ……私の発想と技術力によって、最高の「デバイス」となったのだ！これぞ神にも等しい技巧、つまり、アートなのだよ！			輝く命たち							
