ラストスタンドのグ・ラハ・ティアは、冒険者の返事が気になるようだ。			ラストスタンドのグ・ラハ・ティアは、冒険者の返事が気になるようだ。			明日への一歩							
命令聞かない手下、喰われル。命令聞く手下、負けて喰われルまで戦わされル。俺はそんな主、嫌ダ。			命令聞かない手下、喰われル。命令聞く手下、負けて喰われルまで戦わされル。俺はそんな主、嫌ダ。			誰かの憧憬							
あら、もう聞き込みが済んだの？……それとも、私たちが話し込んでしまったかしら。			あら、もう聞き込みが済んだの？……それとも、私たちが話し込んでしまったかしら。			誰かの憧憬							
この環境だと、時間の流れがわかりにくくていけないわ。第一世界では文明によってそれを補っていたけれど、ここには昼夜を示すものも、年月を記すものも、何もない……。			この環境だと、時間の流れがわかりにくくていけないわ。第一世界では文明によってそれを補っていたけれど、ここには昼夜を示すものも、年月を記すものも、何もない……。			誰かの憧憬							
闇の氾濫が起きたのが約一万年前だとして……そのことを正確に認識している妖異がいたとしたら、驚異的な精神力の持ち主と言えるでしょうね。			闇の氾濫が起きたのが約一万年前だとして……そのことを正確に認識している妖異がいたとしたら、驚異的な精神力の持ち主と言えるでしょうね。			誰かの憧憬							
無事に戻ってきたか。こちらも、特に問題なしだ。			無事に戻ってきたか。こちらも、特に問題なしだ。			誰かの憧憬							
スカルミリョーネをメモリアに変えた件が効いたのか……雑魚どもは、こちらの前に姿を見せようともしない。ほかの領域の妖異も、これくらい聞き分けが良いといいんだがな。			スカルミリョーネをメモリアに変えた件が効いたのか……雑魚どもは、こちらの前に姿を見せようともしない。ほかの領域の妖異も、これくらい聞き分けが良いといいんだがな。			誰かの憧憬							
こいつらときたら、よくもまあ次々と疑問が湧いてくるものだ。もっとエーテルを喰わせてもらうべきだったか……？			こいつらときたら、よくもまあ次々と疑問が湧いてくるものだ。もっとエーテルを喰わせてもらうべきだったか……？			誰かの憧憬							
Forename、よく戻ってくれた。妖異たちから、何か聞き出すことはできただろうか？			Forename、よく戻ってくれた。妖異たちから、何か聞き出すことはできただろうか？			誰かの憧憬							
なるほど……ゴルベーザは四天王を筆頭に、数多くの配下を従えているというのだな？			なるほど……ゴルベーザは四天王を筆頭に、数多くの配下を従えているというのだな？			誰かの憧憬							
四天王を差し向けて周辺領域を襲わせているという話も、スカルミリョーネの動きと符合しているわね。			四天王を差し向けて周辺領域を襲わせているという話も、スカルミリョーネの動きと符合しているわね。			誰かの憧憬							
だが、将であるゴルベーザが、表に姿を現さないというのであれば、何か手を考える必要がある。			だが、将であるゴルベーザが、表に姿を現さないというのであれば、何か手を考える必要がある。			誰かの憧憬							
各地で暴れているという四天王を狙うか……あるいは、奴らの軍勢から逃げ出した者を探して、情報を引き出すか……。			各地で暴れているという四天王を狙うか……あるいは、奴らの軍勢から逃げ出した者を探して、情報を引き出すか……。			誰かの憧憬							
