忘れられた騎士亭のアルドランは、冒険者に任せたい手配書があるようだ。			忘れられた騎士亭のアルドランは、冒険者に任せたい手配書があるようだ。			イシュガルドのリスキーモブ							
冒険者居住区エンピレアムへは、雲霧街の係員「トメリン」がご案内しております。英雄である貴方にも、ぜひ一度訪れていただきたい！			冒険者居住区エンピレアムへは、雲霧街の係員「トメリン」がご案内しております。英雄である貴方にも、ぜひ一度訪れていただきたい！			開かれしエンピレアム							
英雄殿！もしかして、新たに整備されたエンピレアムにご興味が？よければ、自分がご案内しますよ！			英雄殿！もしかして、新たに整備されたエンピレアムにご興味が？よければ、自分がご案内しますよ！			開かれしエンピレアム							
英雄殿、またいらしてくださったんですね！もしかして、新たに整備されたエンピレアムにご興味が？どうぞどうぞ、ご案内いたしますよ！			英雄殿、またいらしてくださったんですね！もしかして、新たに整備されたエンピレアムにご興味が？どうぞどうぞ、ご案内いたしますよ！			開かれしエンピレアム							
詳細なご紹介は、エンピレアム内の「居住区の管理人」にお尋ねくださいね！			詳細なご紹介は、エンピレアム内の「居住区の管理人」にお尋ねくださいね！			開かれしエンピレアム							
「エンピレアム」へ移動しますか？			「エンピレアム」へ移動しますか？			開かれしエンピレアム							
エンピレアムへようこそ！「輝ける天上」の名を冠するこの地区は、イシュガルド復興計画の一環として整備されました。			エンピレアムへようこそ！「輝ける天上」の名を冠するこの地区は、イシュガルド復興計画の一環として整備されました。			開かれしエンピレアム							
竜詩戦争終結に貢献した者たちを称え、皇都に諸外国の人々をお迎えするための、冒険者居住区です！			竜詩戦争終結に貢献した者たちを称え、皇都に諸外国の人々をお迎えするための、冒険者居住区です！			開かれしエンピレアム							
もちろん冒険者である英雄様も、土地やアパルトメントを購入いただくことが可能ですよ。			もちろん冒険者である英雄様も、土地やアパルトメントを購入いただくことが可能ですよ。			開かれしエンピレアム							
手続きについて、より詳細な解説をお望みでしたら、「居住区担当官」にお声がけくださいね！			手続きについて、より詳細な解説をお望みでしたら、「居住区担当官」にお声がけくださいね！			開かれしエンピレアム							
エンピレアムにご興味がおありですか？手続きについて、より詳細な解説をお望みでしたら、「居住区担当官」にお声がけくださいね！			エンピレアムにご興味がおありですか？手続きについて、より詳細な解説をお望みでしたら、「居住区担当官」にお声がけくださいね！			開かれしエンピレアム							
英雄殿、エンピレアムはご覧いただけましたか？お気に召したらいいのですが！			英雄殿、エンピレアムはご覧いただけましたか？お気に召したらいいのですが！			開かれしエンピレアム							
この国は長らく鎖国を続けていたため……異国の皆様に、この居住区を気に入っていただけるか、期待半分、不安半分でしてね。			この国は長らく鎖国を続けていたため……異国の皆様に、この居住区を気に入っていただけるか、期待半分、不安半分でしてね。			開かれしエンピレアム							
英雄殿も機会があれば、ぜひ見て回ってみてください。皇都の民は、みな貴方をお待ちしております！			英雄殿も機会があれば、ぜひ見て回ってみてください。皇都の民は、みな貴方をお待ちしております！			開かれしエンピレアム							
