流星の間のリムサ・ロミンサの駐在武官は、冒険者に頼みたいことがあるようだ。			流星の間のリムサ・ロミンサの駐在武官は、冒険者に頼みたいことがあるようだ。			いざ、出航の時							
種の枠を超えて、すべてを救おうと戦った貴殿らのように、一層、我らも力を尽くすときでござる。			種の枠を超えて、すべてを救おうと戦った貴殿らのように、一層、我らも力を尽くすときでござる。			融和への船出							
フスィーッ……偽りの神の呪縛から解放されてから、私たちは、自分の心で考えようとしてこなかった。			フスィーッ……偽りの神の呪縛から解放されてから、私たちは、自分の心で考えようとしてこなかった。			融和への船出							
信徒だった時のように、司祭様の思想に従っているだけの生き方が、楽だったんだ。だが、それも今日でやめにしよう。			信徒だった時のように、司祭様の思想に従っているだけの生き方が、楽だったんだ。だが、それも今日でやめにしよう。			融和への船出							
海嘯派の説得は、私に任せてもらいたい。一族を憂いながら果てた蒼茫の母のため、できることをすると……そう、己の心で決めたのだ。			海嘯派の説得は、私に任せてもらいたい。一族を憂いながら果てた蒼茫の母のため、できることをすると……そう、己の心で決めたのだ。			融和への船出							
フッ……承知。では、ともにサプサ産卵地へ戻るでござる。			フッ……承知。では、ともにサプサ産卵地へ戻るでござる。			融和への船出							
冒険者殿、貴殿には、どれだけ礼を尽くしても足りませぬ。いつか融和派も海嘯派もなくなった時、一族皆で、貴殿をおもてなしできる日が来るよう、これからも励むでござる。			冒険者殿、貴殿には、どれだけ礼を尽くしても足りませぬ。いつか融和派も海嘯派もなくなった時、一族皆で、貴殿をおもてなしできる日が来るよう、これからも励むでござる。			融和への船出							
皆、それぞれの場所へと戻って行ったか。			皆、それぞれの場所へと戻って行ったか。			融和への船出							
コボルド族との和議から始まった、獣人たちとの融和も、これでひとつの節目を迎えることができるだろう。			コボルド族との和議から始まった、獣人たちとの融和も、これでひとつの節目を迎えることができるだろう。			融和への船出							
無論、我らが互いに受け入れ合うまでには、時間を要するだろう。「自分と違う存在」に恐怖心を抱くのは、人も獣人も同じだ。			無論、我らが互いに受け入れ合うまでには、時間を要するだろう。「自分と違う存在」に恐怖心を抱くのは、人も獣人も同じだ。			融和への船出							
だが、個々の違いを作るのは、種族や生まれの違いではない。同じ肌の色の者同士ですら、争い続けてきたのが人の歴史。同族であっても、ひとりひとりは、別の心を持つ違う生き物なのだ。			だが、個々の違いを作るのは、種族や生まれの違いではない。同じ肌の色の者同士ですら、争い続けてきたのが人の歴史。同族であっても、ひとりひとりは、別の心を持つ違う生き物なのだ。			融和への船出							
故に、自分と相手の「違い」を受け入れ、互いを知ろうと言葉を交わすことができるようになれば……種の違いを超え、手を取り合って生きていけるようになるはず。			故に、自分と相手の「違い」を受け入れ、互いを知ろうと言葉を交わすことができるようになれば……種の違いを超え、手を取り合って生きていけるようになるはず。			融和への船出							
そのためにまず、私が最初にするべきことは、自国の民とじっくり時間をかけて話し合うことだろう。			そのためにまず、私が最初にするべきことは、自国の民とじっくり時間をかけて話し合うことだろう。			融和への船出							
誰かに強制された「融和」ではなく、皆が願う「融和」を実現するために。			誰かに強制された「融和」ではなく、皆が願う「融和」を実現するために。			融和への船出							
