弓術士ギルドのルシアヌは、新しい技を学ぶ方法を教えようとしているようだ。			弓術士ギルドのルシアヌは、新しい技を学ぶ方法を教えようとしているようだ。			響きあうふたつの音色							
その戦果は、同盟軍から勲章を授与されたほどです。……まあ、本人はまったく興味を示しませんでしたがね。			その戦果は、同盟軍から勲章を授与されたほどです。……まあ、本人はまったく興味を示しませんでしたがね。			蒼天に響く三重奏							
(-新米の吟遊詩人-)本当に、ギドゥロ先輩には何度も助けられました……。私たちも同じ吟遊詩人なのに……情けないばかりです。			(-新米の吟遊詩人-)本当に、ギドゥロ先輩には何度も助けられました……。私たちも同じ吟遊詩人なのに……情けないばかりです。			蒼天に響く三重奏							
彼らは、俺の部下です。ともに戦い、一定の戦果は挙げてくれたのですが……。			彼らは、俺の部下です。ともに戦い、一定の戦果は挙げてくれたのですが……。			蒼天に響く三重奏							
敵に押し込まれたときに、戦歌が乱れてしまい、本領を発揮できなかった場面があったのを悔いているんですよ。			敵に押し込まれたときに、戦歌が乱れてしまい、本領を発揮できなかった場面があったのを悔いているんですよ。			蒼天に響く三重奏							
……なるほど。戦歌は、仲間を想う気持ちが自然と沸き立ったとき、その想いを歌にのせて届けることで、真価を発揮する。			……なるほど。戦歌は、仲間を想う気持ちが自然と沸き立ったとき、その想いを歌にのせて届けることで、真価を発揮する。			蒼天に響く三重奏							
お主たちが、仲間を想っていなかったわけではなかろう。しかし、その気持ちを、死の恐怖が上回ってしまったことで、戦歌も力を失ってしまったのだろうな……。			お主たちが、仲間を想っていなかったわけではなかろう。しかし、その気持ちを、死の恐怖が上回ってしまったことで、戦歌も力を失ってしまったのだろうな……。			蒼天に響く三重奏							
本当なら、先輩であるギドゥロに指導してほしいのですが、いかんせん、あの性格ですから、俺が何度どやしつけても……。			本当なら、先輩であるギドゥロに指導してほしいのですが、いかんせん、あの性格ですから、俺が何度どやしつけても……。			蒼天に響く三重奏							
彼らの演奏は粋じゃない、とでも言って放り出した……といったところかの？			彼らの演奏は粋じゃない、とでも言って放り出した……といったところかの？			蒼天に響く三重奏							
おや、図星か……。しかし、今回にかぎってはギドゥロの言い分にも一理ある。			おや、図星か……。しかし、今回にかぎってはギドゥロの言い分にも一理ある。			蒼天に響く三重奏							
戦歌で大切なのは「心」だ。心なき歌では、味方を激励することなど到底できぬ。それが実感できぬうちは……。			戦歌で大切なのは「心」だ。心なき歌では、味方を激励することなど到底できぬ。それが実感できぬうちは……。			蒼天に響く三重奏							
……ふむ。ならば、心を込めた戦歌というものを直接感じてみるか？幸い、優れた吟遊詩人が、ここにひとり……。			……ふむ。ならば、心を込めた戦歌というものを直接感じてみるか？幸い、優れた吟遊詩人が、ここにひとり……。			蒼天に響く三重奏							
どうだろう……。彼らに、お主の歌を聞かせてやってはくれぬか？			どうだろう……。彼らに、お主の歌を聞かせてやってはくれぬか？			蒼天に響く三重奏							
それが叶うなら、俺からもぜひお願いしたい！俺やギドゥロが、あなたの活躍を幾度も話すものですから、あなたは、新米たちにとっても憧れの存在なんです！			それが叶うなら、俺からもぜひお願いしたい！俺やギドゥロが、あなたの活躍を幾度も話すものですから、あなたは、新米たちにとっても憧れの存在なんです！			蒼天に響く三重奏							
