オサード小大陸東岸のソロバンは、冒険者に仕事を紹介してくれるようだ。			オサード小大陸東岸のソロバンは、冒険者に仕事を紹介してくれるようだ。			鬼の棲む島							
ソロバンさん、本当に碧のタマミズに帰らないのでっすか？			ソロバンさん、本当に碧のタマミズに帰らないのでっすか？			ただ、春の夜の夢のごとし							
次の玄武様になるって、約束しちゃったからねぇ～。			次の玄武様になるって、約束しちゃったからねぇ～。			ただ、春の夜の夢のごとし							
(-玄武の声-)玄武襲名のための修行は、長く辛いものとなろう。しばらくは社を出ることすら叶わぬと思え。いくら、降霊術の効果が切れるまで五百年はあるとはいえな。			(-玄武の声-)玄武襲名のための修行は、長く辛いものとなろう。しばらくは社を出ることすら叶わぬと思え。いくら、降霊術の効果が切れるまで五百年はあるとはいえな。			ただ、春の夜の夢のごとし							
そうだねぇ～。じゃあ悪いけど、まだまだ帰れないって、「ブンチン」様に伝えておいてくれるかなぁ～？			そうだねぇ～。じゃあ悪いけど、まだまだ帰れないって、「ブンチン」様に伝えておいてくれるかなぁ～？			ただ、春の夜の夢のごとし							
って、玄武さまぁ～！！あと五百年もオイラの中にいる気なのぉ～！？てっきりすぐ消えるのかと思ってたよぉ～！！！			って、玄武さまぁ～！！あと五百年もオイラの中にいる気なのぉ～！？てっきりすぐ消えるのかと思ってたよぉ～！！！			ただ、春の夜の夢のごとし							
(-玄武の声-)なんじゃとぉ！？ワシがおったら迷惑だとでも言う気か！このノロマな亀め！			(-玄武の声-)なんじゃとぉ！？ワシがおったら迷惑だとでも言う気か！このノロマな亀め！			ただ、春の夜の夢のごとし							
自分だって亀じゃないかぁ～！			自分だって亀じゃないかぁ～！			ただ、春の夜の夢のごとし							
端から見ていると、ひとりでケンカしているみたいで気持ち悪いのでっす……。			端から見ていると、ひとりでケンカしているみたいで気持ち悪いのでっす……。			ただ、春の夜の夢のごとし							
もうほっといて帰るのでっす……。			もうほっといて帰るのでっす……。			ただ、春の夜の夢のごとし							
(-玄武の声-)世話になったな。Forename、タタル。			(-玄武の声-)世話になったな。Forename、タタル。			ただ、春の夜の夢のごとし							
おや、よくぞいらっしゃいましたなぁ～。ソロバンの様子はいかがでしたかなぁ～？			おや、よくぞいらっしゃいましたなぁ～。ソロバンの様子はいかがでしたかなぁ～？			ただ、春の夜の夢のごとし							
あのソロバンが、二代目玄武様ですとぉ～？			あのソロバンが、二代目玄武様ですとぉ～？			ただ、春の夜の夢のごとし							
…………話がシマエイのように飛躍しすぎておって、何がなんだか理解できませんぞぉ～。しかし、お客人が仰るのであれば、嘘ではないのでしょうなぁ～。			…………話がシマエイのように飛躍しすぎておって、何がなんだか理解できませんぞぉ～。しかし、お客人が仰るのであれば、嘘ではないのでしょうなぁ～。			ただ、春の夜の夢のごとし							
暴走したり、亀にされたり、いつもソロバンさんは貧乏くじを引かされてばかりだったのでっす。			暴走したり、亀にされたり、いつもソロバンさんは貧乏くじを引かされてばかりだったのでっす。			ただ、春の夜の夢のごとし							
……でも、玄武さんの後を継ぐことは、ソロバンさんが自ら決めたことなのでっす。碧甲羅の皆さんも応援してあげてほしいのでっす！			……でも、玄武さんの後を継ぐことは、ソロバンさんが自ら決めたことなのでっす。碧甲羅の皆さんも応援してあげてほしいのでっす！			ただ、春の夜の夢のごとし							
碧のタマミズから仲間が減ることは寂しいですが、そのような偉大な役目に就いたあやつを、応援しますぞぉ～。			碧のタマミズから仲間が減ることは寂しいですが、そのような偉大な役目に就いたあやつを、応援しますぞぉ～。			ただ、春の夜の夢のごとし							
ソロバンが立派な玄武様になれるよう、仲間たちとともに、祝詞を上げねばなりませんなぁ～。			ソロバンが立派な玄武様になれるよう、仲間たちとともに、祝詞を上げねばなりませんなぁ～。			ただ、春の夜の夢のごとし							
お客人方、これまでソロバンの助けとなってくれたこと、改めてお礼を申し上げますぞぉ～。			お客人方、これまでソロバンの助けとなってくれたこと、改めてお礼を申し上げますぞぉ～。			ただ、春の夜の夢のごとし							
私たちもソロバンさんに感謝しているのでっす。おかげで、暁の財政危機が救われたのでっすから！			私たちもソロバンさんに感謝しているのでっす。おかげで、暁の財政危機が救われたのでっすから！			ただ、春の夜の夢のごとし							
