クイックサンドのモモジゴは、何やら頼みごとがあるようだ。			クイックサンドのモモジゴは、何やら頼みごとがあるようだ。			凛とした女侍							
ワシはひんがしの国で、弟子にすべき者を探しておったのだが、祖国では行き過ぎた伝統主義が、侍たちの目を曇らせていてな……これといった人材が見つからなかったのよ。			ワシはひんがしの国で、弟子にすべき者を探しておったのだが、祖国では行き過ぎた伝統主義が、侍たちの目を曇らせていてな……これといった人材が見つからなかったのよ。			老剣豪ムソウサイ							
そこで、遥々「えおるぜあ」の剣客が集うこの場まで出向き、腕試しと銘打って、才ある者を探していたのだ。			そこで、遥々「えおるぜあ」の剣客が集うこの場まで出向き、腕試しと銘打って、才ある者を探していたのだ。			老剣豪ムソウサイ							
そんな骨折りの甲斐あって、お主という天賦の才に出会えた。素性の知れぬ年寄りが何を世迷言を、と思ったことであろう。されど……ワシは紛うことなく真剣だ。			そんな骨折りの甲斐あって、お主という天賦の才に出会えた。素性の知れぬ年寄りが何を世迷言を、と思ったことであろう。されど……ワシは紛うことなく真剣だ。			老剣豪ムソウサイ							
是非ともお主に弟子となって、我が剣技の担い手になってもらいたい……！			是非ともお主に弟子となって、我が剣技の担い手になってもらいたい……！			老剣豪ムソウサイ							
ムソウサイの弟子になる？			ムソウサイの弟子になる？			老剣豪ムソウサイ							
よくぞ申した！では、これより我らは師弟の間柄……どうかよろしくお頼み申す！			よくぞ申した！では、これより我らは師弟の間柄……どうかよろしくお頼み申す！			老剣豪ムソウサイ							
むう……残念無念。かくなるうえは、お主の気が変わるまで……ワシはここを動かん！			むう……残念無念。かくなるうえは、お主の気が変わるまで……ワシはここを動かん！			老剣豪ムソウサイ							
師となった以上、弟子の名を知らぬわけにいかぬ。お主、名を何と申す……？			師となった以上、弟子の名を知らぬわけにいかぬ。お主、名を何と申す……？			老剣豪ムソウサイ							
Forename……ふむ、よい名である。さっそくForename殿に侍の心得を説きたい。ひとまず、「くいっくさんど」という居酒屋まで来てくれ。			Forename……ふむ、よい名である。さっそくForename殿に侍の心得を説きたい。ひとまず、「くいっくさんど」という居酒屋まで来てくれ。			老剣豪ムソウサイ							
さて、まずは侍の歴史について語ろうかの……。かつて、ひんがしの国は群雄割拠の戦乱の時代にあった。そんな乱世にあって、多くのツワモノたちが刀を手に戦った。			さて、まずは侍の歴史について語ろうかの……。かつて、ひんがしの国は群雄割拠の戦乱の時代にあった。そんな乱世にあって、多くのツワモノたちが刀を手に戦った。			老剣豪ムソウサイ							
そう、ワシらが操る剣技は、戦の中で磨かれていったのだ。だが、天下が統一されると、誰もが刀を持つ時代は終わった。刀は権力の象徴となり、「侍」だけが持つ物となったのだ。			そう、ワシらが操る剣技は、戦の中で磨かれていったのだ。だが、天下が統一されると、誰もが刀を持つ時代は終わった。刀は権力の象徴となり、「侍」だけが持つ物となったのだ。			老剣豪ムソウサイ							
太平の世で刀を持つ侍には責任が伴う。それは、平和を維持すること……。二度と乱世に戻さぬためには、秩序を保たねばならぬ。			太平の世で刀を持つ侍には責任が伴う。それは、平和を維持すること……。二度と乱世に戻さぬためには、秩序を保たねばならぬ。			老剣豪ムソウサイ							
だが、調和を乱そうとする悪は尽きぬもの。そんな不埒な悪を成敗し、太平の世を護ること。これこそ、刀を持つ者の責務、侍の大義なのである。			だが、調和を乱そうとする悪は尽きぬもの。そんな不埒な悪を成敗し、太平の世を護ること。これこそ、刀を持つ者の責務、侍の大義なのである。			老剣豪ムソウサイ							
