巴術士ギルドのトゥビルゲイムは、冒険者に任せたい仕事があるようだ。			巴術士ギルドのトゥビルゲイムは、冒険者に任せたい仕事があるようだ。			業火の召喚獣							
端末の情報から、最適な進入ルートを割りだした。いざ魔科学研究所へ突入して、サリのクローンをとっちめるぞ！			端末の情報から、最適な進入ルートを割りだした。いざ魔科学研究所へ突入して、サリのクローンをとっちめるぞ！			召喚士の使命							
クローンではなく、召喚獣でございます、ダンシング・ウルフ様。さらに申しますと、真の目標はその召喚者でございます。			クローンではなく、召喚獣でございます、ダンシング・ウルフ様。さらに申しますと、真の目標はその召喚者でございます。			召喚士の使命							
はいはい、わかってるって！では手はずどおり、特務隊の3人は露払いだ。何としてもForenameの進路を確保しろ！			はいはい、わかってるって！では手はずどおり、特務隊の3人は露払いだ。何としてもForenameの進路を確保しろ！			召喚士の使命							
まかせてくれ。			まかせてくれ。			召喚士の使命							
ヤ・ミトラの嬢ちゃんは、偽者のサリの「本体」を見つけてくれ。じゃあ、いくぞ……突入！			ヤ・ミトラの嬢ちゃんは、偽者のサリの「本体」を見つけてくれ。じゃあ、いくぞ……突入！			召喚士の使命							
……信じていたよ。きみたちが「最後の試練」を越えて、ここにたどりつくってね。			……信じていたよ。きみたちが「最後の試練」を越えて、ここにたどりつくってね。			召喚士の使命							
ヤツを召喚した野郎がどこかにいる……嬢ちゃんは、そいつを探せ！俺が時間を稼ぐ。			ヤツを召喚した野郎がどこかにいる……嬢ちゃんは、そいつを探せ！俺が時間を稼ぐ。			召喚士の使命							
俺たちは、プリンクに施された封印を解くために来た。できれば平和的に、話し合いで解決したいのだがな！			俺たちは、プリンクに施された封印を解くために来た。できれば平和的に、話し合いで解決したいのだがな！			召喚士の使命							
……残念ながら、それは呑めない要求だね。僕にあたえられた役割に反する。			……残念ながら、それは呑めない要求だね。僕にあたえられた役割に反する。			召喚士の使命							
さすがのきみたちも、そろそろ気づいたころだろう？この僕の正体に。			さすがのきみたちも、そろそろ気づいたころだろう？この僕の正体に。			召喚士の使命							
はい、あなたはサリ様を模した「召喚獣」……。召喚魔法と魔科学の融合によって、産み落とされた存在でしょう。			はい、あなたはサリ様を模した「召喚獣」……。召喚魔法と魔科学の融合によって、産み落とされた存在でしょう。			召喚士の使命							
たしかにサリ様は、アラグ最後の大召喚士でしたが、あなたは、その精緻な模倣にすぎません。日々の研鑽でここまでに到ったお嬢様ご主人様に、敵うはずがありません！			たしかにサリ様は、アラグ最後の大召喚士でしたが、あなたは、その精緻な模倣にすぎません。日々の研鑽でここまでに到ったお嬢様ご主人様に、敵うはずがありません！			召喚士の使命							
