双剣士ギルドのジャックは、冒険者に変わった仕事を依頼したいようだ。			双剣士ギルドのジャックは、冒険者に変わった仕事を依頼したいようだ。			月影の導き							
かつての師って……隠密諜報部隊のゲッカイって奴？あら……じゃあもしかして、復讐したいとか思ってる？仕事に私情は持ち出さないでほしいんだけど。			かつての師って……隠密諜報部隊のゲッカイって奴？あら……じゃあもしかして、復讐したいとか思ってる？仕事に私情は持ち出さないでほしいんだけど。			凍てついた心							
復讐？　そんなわけあるか……！師もカラスも、俺のことをゴミみたいに扱った……。ふたりとも「本場の忍び」だからって……偉そうにしてた……！			復讐？　そんなわけあるか……！師もカラスも、俺のことをゴミみたいに扱った……。ふたりとも「本場の忍び」だからって……偉そうにしてた……！			凍てついた心							
隠れ里の上忍であるオボロを倒せば……俺は「本場の忍び」を超えたという証明になる……。そっちのほうが、俺にとっては大事……ウンウン。			隠れ里の上忍であるオボロを倒せば……俺は「本場の忍び」を超えたという証明になる……。そっちのほうが、俺にとっては大事……ウンウン。			凍てついた心							
……フン、まあいいわ。一番大事なのは、「井ノ国」のお姫様を捕らえることよ。			……フン、まあいいわ。一番大事なのは、「井ノ国」のお姫様を捕らえることよ。			凍てついた心							
最後の宝の「乱光包」は、次の略奪品オークションの目玉にするつもりなの。			最後の宝の「乱光包」は、次の略奪品オークションの目玉にするつもりなの。			凍てついた心							
どこかで必ず、ユキ・ヤツルギが奪いに来るはずよ。そこを必ず捕らえなさい。			どこかで必ず、ユキ・ヤツルギが奪いに来るはずよ。そこを必ず捕らえなさい。			凍てついた心							
もちろん、もちろん、そうするつもり……。警備の数を倍にし、必ずや返り討ちにする……ウンウン。			もちろん、もちろん、そうするつもり……。警備の数を倍にし、必ずや返り討ちにする……ウンウン。			凍てついた心							
……本当に情報を掴んだのだろうな？			……本当に情報を掴んだのだろうな？			凍てついた心							
へえ、なかなかいい平屋だねぇ。ずっとここにいたいくらいだ。			へえ、なかなかいい平屋だねぇ。ずっとここにいたいくらいだ。			凍てついた心							
Forename、よく帰ってきたな。敵についての情報を得ることはできたか？			Forename、よく帰ってきたな。敵についての情報を得ることはできたか？			凍てついた心							
なるほど……。「灰犬一家」のロサリンデという女が、傭兵のレッドウェイを使い、こちらの情報を探っていたのか。			なるほど……。「灰犬一家」のロサリンデという女が、傭兵のレッドウェイを使い、こちらの情報を探っていたのか。			凍てついた心							
こちらの行動に注意を払われている以上、次の奪還作戦は、今までのように容易ではないだろう。ユキ姫、忍びの力に任せてはくれぬか。			こちらの行動に注意を払われている以上、次の奪還作戦は、今までのように容易ではないだろう。ユキ姫、忍びの力に任せてはくれぬか。			凍てついた心							
……たしかに、これまでのようにうまくはいかぬかもしれん。だが、それでも……俺ひとりでなさねばならぬのだ。			……たしかに、これまでのようにうまくはいかぬかもしれん。だが、それでも……俺ひとりでなさねばならぬのだ。			凍てついた心							
もう……あんな目には、あいたくないんだ！			もう……あんな目には、あいたくないんだ！			凍てついた心							
……お前たちには言っていなかったな。「灰犬一家」の連中は、家宝を奪っただけじゃない……。抵抗する「井ノ国」の民を、大勢殺したのだ。			……お前たちには言っていなかったな。「灰犬一家」の連中は、家宝を奪っただけじゃない……。抵抗する「井ノ国」の民を、大勢殺したのだ。			凍てついた心							
俺も戦いたかった……でも、家臣がそれを許さなかった。俺なんかを守ろうとして、目の前でみんな死んでいった……。			俺も戦いたかった……でも、家臣がそれを許さなかった。俺なんかを守ろうとして、目の前でみんな死んでいった……。			凍てついた心							
