巴術士ギルドのムリーには、冒険者に任せたい仕事があるようだ。			巴術士ギルドのムリーには、冒険者に任せたい仕事があるようだ。			学問ノススメ							
何か心当たりがあるのか？			何か心当たりがあるのか？			フェアリーの行方							
いやな、最近になって、「亡霊を見た」っつー相談をしに来る奴が、何人かいやがってよォ。鬼哭隊のエライサン方から、調査命令が下ってんだよな。			いやな、最近になって、「亡霊を見た」っつー相談をしに来る奴が、何人かいやがってよォ。鬼哭隊のエライサン方から、調査命令が下ってんだよな。			フェアリーの行方							
なんでも、そいつァ「紫色の鬼火」みてェな姿をしてるらしいぜ。			なんでも、そいつァ「紫色の鬼火」みてェな姿をしてるらしいぜ。			フェアリーの行方							
きっとそれだ！ライラックに違いない！			きっとそれだ！ライラックに違いない！			フェアリーの行方							
今すぐ探しに行ってやりてェが、ほかにもめんどくせェ任務が山積みでな。悪いが、もう少し待ってもらうことになる。			今すぐ探しに行ってやりてェが、ほかにもめんどくせェ任務が山積みでな。悪いが、もう少し待ってもらうことになる。			フェアリーの行方							
それなら、僕たちが探しに行くよ！鬼哭隊には、セトトの面倒を見てもらってるし、お礼がしたいんだ！			それなら、僕たちが探しに行くよ！鬼哭隊には、セトトの面倒を見てもらってるし、お礼がしたいんだ！			フェアリーの行方							
へェ、殊勝な心がけじゃねェか。なら教えてやる、「紫色の鬼火」は、アッパーパスと蛇殻林で目撃されてるみてェだぜ。			へェ、殊勝な心がけじゃねェか。なら教えてやる、「紫色の鬼火」は、アッパーパスと蛇殻林で目撃されてるみてェだぜ。			フェアリーの行方							
ありがとう、ランドゥネルさん！			ありがとう、ランドゥネルさん！			フェアリーの行方							
トンベリの嬢ちゃん、若い身そらで苦労してるみてェだしな。困ってる女を放っておくのは、鬼哭隊六番槍隊長、ランドゥネルの名が廃るってもんよ。			トンベリの嬢ちゃん、若い身そらで苦労してるみてェだしな。困ってる女を放っておくのは、鬼哭隊六番槍隊長、ランドゥネルの名が廃るってもんよ。			フェアリーの行方							
セトトのこと、だいぶ気にかけてくれてるみたいだね。やっぱり、悪い人じゃないんだな。			セトトのこと、だいぶ気にかけてくれてるみたいだね。やっぱり、悪い人じゃないんだな。			フェアリーの行方							
それじゃ、Forename君！手分けして「紫色の鬼火」を探そう！君は「アッパーパス」を頼んだぞ！			それじゃ、Forename君！手分けして「紫色の鬼火」を探そう！君は「アッパーパス」を頼んだぞ！			フェアリーの行方							
Forename君、私が話したことを急ぎ「アルカ・ゾルカ」君に伝えてくれ。なんとしても、ライラックを探し出さなければ。			Forename君、私が話したことを急ぎ「アルカ・ゾルカ」君に伝えてくれ。なんとしても、ライラックを探し出さなければ。			フェアリーの行方							
この辺りには、怪しい光は見えないようだ……。			この辺りには、怪しい光は見えないようだ……。			フェアリーの行方							
ゆらゆらと宙に浮かんでいる怪しい光を発見した！			ゆらゆらと宙に浮かんでいる怪しい光を発見した！			フェアリーの行方							
怪しく光る物体は、こちらの姿を確認すると、異音を発しながら、襲いかかってきた！			怪しく光る物体は、こちらの姿を確認すると、異音を発しながら、襲いかかってきた！			フェアリーの行方							
トンベリの嬢ちゃんのためにも、さっさと「紫色の鬼火」を見つけ出してやりてェとこだが……。			トンベリの嬢ちゃんのためにも、さっさと「紫色の鬼火」を見つけ出してやりてェとこだが……。			フェアリーの行方							
戻ったか、相棒！			戻ったか、相棒！			フェアリーの行方							
紫色の光を見つけて斬りかかってみたんだけど、ただのウィル・オ・ザ・ウィスプだったよ……。そっちはどうだった？			紫色の光を見つけて斬りかかってみたんだけど、ただのウィル・オ・ザ・ウィスプだったよ……。そっちはどうだった？			フェアリーの行方							
……そうか……君もハズレだったか。ちくしょう、ライラックはどこへ行ったんだ！？			……そうか……君もハズレだったか。ちくしょう、ライラックはどこへ行ったんだ！？			フェアリーの行方							
テメェら、空振りだったようだが、新たな情報が入ってきやがったぞ！「紫色の鬼火」が、俺の部下を襲って逃亡中だ！			テメェら、空振りだったようだが、新たな情報が入ってきやがったぞ！「紫色の鬼火」が、俺の部下を襲って逃亡中だ！			フェアリーの行方							
