先輩レターモーグリは、冒険者に敏腕美容師への手紙を託したいようだ。			先輩レターモーグリは、冒険者に敏腕美容師への手紙を託したいようだ。			敏腕美容師の華麗なる妙技							
マルセットに小包を配達した。しかし、注文が間違っていたようだ。マルセットが求める「モールの幼獣」を手に入れるため、中央ザナラーンの「王立ナナモ菜園」にいる園芸師と話そう。			マルセットに小包を配達した。しかし、注文が間違っていたようだ。マルセットが求める「モールの幼獣」を手に入れるため、中央ザナラーンの「王立ナナモ菜園」にいる園芸師と話そう。			モールのひみつ							
園芸師ガガリと話した。王立ナナモ菜園の「モグラ塚」に「雑草の束」を使おう。			園芸師ガガリと話した。王立ナナモ菜園の「モグラ塚」に「雑草の束」を使おう。			モールのひみつ							
モグラ塚に雑草の束を置いた。「雑草の束」に「軽い火打ち石」を使い、モールをあぶりだそう。			モグラ塚に雑草の束を置いた。「雑草の束」に「軽い火打ち石」を使い、モールをあぶりだそう。			モールのひみつ							
モールをあぶりだした。「モールの幼獣」を手に入れよう。			モールをあぶりだした。「モールの幼獣」を手に入れよう。			モールのひみつ							
モールの幼獣を手に入れた。ダンスタン監視哨の「マルセット」に「モールの幼獣」を渡そう。			モールの幼獣を手に入れた。ダンスタン監視哨の「マルセット」に「モールの幼獣」を渡そう。			モールのひみつ							
マルセットにモールの幼獣を渡した。冒険者の協力によって、謎に包まれたモールの秘密が明かされた。今後も、マルセットによってエオルゼアの生物の謎が解明されていくだろう。			マルセットにモールの幼獣を渡した。冒険者の協力によって、謎に包まれたモールの秘密が明かされた。今後も、マルセットによってエオルゼアの生物の謎が解明されていくだろう。			モールのひみつ							
ダンスタン監視哨のマルセットに小包を配達			ダンスタン監視哨のマルセットに小包を配達			モールのひみつ							
王立ナナモ菜園の園芸師と話す			王立ナナモ菜園の園芸師と話す			モールのひみつ							
モグラ塚に雑草の束を使う			モグラ塚に雑草の束を使う			モールのひみつ							
雑草の束に軽い火打ち石を使う			雑草の束に軽い火打ち石を使う			モールのひみつ							
モールの幼獣を入手			モールの幼獣を入手			モールのひみつ							
ダンスタン監視哨のマルセットにモールの幼獣を渡す			ダンスタン監視哨のマルセットにモールの幼獣を渡す			モールのひみつ							
やあやあ、後輩君！配達士として、めきめき成長してるクポね！絶好調な後輩君に、次のお仕事クポ！			やあやあ、後輩君！配達士として、めきめき成長してるクポね！絶好調な後輩君に、次のお仕事クポ！			モールのひみつ							
博物学者「マルセット」さん宛ての小包の配達クポ！クポポ……なんだか、この小包はちょっぴり臭うクポ。早く届けたほうがよさそうクポ！			博物学者「マルセット」さん宛ての小包の配達クポ！クポポ……なんだか、この小包はちょっぴり臭うクポ。早く届けたほうがよさそうクポ！			モールのひみつ							
マルセットさんは、中央森林の「ダンスタン監視哨」近くで、働いているって噂クポ！			マルセットさんは、中央森林の「ダンスタン監視哨」近くで、働いているって噂クポ！			モールのひみつ							
博物学者「マルセット」さん宛ての小包の配達クポ！クポポ……なんだか、この小包はちょっぴり臭うクポ。早く届けたほうがよさそうクポ！			博物学者「マルセット」さん宛ての小包の配達クポ！クポポ……なんだか、この小包はちょっぴり臭うクポ。早く届けたほうがよさそうクポ！			モールのひみつ							
マルセットさんは、中央森林の「ダンスタン監視哨」近くで、働いているって噂クポ！			マルセットさんは、中央森林の「ダンスタン監視哨」近くで、働いているって噂クポ！			モールのひみつ							
あら、第六助手じゃない……第九助手？第二十七助手だったかしら？　まぁいいわ。……私宛ての小包ですって？　フフ、フフフ、ついに来たのね。			あら、第六助手じゃない……第九助手？第二十七助手だったかしら？　まぁいいわ。……私宛ての小包ですって？　フフ、フフフ、ついに来たのね。			モールのひみつ							
さて、開封っと……な、な、な、なんじゃこりゃ～！オブリオー！　オブリオー！この役立たず！　グズ！　マヌケ！			さて、開封っと……な、な、な、なんじゃこりゃ～！オブリオー！　オブリオー！この役立たず！　グズ！　マヌケ！			モールのひみつ							
せ、先生……どさくさにまぎれて酷すぎます。			せ、先生……どさくさにまぎれて酷すぎます。			モールのひみつ							
待ちに待った研究素材が届いたと思ったら！……いったい何なの、この肉は！？			待ちに待った研究素材が届いたと思ったら！……いったい何なの、この肉は！？			モールのひみつ							
何って、先生が僕に手配を任せた「モールの肉」じゃないですか？忘れっぽくてやだな～。			何って、先生が僕に手配を任せた「モールの肉」じゃないですか？忘れっぽくてやだな～。			モールのひみつ							
私が頼んだのは「生のモール」！生きているモグラ！生肉から、どうやって私の仮説を証明しろっていうの！			私が頼んだのは「生のモール」！生きているモグラ！生肉から、どうやって私の仮説を証明しろっていうの！			モールのひみつ							
……こうなったら、仕方がないわ。アンタの出番よ、第五十六助手！			……こうなったら、仕方がないわ。アンタの出番よ、第五十六助手！			モールのひみつ							
私が執筆中の「新エオルゼア博物誌」……その新章のテーマは、ズバリ「モール」よ！ずんぐりむっくりしたモグラのことよ、見たことあるでしょ？			私が執筆中の「新エオルゼア博物誌」……その新章のテーマは、ズバリ「モール」よ！ずんぐりむっくりしたモグラのことよ、見たことあるでしょ？			モールのひみつ							
