リムサ・ロミンサの下甲板層にいるナシュメラは、冒険者の成長を喜んでいるようだ。			リムサ・ロミンサの下甲板層にいるナシュメラは、冒険者の成長を喜んでいるようだ。			新天地へと舞い挑め							
なんでも、世界各国で興行している人気一座だとか！その踊りも、俺たちがよく目にしているエオルゼアの踊りとは、だいぶ違った華やかなものらしいぜ。			なんでも、世界各国で興行している人気一座だとか！その踊りも、俺たちがよく目にしているエオルゼアの踊りとは、だいぶ違った華やかなものらしいぜ。			踊り子の到来							
あんたら冒険者は、そうした物珍しいモンが大好物だろう？この道を、エーデルワイス商会の方へと下っていった広場で、公演を行うそうだから、観に行っちゃどうだい？			あんたら冒険者は、そうした物珍しいモンが大好物だろう？この道を、エーデルワイス商会の方へと下っていった広場で、公演を行うそうだから、観に行っちゃどうだい？			踊り子の到来							
近東のラザハンから、「踊り子」の一座がやってきているんだ！この道を、エーデルワイス商会の方へと下っていった広場で、公演を行うそうだから、観に行っちゃどうだい？			近東のラザハンから、「踊り子」の一座がやってきているんだ！この道を、エーデルワイス商会の方へと下っていった広場で、公演を行うそうだから、観に行っちゃどうだい？			踊り子の到来							
おや、これはまた腕っぷしの強そうな方ですね。アタシは一座の楽士でして、花形の「踊り子」は、そっちの嬢ちゃんです。			おや、これはまた腕っぷしの強そうな方ですね。アタシは一座の楽士でして、花形の「踊り子」は、そっちの嬢ちゃんです。			踊り子の到来							
あーっ！　もしかしてお客さんかな？私たち「ファルシャム一座」の公演を、観に来てくれてありがとう！			あーっ！　もしかしてお客さんかな？私たち「ファルシャム一座」の公演を、観に来てくれてありがとう！			踊り子の到来							
今はまだ準備中なんだけど、もうすぐ着替えて開演するから、ちょっと待っててね！			今はまだ準備中なんだけど、もうすぐ着替えて開演するから、ちょっと待っててね！			踊り子の到来							
エオルゼアでの興行は、一座としても久しぶりらしくてさ。座員一同、いい公演にしようと気合はバッチリ！キミも、期待していてね！			エオルゼアでの興行は、一座としても久しぶりらしくてさ。座員一同、いい公演にしようと気合はバッチリ！キミも、期待していてね！			踊り子の到来							
私は、エオルゼアを訪れるのは初めてなんだ！……って、いつまでも話していないで準備しなくちゃ！もうすぐ開演するから、ちょっと待っていてね。			私は、エオルゼアを訪れるのは初めてなんだ！……って、いつまでも話していないで準備しなくちゃ！もうすぐ開演するから、ちょっと待っていてね。			踊り子の到来							
近いようで、通うにゃ遠い……。なれば、こちらから参りましょう！我ら、近東の島国ラザハンより来たりし「ファルシャム一座」！			近いようで、通うにゃ遠い……。なれば、こちらから参りましょう！我ら、近東の島国ラザハンより来たりし「ファルシャム一座」！			踊り子の到来							
さて、此度、披露いたしますのは、楽器の音色に合わせて弾む、一座が誇る「踊り子」の舞！皆様の、心に響けと踊りますゆえ、どうか拍手喝采を！			さて、此度、披露いたしますのは、楽器の音色に合わせて弾む、一座が誇る「踊り子」の舞！皆様の、心に響けと踊りますゆえ、どうか拍手喝采を！			踊り子の到来							
(-指導者らしき女性-)そう、そのまま……緊張を見せないで、ラナー……。最後まで踊りきってこそ、観衆の心を動かすことができるのよ。			(-指導者らしき女性-)そう、そのまま……緊張を見せないで、ラナー……。最後まで踊りきってこそ、観衆の心を動かすことができるのよ。			踊り子の到来							
(-指導者らしき女性-)あら、ごめんなさい。せっかくご覧いただいているのに、気を散らすようなことを……。どうぞ、彼女の舞に目を向けてくださいな。			(-指導者らしき女性-)あら、ごめんなさい。せっかくご覧いただいているのに、気を散らすようなことを……。どうぞ、彼女の舞に目を向けてくださいな。			踊り子の到来							
(-指導者らしき女性-)ところで…………あなた、素敵ね。			(-指導者らしき女性-)ところで…………あなた、素敵ね。			踊り子の到来							
先ほどは突然、失礼。私はファルシャム一座の座長、ナシュメラ。舞いを披露していた踊り子、ラナー・ミーゴの師匠でもあるわ。			先ほどは突然、失礼。私はファルシャム一座の座長、ナシュメラ。舞いを披露していた踊り子、ラナー・ミーゴの師匠でもあるわ。			踊り子の到来							
さて、あなたにひとつ質問……。うちのラナーと一緒に、「踊り子」として、舞台に立ってみる気はない？			さて、あなたにひとつ質問……。うちのラナーと一緒に、「踊り子」として、舞台に立ってみる気はない？			踊り子の到来							
戸惑うのも当然よね……でも、あなたを見た瞬間、感じたの。数多の戦闘をこなし、身につけたであろうその立ち振る舞い。きっと、いい舞を踊るんだろうな、って。			戸惑うのも当然よね……でも、あなたを見た瞬間、感じたの。数多の戦闘をこなし、身につけたであろうその立ち振る舞い。きっと、いい舞を踊るんだろうな、って。			踊り子の到来							
