宝杖通りの商人マスは、商品の手配に追われているようだ。			宝杖通りの商人マスは、商品の手配に追われているようだ。			聖アンダリム神学院の消えた書物							
私もまた、この難局に立ち向かおう。そして、すべてを受け止めなければならない。見届けなくては…………。			私もまた、この難局に立ち向かおう。そして、すべてを受け止めなければならない。見届けなくては…………。			戦神が導く聖戦							
さあ……俺たちも、査問会に行くとするか。			さあ……俺たちも、査問会に行くとするか。			戦神が導く聖戦							
僕は……この結末を特別顧問殿に伝えにいきます。彼に確認したいことがありますので。			僕は……この結末を特別顧問殿に伝えにいきます。彼に確認したいことがありますので。			戦神が導く聖戦							
気のせいかもしれませんけど……まだ、事情を抱えている方がいるような気がするんです。僕たちが合流するまで、査問会を見守っていてください！			気のせいかもしれませんけど……まだ、事情を抱えている方がいるような気がするんです。僕たちが合流するまで、査問会を見守っていてください！			戦神が導く聖戦							
つまり、最近、学内で発生した一連の出来事は、すべて貴方が引き起こしたこと、というわけですね？			つまり、最近、学内で発生した一連の出来事は、すべて貴方が引き起こしたこと、というわけですね？			戦神が導く聖戦							
お言葉ですが、学長。これは、寮長をかばうための自白ではないでしょうか？物証がない以上、偽証の可能性は否定できません。			お言葉ですが、学長。これは、寮長をかばうための自白ではないでしょうか？物証がない以上、偽証の可能性は否定できません。			戦神が導く聖戦							
加えて、もはや問題は学内の処罰で済む状況ではありません。貴族統治を支えてきた正教に対する民衆の反感が噴出する中、神学院への批判も高まっています。			加えて、もはや問題は学内の処罰で済む状況ではありません。貴族統治を支えてきた正教に対する民衆の反感が噴出する中、神学院への批判も高まっています。			戦神が導く聖戦							
ルブラソワールと寮長、どちらかを除籍したところで、ゼーメル家の者が問題を起こした事実に、民衆は憤り、正教や神学院の信用も地に落ちるでしょう。			ルブラソワールと寮長、どちらかを除籍したところで、ゼーメル家の者が問題を起こした事実に、民衆は憤り、正教や神学院の信用も地に落ちるでしょう。			戦神が導く聖戦							
そこで、正教の権威を守るために提案いたします。不祥事のすべてを公表して、神学院の休校を宣言し、体制の立て直しを図るのです！			そこで、正教の権威を守るために提案いたします。不祥事のすべてを公表して、神学院の休校を宣言し、体制の立て直しを図るのです！			戦神が導く聖戦							
(-冷静な男の声-)その間に、神学院を廃校に追いやるのが真の目的だな？ニセ司祭……！			(-冷静な男の声-)その間に、神学院を廃校に追いやるのが真の目的だな？ニセ司祭……！			戦神が導く聖戦							
