レヴナンツトールのラドヴァンは、新たな後継者を探しているようだ。			レヴナンツトールのラドヴァンは、新たな後継者を探しているようだ。			もうひとりのガンブレイカー							
ラドヴァンの頼みを引き受けた。渡された「ハイスチール・ガンブレード」を装備し、さらに「ラドヴァン」と話そう。			ラドヴァンの頼みを引き受けた。渡された「ハイスチール・ガンブレード」を装備し、さらに「ラドヴァン」と話そう。			ガンブレイカーへの誘い							
茨の森の指定地点で見渡す			茨の森の指定地点で見渡す			ガンブレイカーへの誘い							
いきり立った盗賊を討伐する			いきり立った盗賊を討伐する			ガンブレイカーへの誘い							
未知の武器を持つ大男を救助する			未知の武器を持つ大男を救助する			ガンブレイカーへの誘い							
ラドヴァンと話す			ラドヴァンと話す			ガンブレイカーへの誘い							
そこの冒険者のキミ！火急の頼みがあるので、ひとまず用件だけでも聞いてくれ！			そこの冒険者のキミ！火急の頼みがあるので、ひとまず用件だけでも聞いてくれ！			ガンブレイカーへの誘い							
ここ最近、外部から流入してきた盗賊団による、グリダニアの富裕層を狙った、強盗や空き巣が頻発している。奴らは森に潜んでいて、なかなか尻尾がつかめずにいた。			ここ最近、外部から流入してきた盗賊団による、グリダニアの富裕層を狙った、強盗や空き巣が頻発している。奴らは森に潜んでいて、なかなか尻尾がつかめずにいた。			ガンブレイカーへの誘い							
だが、つい先ほど、東部森林で不審な者たちを目撃したとの情報が入った。きっと、くだんの盗賊団に違いない！			だが、つい先ほど、東部森林で不審な者たちを目撃したとの情報が入った。きっと、くだんの盗賊団に違いない！			ガンブレイカーへの誘い							
我ら神勇隊で捜索しているが、もっと人手が欲しい。そこで、冒険者のキミにも協力してもらいたいのだ……！			我ら神勇隊で捜索しているが、もっと人手が欲しい。そこで、冒険者のキミにも協力してもらいたいのだ……！			ガンブレイカーへの誘い							
引き受けてくれるのなら、手薄になっている、東部森林の「茨の森」で、不審な者を探してくれ！私はさらに人を募ってから、捜索に向かおう！			引き受けてくれるのなら、手薄になっている、東部森林の「茨の森」で、不審な者を探してくれ！私はさらに人を募ってから、捜索に向かおう！			ガンブレイカーへの誘い							
東部森林の「茨の森」で、盗賊団らしき不審な者を探してくれ！私はさらに人を募ってから、捜索に向かおう！			東部森林の「茨の森」で、盗賊団らしき不審な者を探してくれ！私はさらに人を募ってから、捜索に向かおう！			ガンブレイカーへの誘い							
なんだテメェは？邪魔するってんなら、ぶっ殺してやらあぁ！			なんだテメェは？邪魔するってんなら、ぶっ殺してやらあぁ！			ガンブレイカーへの誘い							
ぶっ殺す！			ぶっ殺す！			ガンブレイカーへの誘い							
ありがとう、助かったよ……。			ありがとう、助かったよ……。			ガンブレイカーへの誘い							
(-未知の武器を持つ大男-)かたじけない。不意に古傷が痛みだし、動けなくなってしまった。どこの誰だか知らないが、君のおかげで助かった。			(-未知の武器を持つ大男-)かたじけない。不意に古傷が痛みだし、動けなくなってしまった。どこの誰だか知らないが、君のおかげで助かった。			ガンブレイカーへの誘い							
(-異国風の美女-)本当に助かったよ。このオッサン、頑丈なようでポンコツだからね。			(-異国風の美女-)本当に助かったよ。このオッサン、頑丈なようでポンコツだからね。			ガンブレイカーへの誘い							
(-未知の武器を持つ大男-)少し油断したまでのこと……以後、気をつける。			(-未知の武器を持つ大男-)少し油断したまでのこと……以後、気をつける。			ガンブレイカーへの誘い							
(-未知の武器を持つ大男-)我らは、ギラバニアの方から旅をしてきた。バエサルの長城は、エオルゼア同盟軍が押さえてくれたおかげで、難なく越えることができたが、鬱蒼とした黒衣森で迷ってしまった。			(-未知の武器を持つ大男-)我らは、ギラバニアの方から旅をしてきた。バエサルの長城は、エオルゼア同盟軍が押さえてくれたおかげで、難なく越えることができたが、鬱蒼とした黒衣森で迷ってしまった。			ガンブレイカーへの誘い							
(-未知の武器を持つ大男-)我らは、ギラバニアの方から旅をしてきた。バエサルの長城は、アラミゴ解放軍の手引きもあって、何とか越えることができたが、鬱蒼とした黒衣森で迷ってしまった。			(-未知の武器を持つ大男-)我らは、ギラバニアの方から旅をしてきた。バエサルの長城は、アラミゴ解放軍の手引きもあって、何とか越えることができたが、鬱蒼とした黒衣森で迷ってしまった。			ガンブレイカーへの誘い							
