ポルタ・プレトリアのアラミゴ解放軍の上級闘士は、冒険者を待っていたようだ。			ポルタ・プレトリアのアラミゴ解放軍の上級闘士は、冒険者を待っていたようだ。			英雄への鎮魂歌							
悪いが、今回は俺たちが動く道理がない。ドマにとって都合のいいときにだけ頼られても困る。殿様に臣従の誓いを立てた覚えはないんだが？			悪いが、今回は俺たちが動く道理がない。ドマにとって都合のいいときにだけ頼られても困る。殿様に臣従の誓いを立てた覚えはないんだが？			捕虜交換に備え							
もちろん、そんなつもりはない。ドマとしては、あくまで対等な立場での協力要請だ。			もちろん、そんなつもりはない。ドマとしては、あくまで対等な立場での協力要請だ。			捕虜交換に備え							
さぁて、どうだかねぇ……。対等だというなら、こっちの利益はどこにあるってんだ？			さぁて、どうだかねぇ……。対等だというなら、こっちの利益はどこにあるってんだ？			捕虜交換に備え							
ちょっと待ってよ……。たまには、損得ばかり考えず、善意で動いてくれたって、罰は当たらないんじゃない？			ちょっと待ってよ……。たまには、損得ばかり考えず、善意で動いてくれたって、罰は当たらないんじゃない？			捕虜交換に備え							
海を守る代わりに帆別銭を求め、従わなければ略奪するのが、海賊衆ってもんだ。海で溺れているなら助けるが、それ以上を求めてくれるなよ。			海を守る代わりに帆別銭を求め、従わなければ略奪するのが、海賊衆ってもんだ。海で溺れているなら助けるが、それ以上を求めてくれるなよ。			捕虜交換に備え							
落ち着け、アリゼー。ラショウ殿の言っているのは、もっともなことだ。それについては、きちんと答えねばなるまい……。			落ち着け、アリゼー。ラショウ殿の言っているのは、もっともなことだ。それについては、きちんと答えねばなるまい……。			捕虜交換に備え							
徴用兵のなかには、ドマ出身の海賊衆の縁者もいるだろう。また、戻ってきた彼らの中には、すでに故郷の縁者が死んでいて、行き場をなくす者もいるかもしれない……。			徴用兵のなかには、ドマ出身の海賊衆の縁者もいるだろう。また、戻ってきた彼らの中には、すでに故郷の縁者が死んでいて、行き場をなくす者もいるかもしれない……。			捕虜交換に備え							
海賊衆には、そんな彼らの受け入れ先になってもらいたい。新たな仲間を迎えにいくと思って、力を貸してほしいのだ。海賊衆としても、人手が不足しているように見受けるが……どうだ？			海賊衆には、そんな彼らの受け入れ先になってもらいたい。新たな仲間を迎えにいくと思って、力を貸してほしいのだ。海賊衆としても、人手が不足しているように見受けるが……どうだ？			捕虜交換に備え							
ふっ……さすがはドマの殿様、よく見ているものだ。俺たち海賊衆の状況まで、お見通しのようだな……。			ふっ……さすがはドマの殿様、よく見ているものだ。俺たち海賊衆の状況まで、お見通しのようだな……。			捕虜交換に備え							
ドマから帝国が去って、紅玉海が活気づいてきたもんで、行き交う船も多くなり、俺たちは大忙しなんだ。			ドマから帝国が去って、紅玉海が活気づいてきたもんで、行き交う船も多くなり、俺たちは大忙しなんだ。			捕虜交換に備え							
それに、帝国軍の内情を知る兵というのも……悪くはない、か。			それに、帝国軍の内情を知る兵というのも……悪くはない、か。			捕虜交換に備え							
いいだろう！徴用兵たちを避難させる役目、海賊衆が請け負った！			いいだろう！徴用兵たちを避難させる役目、海賊衆が請け負った！			捕虜交換に備え							
だが、関船を出すとなると、ちょっと頼まれてもらわないとな。ドマ攻城戦に出した際に、手傷を負っていてな。修理はしているが、最終点検が終わっていない状態だ。			だが、関船を出すとなると、ちょっと頼まれてもらわないとな。ドマ攻城戦に出した際に、手傷を負っていてな。修理はしているが、最終点検が終わっていない状態だ。			捕虜交換に備え							
いまは問題なく浮かんでいるが、大人数を乗せて沈み込んだ船体に、僅かでも破損があれば、浸水する恐れがある。大事な捕虜を乗せて、沈没させるわけにいかんだろう。			いまは問題なく浮かんでいるが、大人数を乗せて沈み込んだ船体に、僅かでも破損があれば、浸水する恐れがある。大事な捕虜を乗せて、沈没させるわけにいかんだろう。			捕虜交換に備え							
そこで、お前らに船体に破損がないか、点検してもらいたい。当然、海に入って泳いでもらうことになるが……ドマの殿様は、そんな汚れ仕事はできんか？			そこで、お前らに船体に破損がないか、点検してもらいたい。当然、海に入って泳いでもらうことになるが……ドマの殿様は、そんな汚れ仕事はできんか？			捕虜交換に備え							
