レヴナンツトールの異国風の男は、冒険者に紹介したい仕事があるようだ。			レヴナンツトールの異国風の男は、冒険者に紹介したい仕事があるようだ。			古代アラグ文明の遺産							
オレは次へと進むぜ、シド。可能性という道があるかぎり、どこまでもな……。			オレは次へと進むぜ、シド。可能性という道があるかぎり、どこまでもな……。			輝く希望							
…………じき、夜明けか。			…………じき、夜明けか。			輝く希望							
ああ、ちょうど入れ違いになってしまったな。……シドたちが、今しがた去ったところだよ。自分たちには、やるべきことができたと言ってね。			ああ、ちょうど入れ違いになってしまったな。……シドたちが、今しがた去ったところだよ。自分たちには、やるべきことができたと言ってね。			輝く希望							
この調査地も、寂しくなってしまったものだ……。しかし、クリスタルタワー調査団「ノア」は、解散したわけではない。			この調査地も、寂しくなってしまったものだ……。しかし、クリスタルタワー調査団「ノア」は、解散したわけではない。			輝く希望							
それぞれの道を、未来に向けて歩んでいく。希望という、彼方に輝く光を目指して……。			それぞれの道を、未来に向けて歩んでいく。希望という、彼方に輝く光を目指して……。			輝く希望							
此度のクリスタルタワーの封印は、未来への第一歩だ。先へと歩んでいく中で、再び道が交わることもあるだろう。……お互いに健闘を、Surname！			此度のクリスタルタワーの封印は、未来への第一歩だ。先へと歩んでいく中で、再び道が交わることもあるだろう。……お互いに健闘を、Surname！			輝く希望							
「クロニクルクエスト：クリスタルタワー」を完了しました！石の家にいる「ミンフィリア」から、次のメインクエストを受注できます。			「クロニクルクエスト：クリスタルタワー」を完了しました！石の家にいる「ミンフィリア」から、次のメインクエストを受注できます。			輝く希望							
「クロニクルクエスト：クリスタルタワー」を完了しました。引き続き、メインクエストやほかの物語をお楽しみください！			「クロニクルクエスト：クリスタルタワー」を完了しました。引き続き、メインクエストやほかの物語をお楽しみください！			輝く希望							
聖コイナク財団の調査地のサイエルは、冒険者に頼みたいことがあるようだ。			聖コイナク財団の調査地のサイエルは、冒険者に頼みたいことがあるようだ。			もうひとつのノア							
サイエルから、行方不明になっている調査員のことを聞いた。モードゥナのレヴナンツトールで「コー・ラブンタ」と思しき人物に声をかけよう。			サイエルから、行方不明になっている調査員のことを聞いた。モードゥナのレヴナンツトールで「コー・ラブンタ」と思しき人物に声をかけよう。			もうひとつのノア							
