玄水連山の無惨な死体は、手に手帳を握りしめているようだ。			玄水連山の無惨な死体は、手に手帳を握りしめているようだ。			愛しき人へ							
イエスズメに「拍手する」をする			イエスズメに「拍手する」をする			ナマイの野良仕事							
アゲタに報告			アゲタに報告			ナマイの野良仕事							
ホナミに報告			ホナミに報告			ナマイの野良仕事							
村にある水田は、もう見てくれたかしら？手塩にかけて育てた水田は、私たちにとって、我が子同然なの。			村にある水田は、もう見てくれたかしら？手塩にかけて育てた水田は、私たちにとって、我が子同然なの。			ナマイの野良仕事							
でも、水田を狙う害虫には悩まされ続けているし、実りを得るためには、細やかなお世話が必要不可欠なの。もし私たちの暮らしに興味があるなら、少し手伝ってみない？			でも、水田を狙う害虫には悩まされ続けているし、実りを得るためには、細やかなお世話が必要不可欠なの。もし私たちの暮らしに興味があるなら、少し手伝ってみない？			ナマイの野良仕事							
詳しい内容は、水田にいる私の旦那、「アゲタ」に聞いてみて。			詳しい内容は、水田にいる私の旦那、「アゲタ」に聞いてみて。			ナマイの野良仕事							
詳しい内容は、水田にいる私の旦那、「アゲタ」に聞いてみて。			詳しい内容は、水田にいる私の旦那、「アゲタ」に聞いてみて。			ナマイの野良仕事							
野良仕事を手伝ってみたいだって？若いもんが減って人手不足に困ってたところだから、こちらとしたら大歓迎さ！			野良仕事を手伝ってみたいだって？若いもんが減って人手不足に困ってたところだから、こちらとしたら大歓迎さ！			ナマイの野良仕事							
そうだな……まずは水田から養分を奪う、「オモダカ」という雑草を抜いてきてくれないか？終わったら、また俺のところに来てくれ。			そうだな……まずは水田から養分を奪う、「オモダカ」という雑草を抜いてきてくれないか？終わったら、また俺のところに来てくれ。			ナマイの野良仕事							
まずは水田から養分を奪う、「オモダカ」という雑草を抜いてきてくれないか？終わったら、また俺のところに来てくれ。			まずは水田から養分を奪う、「オモダカ」という雑草を抜いてきてくれないか？終わったら、また俺のところに来てくれ。			ナマイの野良仕事							
たまには野良仕事もいいものでしょう？気分転換になるんじゃないかしら。			たまには野良仕事もいいものでしょう？気分転換になるんじゃないかしら。			ナマイの野良仕事							
ご苦労さま！「オモダカ」はナマイ村の名にもなった草だし、縁起物でもあるんだけど、抜かないと稲の育ちが悪くなるからね。			ご苦労さま！「オモダカ」はナマイ村の名にもなった草だし、縁起物でもあるんだけど、抜かないと稲の育ちが悪くなるからね。			ナマイの野良仕事							
さあ、草むしりの次は、害虫退治だ。でも実際に働くのは、訓練した「イエスズメ」たちだけどね。この子たちは、害虫を食べてくれる、いい子たちなのさ。			さあ、草むしりの次は、害虫退治だ。でも実際に働くのは、訓練した「イエスズメ」たちだけどね。この子たちは、害虫を食べてくれる、いい子たちなのさ。			ナマイの野良仕事							
まずは、この「小さな鳥かご」を持って、水田に「イエスズメ」たちを放すんだ。			まずは、この「小さな鳥かご」を持って、水田に「イエスズメ」たちを放すんだ。			ナマイの野良仕事							
次に、「イエスズメ」たちの近くで「拍手」をすれば、音に反応して、一斉に仕事に取りかかってくれるはずさ。さあ、頼んだよ！			次に、「イエスズメ」たちの近くで「拍手」をすれば、音に反応して、一斉に仕事に取りかかってくれるはずさ。さあ、頼んだよ！			ナマイの野良仕事							
水田で「小さな鳥かご」を開けたら、「イエスズメ」たちの近くで「拍手する」といい。			水田で「小さな鳥かご」を開けたら、「イエスズメ」たちの近くで「拍手する」といい。			ナマイの野良仕事							
「イエスズメ」に、エモート「拍手する」をして、仕事に取りかかってもらおう。			「イエスズメ」に、エモート「拍手する」をして、仕事に取りかかってもらおう。			ナマイの野良仕事							
