不語仙の座卓のカヌ・エ・センナは、今後の方針について考えているようだ。			不語仙の座卓のカヌ・エ・センナは、今後の方針について考えているようだ。			黎明の死闘							
悪い悪い……。あんたに初めて会ったときと状況が似てたから、なんだか懐かしくなって、ついな。			悪い悪い……。あんたに初めて会ったときと状況が似てたから、なんだか懐かしくなって、ついな。			アラグの研究者							
さあ、急いで管理局に戻らないと、オレはともかくアリゼーに負けるかもしれないぞ？			さあ、急いで管理局に戻らないと、オレはともかくアリゼーに負けるかもしれないぞ？			アラグの研究者							
それから……ここに連れてきてくれて、ありがとな。機会を逃す前に、これだけ言っておきたかったんだ。			それから……ここに連れてきてくれて、ありがとな。機会を逃す前に、これだけ言っておきたかったんだ。			アラグの研究者							
目的のシャードを見つけたの？だったら、あなたの勝ちね……。島中をぐるぐる回ったけど、見つけられなかったのよ。			目的のシャードを見つけたの？だったら、あなたの勝ちね……。島中をぐるぐる回ったけど、見つけられなかったのよ。			アラグの研究者							
アリゼーは、残念ながらギブアップだったらしい。競争はあんたの勝ちだな！見つけた「高圧ライトニングシャード」を渡してもらえるか？			アリゼーは、残念ながらギブアップだったらしい。競争はあんたの勝ちだな！見つけた「高圧ライトニングシャード」を渡してもらえるか？			アラグの研究者							
さすがは、腕利きの冒険者ね。洞察力の違い……それとも勘が鋭いのかしら？			さすがは、腕利きの冒険者ね。洞察力の違い……それとも勘が鋭いのかしら？			アラグの研究者							
オレもアリゼーも、まだまだ見習うことが多そうだ。反省会はあとでするとして……ともかく端末をショートさせるとしよう。			オレもアリゼーも、まだまだ見習うことが多そうだ。反省会はあとでするとして……ともかく端末をショートさせるとしよう。			アラグの研究者							
よし、成功だ……。これで、ハビスフィアの扉のロックは解除された。			よし、成功だ……。これで、ハビスフィアの扉のロックは解除された。			アラグの研究者							
となると、次の問題は居住区内の防犯機構だな。作動したら、間違いなく面倒なことになる……。			となると、次の問題は居住区内の防犯機構だな。作動したら、間違いなく面倒なことになる……。			アラグの研究者							
なあ、ここはオレに任せてみてくれないか？皇血がクリスタルタワーに認証されたなら、こっちも通過できると思うんだ。			なあ、ここはオレに任せてみてくれないか？皇血がクリスタルタワーに認証されたなら、こっちも通過できると思うんだ。			アラグの研究者							
