裁縫師ギルドのレドレント・ローズは、素敵な誘いがあるようだ。			裁縫師ギルドのレドレント・ローズは、素敵な誘いがあるようだ。			老舗呉服店「大天屋」どす							
草布を納品した。これは不滅隊が使う包帯にされるらしい。レドレント・ローズは冒険者の腕が上がればまた課題を与えるつもりだ。冒険者ギルドのユースタスから受けられる、ギルドリーヴの「製作稼業」なども活用しながら、腕を磨くといいだろう。※裁縫師のレベルが15以上になると、レドレント・ローズから次の裁縫師クエストを受注することができます。			草布を納品した。これは不滅隊が使う包帯にされるらしい。レドレント・ローズは冒険者の腕が上がればまた課題を与えるつもりだ。冒険者ギルドのユースタスから受けられる、ギルドリーヴの「製作稼業」なども活用しながら、腕を磨くといいだろう。※裁縫師のレベルが15以上になると、レドレント・ローズから次の裁縫師クエストを受注することができます。			大至急でお願い							
レドレント・ローズに草布を納品			レドレント・ローズに草布を納品			大至急でお願い							
あら、Forenameちゃん!いいところに来てくれたわ、あなたは私の救世主よ！			あら、Forenameちゃん!いいところに来てくれたわ、あなたは私の救世主よ！			大至急でお願い							
お願い、「草布」を12枚作って！急な依頼でギルドの職人だけじゃ間に合わないの。			お願い、「草布」を12枚作って！急な依頼でギルドの職人だけじゃ間に合わないの。			大至急でお願い							
「草布」の素材は「草糸」よ。数が多いけどきっちり12枚、大至急そろえてちょうだい！			「草布」の素材は「草糸」よ。数が多いけどきっちり12枚、大至急そろえてちょうだい！			大至急でお願い							
「草布」はできた？数は多いけど12枚きっちり作ってね。			「草布」はできた？数は多いけど12枚きっちり作ってね。			大至急でお願い							
いち……に……12枚！ありがとう、助かっちゃったわ。			いち……に……12枚！ありがとう、助かっちゃったわ。			大至急でお願い							
裁縫師ギルドでは、普通の注文もこなしてるけど、時々不滅隊から大口のお仕事を受けることがあるの。			裁縫師ギルドでは、普通の注文もこなしてるけど、時々不滅隊から大口のお仕事を受けることがあるの。			大至急でお願い							
なんでも、シルバーバザーのあたりで小競り合いがおきて手当に使う包帯が足りなくなっちゃったみたいでねえ。その素材を大量に発注してきたってわけ。			なんでも、シルバーバザーのあたりで小競り合いがおきて手当に使う包帯が足りなくなっちゃったみたいでねえ。その素材を大量に発注してきたってわけ。			大至急でお願い							
普通の商人だったらしばらく待てって言うところだけどナナモ様のお声がかりの組織だから、私も断れなくって。			普通の商人だったらしばらく待てって言うところだけどナナモ様のお声がかりの組織だから、私も断れなくって。			大至急でお願い							
「草糸」で織った草布は、衣類や布製品の素材として最も一般的に使われているものよ。			「草糸」で織った草布は、衣類や布製品の素材として最も一般的に使われているものよ。			大至急でお願い							
全ての裁縫師が、草布を通じて裁縫を学ぶと言ってもいいくらい。安価で肌触りがいいから庶民にとってはおなじみの素材ね。			全ての裁縫師が、草布を通じて裁縫を学ぶと言ってもいいくらい。安価で肌触りがいいから庶民にとってはおなじみの素材ね。			大至急でお願い							
もう少し腕をあげたら、あなたの織った草布を使って裁縫師ギルドのお洋服を作ってもいいかもしれないわ。			もう少し腕をあげたら、あなたの織った草布を使って裁縫師ギルドのお洋服を作ってもいいかもしれないわ。			大至急でお願い							
