カストルム・オリエンスの黒渦団の兵卒は、熟練の冒険者に協力を仰ぎたいようだ。			カストルム・オリエンスの黒渦団の兵卒は、熟練の冒険者に協力を仰ぎたいようだ。			軋む歯車							
シュー……奴らはこの巣を出て、北へ行ったあたりに現れる。好物である、「気の抜けたエール」を撒けば、すぐに群がってくるだろう。			シュー……奴らはこの巣を出て、北へ行ったあたりに現れる。好物である、「気の抜けたエール」を撒けば、すぐに群がってくるだろう。			ヌメヌメでウネウネ							
シュー……お、おお……よくぞ、あの醜きギラバニアン・スラッグたちを討伐してきてくれた！「脱皮せぬ者」の中でも、特別勇気を兼ね備えた者のようだな！			シュー……お、おお……よくぞ、あの醜きギラバニアン・スラッグたちを討伐してきてくれた！「脱皮せぬ者」の中でも、特別勇気を兼ね備えた者のようだな！			ヌメヌメでウネウネ							
それにしても、貴様はギラバニアン・スラッグを見て、なんとも思わなかったのか？			それにしても、貴様はギラバニアン・スラッグを見て、なんとも思わなかったのか？			ヌメヌメでウネウネ							
ヌメヌメとした質感や、胴体から吹き出す謎の粘液、それに、ウネウネしたあの触覚……！美意識の高い我々には、あれのすべてがおぞましい！			ヌメヌメとした質感や、胴体から吹き出す謎の粘液、それに、ウネウネしたあの触覚……！美意識の高い我々には、あれのすべてがおぞましい！			ヌメヌメでウネウネ							
……しかし、ヒトの子は平気なようだから、また奴らが現れたときは、駆除を頼むとしよう。切実に、当てにしているぞ……。			……しかし、ヒトの子は平気なようだから、また奴らが現れたときは、駆除を頼むとしよう。切実に、当てにしているぞ……。			ヌメヌメでウネウネ							
ピーリングストーンズのメ・ジンジジは、食糧のことで困っているようだ。			ピーリングストーンズのメ・ジンジジは、食糧のことで困っているようだ。			嬉しい置き土産							
弱らせたテレオケラスに大きな麻袋を使い捕獲			弱らせたテレオケラスに大きな麻袋を使い捕獲			嬉しい置き土産							
メ・ジンジジにテレオケラス入り麻袋を渡す			メ・ジンジジにテレオケラス入り麻袋を渡す			嬉しい置き土産							
む、お前は……実は、困ったことがあってな……。このピーリングストーンズでは、狩猟で得た獲物は、誰が獲ったかに関わらず、皆で平等に分けるのが決まりだ。			む、お前は……実は、困ったことがあってな……。このピーリングストーンズでは、狩猟で得た獲物は、誰が獲ったかに関わらず、皆で平等に分けるのが決まりだ。			嬉しい置き土産							
だが、帝国軍が慌ただしく動いていたこともあって、しばらく狩りは中断していたんだ。			だが、帝国軍が慌ただしく動いていたこともあって、しばらく狩りは中断していたんだ。			嬉しい置き土産							
最近になって、ようやく再開することができたが……すぐに食糧不足が解決するわけではない。力を貸してもらえないだろうか。			最近になって、ようやく再開することができたが……すぐに食糧不足が解決するわけではない。力を貸してもらえないだろうか。			嬉しい置き土産							
北に棲息する「テレオケラス」を3体捕まえてきてほしい。捕獲の仕方は簡単だ。戦いで弱らせた後に、「大きな麻袋」を使えばいい。			北に棲息する「テレオケラス」を3体捕まえてきてほしい。捕獲の仕方は簡単だ。戦いで弱らせた後に、「大きな麻袋」を使えばいい。			嬉しい置き土産							
くれぐれも、殺さずに生かした状態で連れてきてくれよ。それでは、頼んだぞ。			くれぐれも、殺さずに生かした状態で連れてきてくれよ。それでは、頼んだぞ。			嬉しい置き土産							
「テレオケラス」の捕獲の仕方は簡単だ。戦いで弱らせた後に、「大きな麻袋」を使えばいい。			「テレオケラス」の捕獲の仕方は簡単だ。戦いで弱らせた後に、「大きな麻袋」を使えばいい。			嬉しい置き土産							
「テレオケラス」を3体、捕獲できたか？			「テレオケラス」を3体、捕獲できたか？			嬉しい置き土産							
ありがとう、まさか本当に捕まえてくるとはな。獰猛なテレオケラスは、熟練の者でも苦労する相手なのに。冒険者など辞めて、狩人になってみてはどうだ？			ありがとう、まさか本当に捕まえてくるとはな。獰猛なテレオケラスは、熟練の者でも苦労する相手なのに。冒険者など辞めて、狩人になってみてはどうだ？			嬉しい置き土産							
これだけあれば、食糧不足はなんとかなるだろう。テレオケラスには、食用以外の利用価値もあるしな。角や骨は武具作りに、皮はベルトやブーツにもなるのさ。			これだけあれば、食糧不足はなんとかなるだろう。テレオケラスには、食用以外の利用価値もあるしな。角や骨は武具作りに、皮はベルトやブーツにもなるのさ。			嬉しい置き土産							
テレオケラスは、もともとこの地方にいた生物ではなく、帝国が荷運びのために連れてきたんだ。だが、獰猛な獣ゆえ、上手く扱うことができなかったんだろう。			テレオケラスは、もともとこの地方にいた生物ではなく、帝国が荷運びのために連れてきたんだ。だが、獰猛な獣ゆえ、上手く扱うことができなかったんだろう。			嬉しい置き土産							
