スカイスチール機工房のステファニヴィアンは、冒険者に頼みたいことがあるようだ。			スカイスチール機工房のステファニヴィアンは、冒険者に頼みたいことがあるようだ。			師を選ばば冒険者							
ステファニヴィアンと話した。何者かの妨害のせいで、満足な準備ができないまま模擬戦に臨まなければならなくなった。模擬戦の結果は、冒険者の活躍にかかっている。アインハルト家を勝利に導くことはできるだろうか？			ステファニヴィアンと話した。何者かの妨害のせいで、満足な準備ができないまま模擬戦に臨まなければならなくなった。模擬戦の結果は、冒険者の活躍にかかっている。アインハルト家を勝利に導くことはできるだろうか？			起死回生の切り札							
ジョイと話す			ジョイと話す			起死回生の切り札							
ロスティンスタルと話す			ロスティンスタルと話す			起死回生の切り札							
不審者にスラッグショットをする			不審者にスラッグショットをする			起死回生の切り札							
ステファニヴィアンと話す			ステファニヴィアンと話す			起死回生の切り札							
ジョイと話す			ジョイと話す			起死回生の切り札							
ステファニヴィアンと話す			ステファニヴィアンと話す			起死回生の切り札							
やあ、Forename！ついに、決戦の日がやって来たぞ。この模擬戦の結果次第で、「機工士」の未来が決まる！			やあ、Forename！ついに、決戦の日がやって来たぞ。この模擬戦の結果次第で、「機工士」の未来が決まる！			起死回生の切り札							
皆を集めて、作戦会議をしたい。ジョイは工房の外にいるから、声をかけてくれ。指南役の居場所も、彼女が知っているだろう。			皆を集めて、作戦会議をしたい。ジョイは工房の外にいるから、声をかけてくれ。指南役の居場所も、彼女が知っているだろう。			起死回生の切り札							
皆を集めて、作戦会議をしたい。ジョイは工房の外にいるから、声をかけてくれ。指南役の居場所も、彼女が知っているだろう。			皆を集めて、作戦会議をしたい。ジョイは工房の外にいるから、声をかけてくれ。指南役の居場所も、彼女が知っているだろう。			起死回生の切り札							
Forename様、大変です！も、模擬戦用の銃が、軒並み壊されているんです……！			Forename様、大変です！も、模擬戦用の銃が、軒並み壊されているんです……！			起死回生の切り札							
ぼっ、ぼっちゃまに報告しなくちゃ……！い、いえ……別の場所に保管している銃が使えれば、模擬戦では戦えますし……あわわわ。			ぼっ、ぼっちゃまに報告しなくちゃ……！い、いえ……別の場所に保管している銃が使えれば、模擬戦では戦えますし……あわわわ。			起死回生の切り札							
はっ、さすがはForename様です……。確かに、こんな時こそ落ち着かなければなりませんね。まずは予備の銃を確認して、ぼっちゃまに報告します！			はっ、さすがはForename様です……。確かに、こんな時こそ落ち着かなければなりませんね。まずは予備の銃を確認して、ぼっちゃまに報告します！			起死回生の切り札							
……指南役の居場所ですか？先ほど「聖レネット広場」のほうに、歩いていかれましたよ。			……指南役の居場所ですか？先ほど「聖レネット広場」のほうに、歩いていかれましたよ。			起死回生の切り札							
Forename、いいところに来た。工房の周りに、また不審者が現れている。			Forename、いいところに来た。工房の周りに、また不審者が現れている。			起死回生の切り札							
なに、模擬戦用の銃が壊されてただと……！？どこのどいつか知らんが、「機工士」を潰したい奴らが、なりふり構わず動き出したか。			なに、模擬戦用の銃が壊されてただと……！？どこのどいつか知らんが、「機工士」を潰したい奴らが、なりふり構わず動き出したか。			起死回生の切り札							
不審者を残らず排除したほうがよさそうだ。お前は、工房の周りをひととおり見回ってみてくれ。			不審者を残らず排除したほうがよさそうだ。お前は、工房の周りをひととおり見回ってみてくれ。			起死回生の切り札							
不審な輩がいたら、「スラッグショット」を使って追っ払え。それが終わったら、工房に集合だ。			不審な輩がいたら、「スラッグショット」を使って追っ払え。それが終わったら、工房に集合だ。			起死回生の切り札							
現在「スラッグショット」を使用できないため、「ヒートスラッグショット」を使用することで、クエスト進行が可能となります。			現在「スラッグショット」を使用できないため、「ヒートスラッグショット」を使用することで、クエスト進行が可能となります。			起死回生の切り札							
ここなら、人目もすくなそうだ、ケケケ。			ここなら、人目もすくなそうだ、ケケケ。			起死回生の切り札							
……ぎゃ！　みつかったか！			……ぎゃ！　みつかったか！			起死回生の切り札							
「機工士」に恨みはないが……うまくいけば、金が手に入るんだ……。			「機工士」に恨みはないが……うまくいけば、金が手に入るんだ……。			起死回生の切り札							
ぐはっ！　オ、俺は何も悪くない！			ぐはっ！　オ、俺は何も悪くない！			起死回生の切り札							
