シャバーブチェのローデニケは、不安げな表情を浮かべている。			シャバーブチェのローデニケは、不安げな表情を浮かべている。			根雪に包まれて							
よっ、オマエもこっちに戻ってきたか。イシュガルドは北国だったからよかったけど、やっぱりトライヨラの暑さはキッツいな～！			よっ、オマエもこっちに戻ってきたか。イシュガルドは北国だったからよかったけど、やっぱりトライヨラの暑さはキッツいな～！			寝ても覚めても							
あっ、Forename！ここで会えてよかった。			あっ、Forename！ここで会えてよかった。			寝ても覚めても							
ワタシたちも、ちょうどさっき着いたところで、祭器を無事に取り戻したこと、ブルケブに報告してたの。			ワタシたちも、ちょうどさっき着いたところで、祭器を無事に取り戻したこと、ブルケブに報告してたの。			寝ても覚めても							
トライヨラに、イシュガルド……よその土地のことなんて全然知らなかったから、皆には本当に世話になっちゃった。			トライヨラに、イシュガルド……よその土地のことなんて全然知らなかったから、皆には本当に世話になっちゃった。			寝ても覚めても							
あれ？なんだか小難しい顔して、何を考えてるのかな？			あれ？なんだか小難しい顔して、何を考えてるのかな？			寝ても覚めても							
いや、ほら……今回の旅の間、ずっと考えてたこと。			いや、ほら……今回の旅の間、ずっと考えてたこと。			寝ても覚めても							
うちの部族は、外の連中となんら交流してこなかった。けど神殿騎士団とズンド族みたいに……手を取り合って、困難を乗り越える道もあると思うんだ。			うちの部族は、外の連中となんら交流してこなかった。けど神殿騎士団とズンド族みたいに……手を取り合って、困難を乗り越える道もあると思うんだ。			寝ても覚めても							
アンドゥルーも、今回の事件で、むしろ、両者の絆を確かめあえたなんて言っててさ。そう言えるくらい相手を信じられるのって、すごいと思う。			アンドゥルーも、今回の事件で、むしろ、両者の絆を確かめあえたなんて言っててさ。そう言えるくらい相手を信じられるのって、すごいと思う。			寝ても覚めても							
そして何よりも感動したのが、最後に迷わず祭器の前に立ちはだかったヤツ……			そして何よりも感動したのが、最後に迷わず祭器の前に立ちはだかったヤツ……			寝ても覚めても							
Forename、オマエだ。			Forename、オマエだ。			寝ても覚めても							
仲間を信じて後を託し、笑顔で倒れていく……。そういう戦い方があるってこと、学ばせてもらったよ。			仲間を信じて後を託し、笑顔で倒れていく……。そういう戦い方があるってこと、学ばせてもらったよ。			寝ても覚めても							
何と言う？			何と言う？			寝ても覚めても							
護り手が倒れても、そこで終わりじゃない			護り手が倒れても、そこで終わりじゃない			寝ても覚めても							
先に庇ってくれたのはテントーワの方だ			先に庇ってくれたのはテントーワの方だ			寝ても覚めても							
信じられる仲間がいるってことも、護り手として大事な力のひとつってわけだな。			信じられる仲間がいるってことも、護り手として大事な力のひとつってわけだな。			寝ても覚めても							
あー、そういえばそうだったっけ……？あのときは必死だったから、何も考えてなかったよ。			あー、そういえばそうだったっけ……？あのときは必死だったから、何も考えてなかったよ。			寝ても覚めても							
けど、単純に仲間がいればいいってわけでもない。今はまだ敵対しているほかの部族とも、積極的に交流して関係を良くしていこうと思う。			けど、単純に仲間がいればいいってわけでもない。今はまだ敵対しているほかの部族とも、積極的に交流して関係を良くしていこうと思う。			寝ても覚めても							
そうやって、訪れる脅威にも皆で立ち向かえるようになれば、「眠らずの勇士」も「眠り子」も、必要なくなって……。			そうやって、訪れる脅威にも皆で立ち向かえるようになれば、「眠らずの勇士」も「眠り子」も、必要なくなって……。			寝ても覚めても							
