キャンプ・クラウドトップのカリボーは、畑の世話をしながら手隙の者を探している。			キャンプ・クラウドトップのカリボーは、畑の世話をしながら手隙の者を探している。			一石二鳥の鳥退治							
ま、待つのだ、グヌバヌよ！……妻に黙っているのであれば、失格は取り消そう。ほかの「価値のある品」を持ってくるがよい。			ま、待つのだ、グヌバヌよ！……妻に黙っているのであれば、失格は取り消そう。ほかの「価値のある品」を持ってくるがよい。			司祭さまのヒミツ							
やったぁ！さすが司祭さま、お心が広いんだぞ～！			やったぁ！さすが司祭さま、お心が広いんだぞ～！			司祭さまのヒミツ							
オク・ズンドのグヌバヌは、いよいよ困っているようだ。			オク・ズンドのグヌバヌは、いよいよ困っているようだ。			黒き悪魔							
グヌバヌは、儀式の献上物に悩んでいるようだ。オク・ズンドの「グナバヌ」に相談しよう。			グヌバヌは、儀式の献上物に悩んでいるようだ。オク・ズンドの「グナバヌ」に相談しよう。			黒き悪魔							
グナバヌは、オク・ブンド・ヴァナに侵入し、ピカピカを盗んではどうかと提案した。アバラシア雲海のオク・ブンド・ヴァナにいる「グヌバヌ」と話そう。			グナバヌは、オク・ブンド・ヴァナに侵入し、ピカピカを盗んではどうかと提案した。アバラシア雲海のオク・ブンド・ヴァナにいる「グヌバヌ」と話そう。			黒き悪魔							
グヌバヌから、帝国兵の注意を引いてほしいと頼まれた。オク・ブンド・ヴァナで、「VIレギオン・トリアリウス」、「VIレギオン・ミュルミッロ」、「VIレギオン・ベスティアリウス」、「VIレギオン・ヴェリス」、「VIレギオン・イマギニファー」のいずれかを3体討伐しよう。			グヌバヌから、帝国兵の注意を引いてほしいと頼まれた。オク・ブンド・ヴァナで、「VIレギオン・トリアリウス」、「VIレギオン・ミュルミッロ」、「VIレギオン・ベスティアリウス」、「VIレギオン・ヴェリス」、「VIレギオン・イマギニファー」のいずれかを3体討伐しよう。			黒き悪魔							
帝国兵を討伐した。オク・ブンド・ヴァナの「グヌバヌ」に報告しよう。			帝国兵を討伐した。オク・ブンド・ヴァナの「グヌバヌ」に報告しよう。			黒き悪魔							
グヌバヌから、再度帝国兵を倒してほしいと頼まれた。オク・ブンド・ヴァナで、「VIレギオン・トリアリウス」、「VIレギオン・ミュルミッロ」、「VIレギオン・ベスティアリウス」、「VIレギオン・ヴェリス」、「VIレギオン・イマギニファー」のいずれかを3体討伐しよう。			グヌバヌから、再度帝国兵を倒してほしいと頼まれた。オク・ブンド・ヴァナで、「VIレギオン・トリアリウス」、「VIレギオン・ミュルミッロ」、「VIレギオン・ベスティアリウス」、「VIレギオン・ヴェリス」、「VIレギオン・イマギニファー」のいずれかを3体討伐しよう。			黒き悪魔							
再度、帝国兵を討伐した。オク・ブンド・ヴァナの「グヌバヌ」に報告しよう。			再度、帝国兵を討伐した。オク・ブンド・ヴァナの「グヌバヌ」に報告しよう。			黒き悪魔							
グヌバヌから、さらに帝国兵を倒してほしいと頼まれた。オク・ブンド・ヴァナで、「VIレギオン・トリアリウス」、「VIレギオン・ミュルミッロ」、「VIレギオン・ベスティアリウス」、「VIレギオン・ヴェリス」、「VIレギオン・イマギニファー」のいずれかを3体討伐しよう。			グヌバヌから、さらに帝国兵を倒してほしいと頼まれた。オク・ブンド・ヴァナで、「VIレギオン・トリアリウス」、「VIレギオン・ミュルミッロ」、「VIレギオン・ベスティアリウス」、「VIレギオン・ヴェリス」、「VIレギオン・イマギニファー」のいずれかを3体討伐しよう。			黒き悪魔							
さらに、帝国兵を討伐した。オク・ブンド・ヴァナの「グヌバヌ」に報告しよう。			さらに、帝国兵を討伐した。オク・ブンド・ヴァナの「グヌバヌ」に報告しよう。			黒き悪魔							
グヌバヌは、無事に帝国軍から何かを盗み出せたようだ。オク・ズンドの「アヌバヌ」と話そう。			グヌバヌは、無事に帝国軍から何かを盗み出せたようだ。オク・ズンドの「アヌバヌ」と話そう。			黒き悪魔							
アヌバヌに声をかけ、グヌバヌが盗んできた品を見せた。「伝説の黒き悪魔」を従えたとされたグヌバヌは、儀式を通過することができたようだ。オク・ズンドの「グナバヌ」に報告しよう。			アヌバヌに声をかけ、グヌバヌが盗んできた品を見せた。「伝説の黒き悪魔」を従えたとされたグヌバヌは、儀式を通過することができたようだ。オク・ズンドの「グナバヌ」に報告しよう。			黒き悪魔							
グナバヌに、グヌバヌが儀式を通過したと報告し、感謝された。彼は兄として、怠惰な弟が少しずつでもしっかりしていくことを、願っているのであった……。			グナバヌに、グヌバヌが儀式を通過したと報告し、感謝された。彼は兄として、怠惰な弟が少しずつでもしっかりしていくことを、願っているのであった……。			黒き悪魔							
グナバヌと話す			グナバヌと話す			黒き悪魔							
グヌバヌと話す			グヌバヌと話す			黒き悪魔							
オク・ブンド・ヴァナの帝国兵を討伐			オク・ブンド・ヴァナの帝国兵を討伐			黒き悪魔							
グヌバヌに報告			グヌバヌに報告			黒き悪魔							
オク・ブンド・ヴァナの帝国兵を討伐			オク・ブンド・ヴァナの帝国兵を討伐			黒き悪魔							
グヌバヌに報告			グヌバヌに報告			黒き悪魔							
オク・ブンド・ヴァナの帝国兵を討伐			オク・ブンド・ヴァナの帝国兵を討伐			黒き悪魔							
グヌバヌに報告			グヌバヌに報告			黒き悪魔							
アヌバヌと話す			アヌバヌと話す			黒き悪魔							
