双剣士ギルドのジャックは、「黒の棺」の奪還に乗り出すようだ。			双剣士ギルドのジャックは、「黒の棺」の奪還に乗り出すようだ。			手を伸ばす先の勝利							
冷えたエール			冷えたエール			砕けたガラクタ							
強烈なエール			強烈なエール			砕けたガラクタ							
薄めたエール			薄めたエール			砕けたガラクタ							
はい、かしこまりました。席について、少々お待ちくださいね。……あら、ご注文を変更するのですか？			はい、かしこまりました。席について、少々お待ちくださいね。……あら、ご注文を変更するのですか？			砕けたガラクタ							
あらまぁ、おかしな注文ですね！うちは安酒は出しますが、酔えない酒は出さない主義ですよ。			あらまぁ、おかしな注文ですね！うちは安酒は出しますが、酔えない酒は出さない主義ですよ。			砕けたガラクタ							
酔うつもりのないあなたは、さしずめ仕事の虜かしら？エールの代わりに、情報はいかがです？			酔うつもりのないあなたは、さしずめ仕事の虜かしら？エールの代わりに、情報はいかがです？			砕けたガラクタ							
ふふ、私も双剣士ギルドの一員なんです。今はこうして給仕をしながら、情報を集めています。……それで、あなたは何を聞きに？			ふふ、私も双剣士ギルドの一員なんです。今はこうして給仕をしながら、情報を集めています。……それで、あなたは何を聞きに？			砕けたガラクタ							
……なるほど、「XLIII式点火装置」を奪った犯人ですね。それなら、目星がついていますよ。			……なるほど、「XLIII式点火装置」を奪った犯人ですね。それなら、目星がついていますよ。			砕けたガラクタ							
犯人と思われるのは「撃滅粉砕団」という、奇妙な名をした海賊あがりの荒くれ者たち……。近頃、帝国製の機械を探し回っているようです。			犯人と思われるのは「撃滅粉砕団」という、奇妙な名をした海賊あがりの荒くれ者たち……。近頃、帝国製の機械を探し回っているようです。			砕けたガラクタ							
彼らの特徴は、ゴブリン族と結託していること。ゴブリン族に上納品を渡すことで、中央ラノシアにあるキャンプを使っているのだとか……。			彼らの特徴は、ゴブリン族と結託していること。ゴブリン族に上納品を渡すことで、中央ラノシアにあるキャンプを使っているのだとか……。			砕けたガラクタ							
その上納品というのが、帝国製の機械なんです。ゴブリン族は、機械いじりが大好きですからね。「XLIII式点火装置」も大喜びで受け取るでしょう。			その上納品というのが、帝国製の機械なんです。ゴブリン族は、機械いじりが大好きですからね。「XLIII式点火装置」も大喜びで受け取るでしょう。			砕けたガラクタ							
装置を奪還するおつもりなら、サマーフォードへ……。そこに、「撃滅粉砕団」が使っている、ゴブリン族のキャンプがあるはずです。			装置を奪還するおつもりなら、サマーフォードへ……。そこに、「撃滅粉砕団」が使っている、ゴブリン族のキャンプがあるはずです。			砕けたガラクタ							
それじゃあ、そのキャンプの近くで合流しましょう。姑息な相手みたいですから、慎重にいかないと……。			それじゃあ、そのキャンプの近くで合流しましょう。姑息な相手みたいですから、慎重にいかないと……。			砕けたガラクタ							
装置を奪還するおつもりなら、サマーフォードへ……。そこに、「撃滅粉砕団」が使っている、ゴブリン族のキャンプがあるはずです。			装置を奪還するおつもりなら、サマーフォードへ……。そこに、「撃滅粉砕団」が使っている、ゴブリン族のキャンプがあるはずです。			砕けたガラクタ							
