槍術士ギルドのイウェインは、旧友を助けてもらいたいようだ。			槍術士ギルドのイウェインは、旧友を助けてもらいたいようだ。			竜の眼							
オーン・カイと話した。千年を超えてヴェズルフェルニルとファウネムは、番いに戻った。彼らはいつまでも、ドラヴァニアの空で寄り添いながら暮らすだろう。長かったオーン・カイとの冒険も、ここで終わりだ。旅の相棒と、もうひとりの蒼の竜騎士に別れを告げ、新たな一歩を踏み出そう。※以下の条件を満たすと、アドネール占星台のアルベリクから、新たなジョブクエストを受注することができます。1.「漆黒のヴィランズ」のプレイ権を所有している。2.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。3.ファイター系DPSロールの「ロールクエスト 漆黒編」を完了する。			オーン・カイと話した。千年を超えてヴェズルフェルニルとファウネムは、番いに戻った。彼らはいつまでも、ドラヴァニアの空で寄り添いながら暮らすだろう。長かったオーン・カイとの冒険も、ここで終わりだ。旅の相棒と、もうひとりの蒼の竜騎士に別れを告げ、新たな一歩を踏み出そう。※以下の条件を満たすと、アドネール占星台のアルベリクから、新たなジョブクエストを受注することができます。1.「漆黒のヴィランズ」のプレイ権を所有している。2.「メインクエスト：漆黒のヴィランズ」の、　「漆黒のヴィランズ」を完了する。3.ファイター系DPSロールの「ロールクエスト 漆黒編」を完了する。			紅の竜騎士							
オーン・カイと話す			オーン・カイと話す			紅の竜騎士							
本クエストを進行するためには、「メインクエスト：紅蓮のリベレーター」の、「混乱のスペキュラ」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：紅蓮のリベレーター」の、「混乱のスペキュラ」を完了する必要があります。			紅の竜騎士							
Forename、来てくれたんだ……。ごめんよ、ファウネムさんが暴走した原因だけど、まだ手がかりさえ掴めてないんだ。			Forename、来てくれたんだ……。ごめんよ、ファウネムさんが暴走した原因だけど、まだ手がかりさえ掴めてないんだ。			紅の竜騎士							
ごめん……本当にごめんよ。Forenameより年上なんだし、僕がしっかりしないといけないっていうのにさ……。			ごめん……本当にごめんよ。Forenameより年上なんだし、僕がしっかりしないといけないっていうのにさ……。			紅の竜騎士							
あれれ、もしかして、Forenameって、僕より年上だと思ってたの？			あれれ、もしかして、Forenameって、僕より年上だと思ってたの？			紅の竜騎士							
やだなぁ、ドラゴン族の方が、ずっと長生きなんだよ？			やだなぁ、ドラゴン族の方が、ずっと長生きなんだよ？			紅の竜騎士							
…………ん？長生き……長生き……そうか、わかったかもしれないぞ！			…………ん？長生き……長生き……そうか、わかったかもしれないぞ！			紅の竜騎士							
ドラゴン族は、悠久の時を生きる種族だ。だから、悲しみを抱えたまま、何百年と孤独に過ごしていると、心が壊れてしまうことがあるって、古き翼から聞いたことがある！			ドラゴン族は、悠久の時を生きる種族だ。だから、悲しみを抱えたまま、何百年と孤独に過ごしていると、心が壊れてしまうことがあるって、古き翼から聞いたことがある！			紅の竜騎士							
だから、番いと寄り添って生きるんだって……。僕は、まだ番いを作るほどは、生きてないからわからないけど、ヒトが「結婚」っていうのをするのも同じ理由でしょ？			だから、番いと寄り添って生きるんだって……。僕は、まだ番いを作るほどは、生きてないからわからないけど、ヒトが「結婚」っていうのをするのも同じ理由でしょ？			紅の竜騎士							
人が結婚する理由は？			人が結婚する理由は？			紅の竜騎士							
愛のため			愛のため			紅の竜騎士							
子孫を残すため			子孫を残すため			紅の竜騎士							
…………			…………			紅の竜騎士							
ん～、よくわからないや。まぁ、ドラゴン族と同じようなものってことかな？			ん～、よくわからないや。まぁ、ドラゴン族と同じようなものってことかな？			紅の竜騎士							
えっ、ヒトって、ふたりいないと子ども残せないの！？寿命も短いっていうのに、よくそんなので絶滅しないねぇ。ドラゴン族みたいに、ひとりで卵を産めばいいのに！			えっ、ヒトって、ふたりいないと子ども残せないの！？寿命も短いっていうのに、よくそんなので絶滅しないねぇ。ドラゴン族みたいに、ひとりで卵を産めばいいのに！			紅の竜騎士							
急に黙ってどうしたの？あ、照れてるのか……Forenameは、お子様だなぁ！			急に黙ってどうしたの？あ、照れてるのか……Forenameは、お子様だなぁ！			紅の竜騎士							
とにかく、ファウネムさんが狂気に堕ちたのは、番いである父ちゃんと別れて暮らす、孤独が原因だと思う。それで、どうすればいいかってことだけど……。			とにかく、ファウネムさんが狂気に堕ちたのは、番いである父ちゃんと別れて暮らす、孤独が原因だと思う。それで、どうすればいいかってことだけど……。			紅の竜騎士							
むっ、お前たちは、この前の……「漆黒の巨竜」と出会い生き延びるとは幸運だったな。			むっ、お前たちは、この前の……「漆黒の巨竜」と出会い生き延びるとは幸運だったな。			紅の竜騎士							
そうそう、巨竜と言えば、ケスティル族の商人たちが、金を出し合って、「竜狩りの達人」を雇ったと聞いたぞ。倒せるとも思えんが、お手並み拝見といこうか……。			そうそう、巨竜と言えば、ケスティル族の商人たちが、金を出し合って、「竜狩りの達人」を雇ったと聞いたぞ。倒せるとも思えんが、お手並み拝見といこうか……。			紅の竜騎士							
