漁師ギルドのシシプは、ワワラゴの様子が気にかかるようだ。			漁師ギルドのシシプは、ワワラゴの様子が気にかかるようだ。			海の流星							
たとえば「ハーバーヘリング」なら、釣り餌は「ラグワーム」を使ってもダメよ。ちゃんと「ピルバグ」を使ってあげないと。			たとえば「ハーバーヘリング」なら、釣り餌は「ラグワーム」を使ってもダメよ。ちゃんと「ピルバグ」を使ってあげないと。			好きな釣り餌、嫌いな釣り餌							
実際に、体験してみるといいわね。試しに「ハーバーヘリング」を3匹、釣ってみて。この「リムサ・ロミンサ」の都市内で釣れるはずよ。			実際に、体験してみるといいわね。試しに「ハーバーヘリング」を3匹、釣ってみて。この「リムサ・ロミンサ」の都市内で釣れるはずよ。			好きな釣り餌、嫌いな釣り餌							
そうそう、同じ場所で長時間の釣りをしても、お魚さんが警戒して、次第に釣れなくなってくるわよ。ほどほどにするようにね。			そうそう、同じ場所で長時間の釣りをしても、お魚さんが警戒して、次第に釣れなくなってくるわよ。ほどほどにするようにね。			好きな釣り餌、嫌いな釣り餌							
「ハーバーヘリング」はまだ3匹釣れないの？「リムサ・ロミンサ」なら、どこででも釣れるはずよ。餌は「ピルバグ」を使いなさい。			「ハーバーヘリング」はまだ3匹釣れないの？「リムサ・ロミンサ」なら、どこででも釣れるはずよ。餌は「ピルバグ」を使いなさい。			好きな釣り餌、嫌いな釣り餌							
あなたの釣った「ハーバーヘリング」は、遠洋航海に持っていくための保存食として、塩漬けにしたりするお魚さんよ。			あなたの釣った「ハーバーヘリング」は、遠洋航海に持っていくための保存食として、塩漬けにしたりするお魚さんよ。			好きな釣り餌、嫌いな釣り餌							
励んでおるようぢやな。ワシも若い頃は、お魚さんとの真剣勝負に打ち込んだもんぢや。			励んでおるようぢやな。ワシも若い頃は、お魚さんとの真剣勝負に打ち込んだもんぢや。			好きな釣り餌、嫌いな釣り餌							
わっ、また来たの、親分！？			わっ、また来たの、親分！？			好きな釣り餌、嫌いな釣り餌							
ひどい言い草ぢや……ギルドマスターはワシなのに。			ひどい言い草ぢや……ギルドマスターはワシなのに。			好きな釣り餌、嫌いな釣り餌							
だったら、ちゃんと仕事してよね！働かざる者、なんとかかんとかよ！？			だったら、ちゃんと仕事してよね！働かざる者、なんとかかんとかよ！？			好きな釣り餌、嫌いな釣り餌							
ううっ、シシプちゃんが年寄りに厳しいのぢや。若い頃に、七つの海を渡り歩いて釣りまくったワシに、さらに働けと追い打ちをかけるんぢや。			ううっ、シシプちゃんが年寄りに厳しいのぢや。若い頃に、七つの海を渡り歩いて釣りまくったワシに、さらに働けと追い打ちをかけるんぢや。			好きな釣り餌、嫌いな釣り餌							
でもでも、遊びまわって腕を錆び付かせちゃったら、何にもなんないじゃないのよ！			でもでも、遊びまわって腕を錆び付かせちゃったら、何にもなんないじゃないのよ！			好きな釣り餌、嫌いな釣り餌							
……ともかく、漁師はお魚さんあっての生業なんだから、お魚さんと真剣に向き合うことが大事なの、わかる？			……ともかく、漁師はお魚さんあっての生業なんだから、お魚さんと真剣に向き合うことが大事なの、わかる？			好きな釣り餌、嫌いな釣り餌							
わかってくれたのなら……「釣り手帳」を、もっと活用してみるといいんじゃない？			わかってくれたのなら……「釣り手帳」を、もっと活用してみるといいんじゃない？			好きな釣り餌、嫌いな釣り餌							
最初のうちは、手帳に書いてあることがわからなくても、経験を積めば理解できるようになるはずよ、がんばってね。			最初のうちは、手帳に書いてあることがわからなくても、経験を積めば理解できるようになるはずよ、がんばってね。			好きな釣り餌、嫌いな釣り餌							
じゃあ、今回はこれでおしまい。またしばらくは、自分で努力を続けてみてね。それまでに私は、また新しい課題を用意しておくわ。			じゃあ、今回はこれでおしまい。またしばらくは、自分で努力を続けてみてね。それまでに私は、また新しい課題を用意しておくわ。			好きな釣り餌、嫌いな釣り餌							
釣り手帳の「釣果記録」には、魚の生息域毎に最大サイズを記録した魚が書き込まれます。			釣り手帳の「釣果記録」には、魚の生息域毎に最大サイズを記録した魚が書き込まれます。			好きな釣り餌、嫌いな釣り餌							
魚の生息域は「魚類図鑑」で確認できます。大きな魚を狙い、「釣果記録」を更新しましょう。			魚の生息域は「魚類図鑑」で確認できます。大きな魚を狙い、「釣果記録」を更新しましょう。			好きな釣り餌、嫌いな釣り餌							
