特殊ルール： レベルアジャストイェドリマンのオグルは、怯えているようだ。			特殊ルール： レベルアジャストイェドリマンのオグルは、怯えているようだ。			アジムステップの若き冒険者							
星戦士団の方と、森を見回っているところだったのね。それなら、あなたが来た道を辿れば安全そうだし、もう少しがんばって、里へ向かってみるわ。			星戦士団の方と、森を見回っているところだったのね。それなら、あなたが来た道を辿れば安全そうだし、もう少しがんばって、里へ向かってみるわ。			星戦士団の巡回							
星戦士団の方が一緒なら、安心だわ……。			星戦士団の方が一緒なら、安心だわ……。			星戦士団の巡回							
戻られたか。こちらの方とここで出くわしてな、事情は聞いた。我らが守るべき島民を救ってくれたこと、感謝している。			戻られたか。こちらの方とここで出くわしてな、事情は聞いた。我らが守るべき島民を救ってくれたこと、感謝している。			星戦士団の巡回							
本当にありがとう。あなたが来てくれて、命拾いしたわ。			本当にありがとう。あなたが来てくれて、命拾いしたわ。			星戦士団の巡回							
あなたへのお礼もしたいし、話の続きは「パーラカの里」ですることにしよう。			あなたへのお礼もしたいし、話の続きは「パーラカの里」ですることにしよう。			星戦士団の巡回							
ご足労、痛み入る。私が見回った場所は、拾い物が数点あったぐらいだ。あなたのほうは、避難民と獣の件以外で気になることは？			ご足労、痛み入る。私が見回った場所は、拾い物が数点あったぐらいだ。あなたのほうは、避難民と獣の件以外で気になることは？			星戦士団の巡回							
む……「マヌシャの彫像」を拾ったんだな。獣のような仮面を被った姿を、不思議に思ったんじゃないか？			む……「マヌシャの彫像」を拾ったんだな。獣のような仮面を被った姿を、不思議に思ったんじゃないか？			星戦士団の巡回							
これは、人の姿をした「マヌシャ神群」の女神が、獣の姿をした「ムリガ神群」の力を求め、自らの頭をもいで、すげかえたという神話を表している。			これは、人の姿をした「マヌシャ神群」の女神が、獣の姿をした「ムリガ神群」の力を求め、自らの頭をもいで、すげかえたという神話を表している。			星戦士団の巡回							
また、ムリガ神群は知恵を求めてマヌシャ神群の頭にすげかえ、以て、力と知恵を持つ第二世代の神々が生まれ、和がもたらされた……というわけだ。			また、ムリガ神群は知恵を求めてマヌシャ神群の頭にすげかえ、以て、力と知恵を持つ第二世代の神々が生まれ、和がもたらされた……というわけだ。			星戦士団の巡回							
避難民の落とし物だとは思うが……「種族を越えて力を合わせ、この困難を乗り越えよ」と、女神から天啓を受けたような心地にさせられるな。			避難民の落とし物だとは思うが……「種族を越えて力を合わせ、この困難を乗り越えよ」と、女神から天啓を受けたような心地にさせられるな。			星戦士団の巡回							
いずれにせよ、放置したままにはできない代物だ。彫像の持ち主は、責任をもって探しておく。ここまでのご助力に、心から感謝を。			いずれにせよ、放置したままにはできない代物だ。彫像の持ち主は、責任をもって探しておく。ここまでのご助力に、心から感謝を。			星戦士団の巡回							
特殊ルール： レベルアジャストパーラカの里のアウラ族の父親は、娘を探しているようだ。			特殊ルール： レベルアジャストパーラカの里のアウラ族の父親は、娘を探しているようだ。			娘の願いと二輪の花							
赤い上着の少女を探して同行させる			赤い上着の少女を探して同行させる			娘の願いと二輪の花							
赤い上着の少女を連れて頼まれた花を入手			赤い上着の少女を連れて頼まれた花を入手			娘の願いと二輪の花							
赤い上着の少女を連れてプルシャ寺院にいるアウラ族の父親と合流			赤い上着の少女を連れてプルシャ寺院にいるアウラ族の父親と合流			娘の願いと二輪の花							
指定地点にムリガの花を置く			指定地点にムリガの花を置く			娘の願いと二輪の花							
アウラ族の父親と話す			アウラ族の父親と話す			娘の願いと二輪の花							
君は、メヴァンの赤ん坊を助けてくれた人！すまないが、私の娘を探すのを手伝ってくれないか！？ひとりで森に行ってしまったようなんだ！			君は、メヴァンの赤ん坊を助けてくれた人！すまないが、私の娘を探すのを手伝ってくれないか！？ひとりで森に行ってしまったようなんだ！			娘の願いと二輪の花							
