忘れられた騎士亭のシドゥルグは、真剣な様子だ。			忘れられた騎士亭のシドゥルグは、真剣な様子だ。			暗影に沈むエピローグ							
くっ……。今日のところは、警告をしたまでだ。その穢れた名のとおり、闇から這い出さずにいることだな。			くっ……。今日のところは、警告をしたまでだ。その穢れた名のとおり、闇から這い出さずにいることだな。			本当の暗黒騎士							
(-黒甲冑の男-)……驚きだな。神殿騎士に、のこのこついていく「暗黒騎士」がいるとは。			(-黒甲冑の男-)……驚きだな。神殿騎士に、のこのこついていく「暗黒騎士」がいるとは。			本当の暗黒騎士							
(-黒甲冑の男-)「暗黒騎士」は、護る者のためならば、聖職者さえ斬る。正教から、危険分子として目をつけられるのも当然だ。……フレイから習わなかったのか？			(-黒甲冑の男-)「暗黒騎士」は、護る者のためならば、聖職者さえ斬る。正教から、危険分子として目をつけられるのも当然だ。……フレイから習わなかったのか？			本当の暗黒騎士							
(-黒甲冑の男-)その反応……やはり、フレイを知っているか。俺は、あいつを探しに来た。			(-黒甲冑の男-)その反応……やはり、フレイを知っているか。俺は、あいつを探しに来た。			本当の暗黒騎士							
(-黒甲冑の男-)あいつとは、同じ師のもとで暗黒剣を学んだ同門だ。決闘裁判で命を落としたものと思っていたが、よく似た人物を見かけたという話を聞いてな。			(-黒甲冑の男-)あいつとは、同じ師のもとで暗黒剣を学んだ同門だ。決闘裁判で命を落としたものと思っていたが、よく似た人物を見かけたという話を聞いてな。			本当の暗黒騎士							
(-黒甲冑の男-)真相を探っていたところ、ともに行動しているという、お前の噂に行き着いた。……フレイはどこだ？　生きているのか？			(-黒甲冑の男-)真相を探っていたところ、ともに行動しているという、お前の噂に行き着いた。……フレイはどこだ？　生きているのか？			本当の暗黒騎士							
(-黒甲冑の男-)フレイの体に、お前の負の感情が宿っていただと……？そんなことが……いや、しかし…………			(-黒甲冑の男-)フレイの体に、お前の負の感情が宿っていただと……？そんなことが……いや、しかし…………			本当の暗黒騎士							
(-黒甲冑の男-)「暗黒騎士」は、それぞれの形で、己の負の感情と向き合うことになる。お前のような例は聞いたことがないが……あり得んでもない。			(-黒甲冑の男-)「暗黒騎士」は、それぞれの形で、己の負の感情と向き合うことになる。お前のような例は聞いたことがないが……あり得んでもない。			本当の暗黒騎士							
(-黒甲冑の男-)……わかった、信じよう。その方がまだ、フレイの死には意味があったと、「あいつ」にも報告できるからな……。			(-黒甲冑の男-)……わかった、信じよう。その方がまだ、フレイの死には意味があったと、「あいつ」にも報告できるからな……。			本当の暗黒騎士							
(-黒甲冑の男-)そして……負の感情を手懐けたということは、お前、それなりの実力者だろう。話をしてみる価値はありそうだ……。			(-黒甲冑の男-)そして……負の感情を手懐けたということは、お前、それなりの実力者だろう。話をしてみる価値はありそうだ……。			本当の暗黒騎士							
(-黒甲冑の男-)俺は、余計な慣れ合いをするつもりはない。……が、お前はフレイのソウルクリスタルを継いだ女男だ。「忘れられた騎士亭」へ来たなら、知るべきことを教えてやる。			(-黒甲冑の男-)俺は、余計な慣れ合いをするつもりはない。……が、お前はフレイのソウルクリスタルを継いだ女男だ。「忘れられた騎士亭」へ来たなら、知るべきことを教えてやる。			本当の暗黒騎士							
