トゥルービューにいるラングラーハットの男は、誰かを探しているようだ。			トゥルービューにいるラングラーハットの男は、誰かを探しているようだ。			アルカディアの挑戦者							
なら教えてあげるよ。アンタは恩義を理由に、不都合な真実から目を背けて、大事な親友や恋人のことが見えなくなってるんだ。			なら教えてあげるよ。アンタは恩義を理由に、不都合な真実から目を背けて、大事な親友や恋人のことが見えなくなってるんだ。			孤高の狼							
ユト姉はね、アンタの魂蝕症を治すために、Forenameの魂を奪おうとしたんだ。			ユト姉はね、アンタの魂蝕症を治すために、Forenameの魂を奪おうとしたんだ。			孤高の狼							
それでしかアンタを救えないって思ってたから。アルカディアから離れようとしないアンタと生きる方法が、ほかになかったから……！			それでしかアンタを救えないって思ってたから。アルカディアから離れようとしないアンタと生きる方法が、ほかになかったから……！			孤高の狼							
なんてことだ……返す言葉もない……。			なんてことだ……返す言葉もない……。			孤高の狼							
そうか……ボクは怖かったのか。闘士「ハウリングブレード」としての生き方が、失われてしまうことが……。			そうか……ボクは怖かったのか。闘士「ハウリングブレード」としての生き方が、失われてしまうことが……。			孤高の狼							
だから、オーナーの言葉を信じ続けていた親友のことも、死ぬとわかっていながら止められなかった。			だから、オーナーの言葉を信じ続けていた親友のことも、死ぬとわかっていながら止められなかった。			孤高の狼							
すまない、ブルートボンバー……いや、ヘクトール。ボクは、Forenameやユトロープが、そうしたように、キミを救おうとすべきだった……。			すまない、ブルートボンバー……いや、ヘクトール。ボクは、Forenameやユトロープが、そうしたように、キミを救おうとすべきだった……。			孤高の狼							
わかったよ。ボクも、キミたちに協力すると約束しよう、闘士を食い物にする、オーナーを止めるために……。			わかったよ。ボクも、キミたちに協力すると約束しよう、闘士を食い物にする、オーナーを止めるために……。			孤高の狼							
ハウリングブレードが味方になってくれると、こちらとしても、とても心強いよ。			ハウリングブレードが味方になってくれると、こちらとしても、とても心強いよ。			孤高の狼							
「レザラ」と呼んでくれ。ボクはもう、ハウリングブレードじゃないからね。			「レザラ」と呼んでくれ。ボクはもう、ハウリングブレードじゃないからね。			孤高の狼							
レザラ、ジムには姉さんもいるし、戻ってこれからの話をしよう。			レザラ、ジムには姉さんもいるし、戻ってこれからの話をしよう。			孤高の狼							
(-レザラ-)ああ。そうだ、少しだけ寄り道したいところがあるから、その後で、ジム・トライテールに向かわせてもらうよ。			(-レザラ-)ああ。そうだ、少しだけ寄り道したいところがあるから、その後で、ジム・トライテールに向かわせてもらうよ。			孤高の狼							
すまないんだが、ボクの家はペット禁止でさ……どうか、この子たちを預かってやってくれないか？			すまないんだが、ボクの家はペット禁止でさ……どうか、この子たちを預かってやってくれないか？			孤高の狼							
喜んで引き取るよ。妹も猫を飼いたがっていたし……			喜んで引き取るよ。妹も猫を飼いたがっていたし……			孤高の狼							
ネユニは上でユト姉の看病をしてるのかな？ちょっと見てくるよ。			ネユニは上でユト姉の看病をしてるのかな？ちょっと見てくるよ。			孤高の狼							
……ボクも行っていいだろうか？			……ボクも行っていいだろうか？			孤高の狼							
もちろん。姉さんと積もる話があるだろうからね。			もちろん。姉さんと積もる話があるだろうからね。			孤高の狼							
大変だ！ネユニとユト姉がいない！			大変だ！ネユニとユト姉がいない！			孤高の狼							
