採掘師ギルドのアダルベルタは、冒険者にまた新しい仕事を紹介したいようだ。			採掘師ギルドのアダルベルタは、冒険者にまた新しい仕事を紹介したいようだ。			イディルシャイアの工房							
教え子の成長に、師は嫉妬するものよ。だけど、その未来への嫉妬を乗り越えてこそ、師もまた成長する……と昔、言われたことを思い出したわ。			教え子の成長に、師は嫉妬するものよ。だけど、その未来への嫉妬を乗り越えてこそ、師もまた成長する……と昔、言われたことを思い出したわ。			嵐呼ぶ流紋のきらめき							
あたしも……そうありたいものね。			あたしも……そうありたいものね。			嵐呼ぶ流紋のきらめき							
どうした、フルドガーのところへ行かんのか？勝負を放棄する気ではあるまい？			どうした、フルドガーのところへ行かんのか？勝負を放棄する気ではあるまい？			嵐呼ぶ流紋のきらめき							
やあ、まだ「飛竜黒曜石」を掘りに行ってないのかい？ワイド・ガリーさんとの勝負は、もう始まっているんだろう？			やあ、まだ「飛竜黒曜石」を掘りに行ってないのかい？ワイド・ガリーさんとの勝負は、もう始まっているんだろう？			嵐呼ぶ流紋のきらめき							
採掘師ギルドのアダルベルタは、抱えている問題の解決を冒険者に任せたいようだ。			採掘師ギルドのアダルベルタは、抱えている問題の解決を冒険者に任せたいようだ。			白い粉の苦い誘惑							
アダルベルタは急に仕事がこなせなくなったギルド員の代わりに、ソーダ水の採掘を請け負ってほしいようだ。黒衣森の「バスカロン監視所跡」周辺で「ソーダ水」を15個採掘し、採掘師ギルドの「アダルベルタ」に納品しよう。			アダルベルタは急に仕事がこなせなくなったギルド員の代わりに、ソーダ水の採掘を請け負ってほしいようだ。黒衣森の「バスカロン監視所跡」周辺で「ソーダ水」を15個採掘し、採掘師ギルドの「アダルベルタ」に納品しよう。			白い粉の苦い誘惑							
ソーダ水をアダルベルタに納品した。冒険者のおかげで採掘師ギルドは面目を保つことができたと、彼女は深く感謝していた。アダルベルタの話によると、冒険者は今、若手の中での注目株らしい。周囲からの期待に負けないよう、採掘師の技術を磨き続けよう。※採掘師のレベルが30以上になると、アダルベルタから次の採掘師クエストを受注することができます。			ソーダ水をアダルベルタに納品した。冒険者のおかげで採掘師ギルドは面目を保つことができたと、彼女は深く感謝していた。アダルベルタの話によると、冒険者は今、若手の中での注目株らしい。周囲からの期待に負けないよう、採掘師の技術を磨き続けよう。※採掘師のレベルが30以上になると、アダルベルタから次の採掘師クエストを受注することができます。			白い粉の苦い誘惑							
ソーダ水を採掘師ギルドのアダルベルタに納品			ソーダ水を採掘師ギルドのアダルベルタに納品			白い粉の苦い誘惑							
いいところに来てくれたわね！ひとつ頼まれてくれない？			いいところに来てくれたわね！ひとつ頼まれてくれない？			白い粉の苦い誘惑							
実はギルド員のひとりがぶっ倒れちゃってね。その人が請け負ってた仕事を、代わりにやってほしいのよ。今、ちょうどキミ以外に手が空いてなくて……。			実はギルド員のひとりがぶっ倒れちゃってね。その人が請け負ってた仕事を、代わりにやってほしいのよ。今、ちょうどキミ以外に手が空いてなくて……。			白い粉の苦い誘惑							
「ソーダ水」って知ってる？錬金術師が重曹を作ったりするのに使う素材なんだけど。			「ソーダ水」って知ってる？錬金術師が重曹を作ったりするのに使う素材なんだけど。			白い粉の苦い誘惑							
あ、重曹っていうのはね、お菓子の生地とかをよく膨らませるために使われる粉よ。			あ、重曹っていうのはね、お菓子の生地とかをよく膨らませるために使われる粉よ。			白い粉の苦い誘惑							
ジンジャークッキーやクランペット、ブラッドカーラントタルトとかに使われるわね。			ジンジャークッキーやクランペット、ブラッドカーラントタルトとかに使われるわね。			白い粉の苦い誘惑							
……あたしがお菓子の話をするのは意外？そりゃ、自分ではあんまりお菓子とか作らないけど、食べるのは結構好きなのよ、クッキーとか。			……あたしがお菓子の話をするのは意外？そりゃ、自分ではあんまりお菓子とか作らないけど、食べるのは結構好きなのよ、クッキーとか。			白い粉の苦い誘惑							
