アゴラのメジナは、悩んでいるようだ。			アゴラのメジナは、悩んでいるようだ。			世界を繋げ、大繁盛の輪！							
タタルの大繁盛商店は、次の計画に向けて歩み始めた。彼女たちの活動は今後も世界中の人々の想いを繋げていくことだろう。			タタルの大繁盛商店は、次の計画に向けて歩み始めた。彼女たちの活動は今後も世界中の人々の想いを繋げていくことだろう。			大繁盛の輪よ、永遠に							
ハズダーダと話して同行させる			ハズダーダと話して同行させる			大繁盛の輪よ、永遠に							
ハズダーダとメジナを連れてパーラカの里の人々と話す			ハズダーダとメジナを連れてパーラカの里の人々と話す			大繁盛の輪よ、永遠に							
同行者ふたりを連れプルシャ寺院へ向かい指定地点でハズダーダと話す			同行者ふたりを連れプルシャ寺院へ向かい指定地点でハズダーダと話す			大繁盛の輪よ、永遠に							
イェルヴェットと話す			イェルヴェットと話す			大繁盛の輪よ、永遠に							
アゴラのメジナと話す			アゴラのメジナと話す			大繁盛の輪よ、永遠に							
メジナと再度話す			メジナと再度話す			大繁盛の輪よ、永遠に							
ただ元の生活を取り戻すんじゃなくて、「訓え」のため、新しい里の在り方を探す……。いったいどうすればいいんでしょうか？			ただ元の生活を取り戻すんじゃなくて、「訓え」のため、新しい里の在り方を探す……。いったいどうすればいいんでしょうか？			大繁盛の輪よ、永遠に							
「訓え」のために生きるのが、この里の役目。ならば、その在り方も時代に応じて変化していくべきかと……。			「訓え」のために生きるのが、この里の役目。ならば、その在り方も時代に応じて変化していくべきかと……。			大繁盛の輪よ、永遠に							
俺……今後のことをちゃんと考えたいとか言っておきながら、自分のことばかりだったようです。			俺……今後のことをちゃんと考えたいとか言っておきながら、自分のことばかりだったようです。			大繁盛の輪よ、永遠に							
何のために守護者になるのか、そこまで考えたら、里に戻ってからすべきことも見えてたはずなのに。			何のために守護者になるのか、そこまで考えたら、里に戻ってからすべきことも見えてたはずなのに。			大繁盛の輪よ、永遠に							
でもさ、里長も言ってたけど、あたしたちだから思いつくこと、あるかもしれないじゃない。			でもさ、里長も言ってたけど、あたしたちだから思いつくこと、あるかもしれないじゃない。			大繁盛の輪よ、永遠に							
それに、Forenameさんもいるし。皆で知恵を絞ればきっとなんとかなるよ！			それに、Forenameさんもいるし。皆で知恵を絞ればきっとなんとかなるよ！			大繁盛の輪よ、永遠に							
そうだな、ここで立ち止まってても仕方ない、まずは里の皆に話を聞いてからにしよう。			そうだな、ここで立ち止まってても仕方ない、まずは里の皆に話を聞いてからにしよう。			大繁盛の輪よ、永遠に							
外の世界を見てきたということなら、あなたに敵う人はいません。どうか、あたしたちに知恵をお貸しください！			外の世界を見てきたということなら、あなたに敵う人はいません。どうか、あたしたちに知恵をお貸しください！			大繁盛の輪よ、永遠に							
俺やメジナだと、思い出話に花を咲かせてしまいそうで……すみませんが、あなたから話を切り出してもらえませんか？俺たちは隣で話を聞くようにします。			俺やメジナだと、思い出話に花を咲かせてしまいそうで……すみませんが、あなたから話を切り出してもらえませんか？俺たちは隣で話を聞くようにします。			大繁盛の輪よ、永遠に							
ねぇ……それが終わったあとに、行きたい場所があるんだけど、いいかな？			ねぇ……それが終わったあとに、行きたい場所があるんだけど、いいかな？			大繁盛の輪よ、永遠に							
