リダ・ラーンのアンデンは、引っかかることがあるようだ。			リダ・ラーンのアンデンは、引っかかることがあるようだ。			アンデンの選択							
ザントマンに報告をしていたところで、大慌てのアマロが駆け込んできた。アマロがン・モゥ族の使い魔を食べてしまったらしい。ヴォレクドルフの「憤ったン・モゥ」と話そう。			ザントマンに報告をしていたところで、大慌てのアマロが駆け込んできた。アマロがン・モゥ族の使い魔を食べてしまったらしい。ヴォレクドルフの「憤ったン・モゥ」と話そう。			イル・メグで暮らす約束事							
犯アマロの可能性が高いトナティウを探すことになった。フッブーテンブルクで「トナティウ」を探そう。			犯アマロの可能性が高いトナティウを探すことになった。フッブーテンブルクで「トナティウ」を探そう。			イル・メグで暮らす約束事							
ポークシーを食べたのは、トナティウで間違いなかった。知らなかったとはいえ、使い魔を食べてしまったことはトナティウも反省したようだ。			ポークシーを食べたのは、トナティウで間違いなかった。知らなかったとはいえ、使い魔を食べてしまったことはトナティウも反省したようだ。			イル・メグで暮らす約束事							
ザントマンに報告			ザントマンに報告			イル・メグで暮らす約束事							
憤ったン・モゥと話す			憤ったン・モゥと話す			イル・メグで暮らす約束事							
トナティウを探す			トナティウを探す			イル・メグで暮らす約束事							
ふう、一気にたくさん喋ると眠気が……。ジェナーナ峠を越えた先に逃げたアマロの痕跡を辿り、ヴォレクドルフまで連れてきてくれるかね？			ふう、一気にたくさん喋ると眠気が……。ジェナーナ峠を越えた先に逃げたアマロの痕跡を辿り、ヴォレクドルフまで連れてきてくれるかね？			イル・メグで暮らす約束事							
せっかく迎えに来てくれたのに、ごめんね。ボクはヴォレクドルフでは暮らさないって、その「ザントマン」というアマロに伝えてくれるかな？			せっかく迎えに来てくれたのに、ごめんね。ボクはヴォレクドルフでは暮らさないって、その「ザントマン」というアマロに伝えてくれるかな？			イル・メグで暮らす約束事							
せっかく迎えに来てくれたのに、ごめんね。ボクはヴォレクドルフでは暮らさないって、その「ザントマン」というアマロに伝えてくれるかな？			せっかく迎えに来てくれたのに、ごめんね。ボクはヴォレクドルフでは暮らさないって、その「ザントマン」というアマロに伝えてくれるかな？			イル・メグで暮らす約束事							
んぐ……むう……おお、すまん、眠気に負けそうになっておった。件のアマロは見つかったかね？			んぐ……むう……おお、すまん、眠気に負けそうになっておった。件のアマロは見つかったかね？			イル・メグで暮らす約束事							
ふむ、話はわかった。孤高に生きるアマロというわけか……。			ふむ、話はわかった。孤高に生きるアマロというわけか……。			イル・メグで暮らす約束事							
まあ、本人が望んでいないことを無理強いもできん。お主には無駄足を踏ませてしまったが、ありがとうよ……。			まあ、本人が望んでいないことを無理強いもできん。お主には無駄足を踏ませてしまったが、ありがとうよ……。			イル・メグで暮らす約束事							
