テイルフェザーのルーパルは、いい報せを受けたようだ。			テイルフェザーのルーパルは、いい報せを受けたようだ。			センス爆発							
警戒心を解いたカル・ミークは、母親なら同族の治療法がわかるかもしれないと告げた。高地ドラヴァニアの不浄の三塔内にいる、「グリンカムビ」と話そう。			警戒心を解いたカル・ミークは、母親なら同族の治療法がわかるかもしれないと告げた。高地ドラヴァニアの不浄の三塔内にいる、「グリンカムビ」と話そう。			なおさなきゃ！							
グリンカムビと話した。高地ドラヴァニアのソーム・アル山麓に、参考になる「竜の治療記録」があるかもしれないという。準備ができたら、不浄の三塔内の「カル・ミーク」に話しかけて出発しよう。			グリンカムビと話した。高地ドラヴァニアのソーム・アル山麓に、参考になる「竜の治療記録」があるかもしれないという。準備ができたら、不浄の三塔内の「カル・ミーク」に話しかけて出発しよう。			なおさなきゃ！							
カル・ミークと話した。「竜の治療記録」を手に入れるため、ソーム・アル山麓に向かった「カル・ミーク」と合流しよう。			カル・ミークと話した。「竜の治療記録」を手に入れるため、ソーム・アル山麓に向かった「カル・ミーク」と合流しよう。			なおさなきゃ！							
カル・ミークと合流した。ソーム・アル山麓の山道を進み、「カル・ミーク」と再び合流しよう。			カル・ミークと合流した。ソーム・アル山麓の山道を進み、「カル・ミーク」と再び合流しよう。			なおさなきゃ！							
カル・ミークと再び合流した。ソーム・アル山麓の山道を進み、「カル・ミーク」とさらに合流しよう。			カル・ミークと再び合流した。ソーム・アル山麓の山道を進み、「カル・ミーク」とさらに合流しよう。			なおさなきゃ！							
カル・ミークとさらに合流した。ソーム・アル山麓の廃屋付近の「カル・ミーク」と、もう一度合流しよう。			カル・ミークとさらに合流した。ソーム・アル山麓の廃屋付近の「カル・ミーク」と、もう一度合流しよう。			なおさなきゃ！							
目的地でカル・ミークともう一度合流した。ソーム・アル山麓の廃屋で「薄汚れた石板」を探そう。			目的地でカル・ミークともう一度合流した。ソーム・アル山麓の廃屋で「薄汚れた石板」を探そう。			なおさなきゃ！							
薄汚れた石板を見つけた。ソーム・アル山麓の廃屋付近のカル・ミークに報告しよう。			薄汚れた石板を見つけた。ソーム・アル山麓の廃屋付近のカル・ミークに報告しよう。			なおさなきゃ！							
カル・ミークに報告した。発見した「薄汚れた石板」を、不浄の三塔の「グリンカムビ」に届けよう。			カル・ミークに報告した。発見した「薄汚れた石板」を、不浄の三塔の「グリンカムビ」に届けよう。			なおさなきゃ！							
グリンカムビに薄汚れた石板を渡した。これで、大昔に人が記したという、竜の治療法を実行することができそうだ……。			グリンカムビに薄汚れた石板を渡した。これで、大昔に人が記したという、竜の治療法を実行することができそうだ……。			なおさなきゃ！							
カル・ミークにエモート「なだめる」をする			カル・ミークにエモート「なだめる」をする			なおさなきゃ！							
グリンカムビと話す			グリンカムビと話す			なおさなきゃ！							
カル・ミークと話す			カル・ミークと話す			なおさなきゃ！							
カル・ミークと合流			カル・ミークと合流			なおさなきゃ！							
カル・ミークと再び合流			カル・ミークと再び合流			なおさなきゃ！							
カル・ミークとさらに合流			カル・ミークとさらに合流			なおさなきゃ！							
カル・ミークともう一度合流			カル・ミークともう一度合流			なおさなきゃ！							
薄汚れた石板を探す			薄汚れた石板を探す			なおさなきゃ！							
カル・ミークに報告			カル・ミークに報告			なおさなきゃ！							
グリンカムビに薄汚れた石板を渡す			グリンカムビに薄汚れた石板を渡す			なおさなきゃ！							
あ、あのさ、Forename……。Forenameも、そのうちボクをおそうの？こわいよ、やめて……！			あ、あのさ、Forename……。Forenameも、そのうちボクをおそうの？こわいよ、やめて……！			なおさなきゃ！							
あれ……な、なにかするつもりなの？……ボク、痛いのきらいだよ！そ、それとも……やさしくしてくれるの……？			あれ……な、なにかするつもりなの？……ボク、痛いのきらいだよ！そ、それとも……やさしくしてくれるの……？			なおさなきゃ！							
