流星の間のイシュガルドの駐在武官は、強き心を持つ者を求めているようだ。			流星の間のイシュガルドの駐在武官は、強き心を持つ者を求めているようだ。			傷ついた皇都の魂は							
ああ、神殿騎士団総長として、貴族院議長として……そして、ひとりの信徒としても、貴方がたに協力しよう。			ああ、神殿騎士団総長として、貴族院議長として……そして、ひとりの信徒としても、貴方がたに協力しよう。			蒼天を仰ぎ、歩み続ける							
ではこれにて、イシュガルドにおける終末の収束を宣言する！			ではこれにて、イシュガルドにおける終末の収束を宣言する！			蒼天を仰ぎ、歩み続ける							
Forename、君には心からの感謝を伝えなければ。本当に世話になったな。			Forename、君には心からの感謝を伝えなければ。本当に世話になったな。			蒼天を仰ぎ、歩み続ける							
この国は、何度も君に救われている。			この国は、何度も君に救われている。			蒼天を仰ぎ、歩み続ける							
戦う者の命ばかりではない。前を向いて生きていくための「人々の心」まで、君は救ってくれた。			戦う者の命ばかりではない。前を向いて生きていくための「人々の心」まで、君は救ってくれた。			蒼天を仰ぎ、歩み続ける							
君が救ってくれたものに報いるために、イシュガルドはこれからも前に進み続けなければ。			君が救ってくれたものに報いるために、イシュガルドはこれからも前に進み続けなければ。			蒼天を仰ぎ、歩み続ける							
だが、誰かが導いていくのではないと、理解はしていても……心が伴わなければ意味がない。			だが、誰かが導いていくのではないと、理解はしていても……心が伴わなければ意味がない。			蒼天を仰ぎ、歩み続ける							
ひとりひとりが悩み、考え……それでも誰もが、前を向いて歩んでいける。			ひとりひとりが悩み、考え……それでも誰もが、前を向いて歩んでいける。			蒼天を仰ぎ、歩み続ける							
イシュガルドをそんな国にしていくと、私は君に誓おう。			イシュガルドをそんな国にしていくと、私は君に誓おう。			蒼天を仰ぎ、歩み続ける							
Forename殿。すまないが、ラザハンにいる「イシュガルドの駐在武官」に、偽神獣討伐の報告を頼みたい。			Forename殿。すまないが、ラザハンにいる「イシュガルドの駐在武官」に、偽神獣討伐の報告を頼みたい。			蒼天を仰ぎ、歩み続ける							
後程、こちらからも報せは入れておくが、君の口から詳しく伝えた方が、諸国への情報提供の精度も高まる。手数をかけるが、どうかよろしく頼む。			後程、こちらからも報せは入れておくが、君の口から詳しく伝えた方が、諸国への情報提供の精度も高まる。手数をかけるが、どうかよろしく頼む。			蒼天を仰ぎ、歩み続ける							
ではな、我らが英雄よ！			ではな、我らが英雄よ！			蒼天を仰ぎ、歩み続ける							
偽神獣対策へのご協力、感謝いたします。「イシュガルドの駐在武官」へもよろしくお伝えください。			偽神獣対策へのご協力、感謝いたします。「イシュガルドの駐在武官」へもよろしくお伝えください。			蒼天を仰ぎ、歩み続ける							
英雄殿！よくぞ戻られました！偽神獣の討伐は如何に……？			英雄殿！よくぞ戻られました！偽神獣の討伐は如何に……？			蒼天を仰ぎ、歩み続ける							
偽神獣ファーヴニルの討伐を果たし、さらに、公会議でイシュガルド正教の改革に道筋が……！それは素晴らしい！			偽神獣ファーヴニルの討伐を果たし、さらに、公会議でイシュガルド正教の改革に道筋が……！それは素晴らしい！			蒼天を仰ぎ、歩み続ける							
すぐに各国にも伝達しておきます……！実は自分、救国の英雄殿の信奉者のひとりでして……今度、お時間あるときにでも、冒険譚をお聞かせ願いたいです！			すぐに各国にも伝達しておきます……！実は自分、救国の英雄殿の信奉者のひとりでして……今度、お時間あるときにでも、冒険譚をお聞かせ願いたいです！			蒼天を仰ぎ、歩み続ける							
此度は、ご協力いただき誠にありがとうございました！			此度は、ご協力いただき誠にありがとうございました！			蒼天を仰ぎ、歩み続ける							
遠隔魔法DPSジョブ向け「レベル90ジョブ専用装備」の、染色が可能になりました。			遠隔魔法DPSジョブ向け「レベル90ジョブ専用装備」の、染色が可能になりました。			蒼天を仰ぎ、歩み続ける							
「レベル90ジョブ専用装備」は、「メインクエスト：暁月のフィナーレ」を、特定の状態まで完了することで、入手できるようになります。			「レベル90ジョブ専用装備」は、「メインクエスト：暁月のフィナーレ」を、特定の状態まで完了することで、入手できるようになります。			蒼天を仰ぎ、歩み続ける							
偽神獣対策における、作戦立案室のご利用ですね？ご案内いたします。			偽神獣対策における、作戦立案室のご利用ですね？ご案内いたします。			蒼天を仰ぎ、歩み続ける							
