潮風亭のエストリルドは、またまた道行く人を見定めているようだ。			潮風亭のエストリルドは、またまた道行く人を見定めているようだ。			ベテラン・モブハント（上級）							
……もしや、誰もあんたに伝えてなかったのかい？歴代のマウシは、とても移り気な性格なのさ。			……もしや、誰もあんたに伝えてなかったのかい？歴代のマウシは、とても移り気な性格なのさ。			「七剣」マウシの真実							
前代は剣術を極めて「七剣」と呼ばれたけど、前々代は「七矢」と称えられる弓の名手だったよ。格闘術の才を見出したのなら、今度は「七拳」マウシかねぇ。			前代は剣術を極めて「七剣」と呼ばれたけど、前々代は「七矢」と称えられる弓の名手だったよ。格闘術の才を見出したのなら、今度は「七拳」マウシかねぇ。			「七剣」マウシの真実							
お、俺が今まで悩んでたことって……。			お、俺が今まで悩んでたことって……。			「七剣」マウシの真実							
俺は牙をいただいてから帰るよ。先に戻って、「クーラン」に成功したって伝えてくれ。			俺は牙をいただいてから帰るよ。先に戻って、「クーラン」に成功したって伝えてくれ。			「七剣」マウシの真実							
まさか、マウシの名に、あんな謂われがあったとはな……。このまま、マウシでいて構わないということは嬉しいが、なんだか複雑な気持ちだ……。			まさか、マウシの名に、あんな謂われがあったとはな……。このまま、マウシでいて構わないということは嬉しいが、なんだか複雑な気持ちだ……。			「七剣」マウシの真実							
ウヤギル族のシャーマンが言っていた、今を受け入れるって言葉は、こういうことなんだな。なんにせよ、これからもお前と暮らせるようで、嬉しいぞ。			ウヤギル族のシャーマンが言っていた、今を受け入れるって言葉は、こういうことなんだな。なんにせよ、これからもお前と暮らせるようで、嬉しいぞ。			「七剣」マウシの真実							
……クーラン、それにForenameさん。いろいろと手伝ってもらったのに、こんな結果ですまない。けれど、二人のおかげで新たな道が拓けたのは確かだ。			……クーラン、それにForenameさん。いろいろと手伝ってもらったのに、こんな結果ですまない。けれど、二人のおかげで新たな道が拓けたのは確かだ。			「七剣」マウシの真実							
今まで剣術にもがいていた時間のぶんも含めて、格闘術の鍛錬に励むよ。本当に、ありがとう。			今まで剣術にもがいていた時間のぶんも含めて、格闘術の鍛錬に励むよ。本当に、ありがとう。			「七剣」マウシの真実							
マウシが、まだここに居ていいようでよかった。Forename、世話になったな、ありがとう。			マウシが、まだここに居ていいようでよかった。Forename、世話になったな、ありがとう。			「七剣」マウシの真実							
百一の啓示のカアルンは、息子に伝えたいものがあるようだ。			百一の啓示のカアルンは、息子に伝えたいものがあるようだ。			引き継がれる音							
ベルスからベルスの大牙を入手			ベルスからベルスの大牙を入手			引き継がれる音							
カアルンにベルスの大牙を渡す			カアルンにベルスの大牙を渡す			引き継がれる音							
そなたは、キオルエンに刻まれし太古の音を知っているか？ウヤギル族が神に罰される前のこと……我が祖先は、音を愛し、豊かな時間を過ごしていた。			そなたは、キオルエンに刻まれし太古の音を知っているか？ウヤギル族が神に罰される前のこと……我が祖先は、音を愛し、豊かな時間を過ごしていた。			引き継がれる音							
愛した音を後代に残そうと、キオルエンに刻むが、悲しきことに、時はそれを許さず。今では見てのとおり、跡形なく消え去ってしまった。			愛した音を後代に残そうと、キオルエンに刻むが、悲しきことに、時はそれを許さず。今では見てのとおり、跡形なく消え去ってしまった。			引き継がれる音							
