潮風亭のエストリルドは、また道行く人を見定めているようだ。			潮風亭のエストリルドは、また道行く人を見定めているようだ。			ベテラン・モブハント（中級）							
ははは……恩人殿すら黙りこむ状況だよな……。うーむ、ここは素直に、ほかの村人に教えを乞うてみるよ。ただ、ひとつ問題があるんだ……。			ははは……恩人殿すら黙りこむ状況だよな……。うーむ、ここは素直に、ほかの村人に教えを乞うてみるよ。ただ、ひとつ問題があるんだ……。			釣りあげるは夢か魔物か							
この貧しい村じゃ、漁の腕前がすべて。恩人殿も見たように、漁が下手な俺では、まともに相手をしてもらえないかもしれない……。			この貧しい村じゃ、漁の腕前がすべて。恩人殿も見たように、漁が下手な俺では、まともに相手をしてもらえないかもしれない……。			釣りあげるは夢か魔物か							
だが、魔物を倒して村を救った恩人殿なら、話は別だ。釣りのコツを教えてくれと頼んでみれば、誰だって丁寧に教えてくれるに違いない。			だが、魔物を倒して村を救った恩人殿なら、話は別だ。釣りのコツを教えてくれと頼んでみれば、誰だって丁寧に教えてくれるに違いない。			釣りあげるは夢か魔物か							
俺が、釣り上手を見つくろって、傍に立ってるから、恩人殿は、釣りのコツを聞き出してみてくれ！			俺が、釣り上手を見つくろって、傍に立ってるから、恩人殿は、釣りのコツを聞き出してみてくれ！			釣りあげるは夢か魔物か							
恩人殿に、俺を助けるように頼んでくれた爺様だ。漁師の中でも最高齢で、経験豊富なんだ。さっそく、釣りのコツを聞いてみてくれ。			恩人殿に、俺を助けるように頼んでくれた爺様だ。漁師の中でも最高齢で、経験豊富なんだ。さっそく、釣りのコツを聞いてみてくれ。			釣りあげるは夢か魔物か							
この樽の中には、漁に必要なモンが詰まってるのさ。			この樽の中には、漁に必要なモンが詰まってるのさ。			釣りあげるは夢か魔物か							
おんや、ナヨシが釣った魔物を退治してくださった異人さんか。その節は、大層世話になりました。なんと、釣りに興味がわきましたか？			おんや、ナヨシが釣った魔物を退治してくださった異人さんか。その節は、大層世話になりました。なんと、釣りに興味がわきましたか？			釣りあげるは夢か魔物か							
そうなんだ、俺じゃ教えられないから、村いちばんの漁師である爺様を紹介したんだ。釣りのコツのひとつでも、教えてやってくれよ。			そうなんだ、俺じゃ教えられないから、村いちばんの漁師である爺様を紹介したんだ。釣りのコツのひとつでも、教えてやってくれよ。			釣りあげるは夢か魔物か							
釣りで大切なのは、魚についてよく知ることですじゃ。たとえば魚の中には、光を見ると寄ってくるものもおります。昔は、夜に船を出して、松明を燃やして漁をしたもんですじゃ。			釣りで大切なのは、魚についてよく知ることですじゃ。たとえば魚の中には、光を見ると寄ってくるものもおります。昔は、夜に船を出して、松明を燃やして漁をしたもんですじゃ。			釣りあげるは夢か魔物か							
松明か……。でも、この貧しい村じゃ、夜通し松明を焚く油がないよな？			松明か……。でも、この貧しい村じゃ、夜通し松明を焚く油がないよな？			釣りあげるは夢か魔物か							
そういうことですじゃ。この漁火漁(いさりびりょう)ができれば、村も潤うのですが……。			そういうことですじゃ。この漁火漁(いさりびりょう)ができれば、村も潤うのですが……。			釣りあげるは夢か魔物か							
そっか……爺様、良い話をありがとう！採り入れられれば、漁獲が増やせそうだが……今は、ほかの方法を探るしかないな。			そっか……爺様、良い話をありがとう！採り入れられれば、漁獲が増やせそうだが……今は、ほかの方法を探るしかないな。			釣りあげるは夢か魔物か							
恩人殿、次に行ってみよう！			恩人殿、次に行ってみよう！			釣りあげるは夢か魔物か							
漁火漁(いさりびりょう)ができれば、村も潤うのですが……。			漁火漁(いさりびりょう)ができれば、村も潤うのですが……。			釣りあげるは夢か魔物か							
こいつは、最近、メキメキと腕を高めてきたと評判の若手漁師だ。さっそく、声をかけてみてくれ。			こいつは、最近、メキメキと腕を高めてきたと評判の若手漁師だ。さっそく、声をかけてみてくれ。			釣りあげるは夢か魔物か							
え、釣りのコツを教えてほしいって？			え、釣りのコツを教えてほしいって？			釣りあげるは夢か魔物か							
俺が釣った魔物を倒して、村を救ってくれたお方だ。俺じゃ、釣りのコツなんて答えられないから、若手の中じゃ、ピカイチの腕を持つ、お前を紹介したんだ。			俺が釣った魔物を倒して、村を救ってくれたお方だ。俺じゃ、釣りのコツなんて答えられないから、若手の中じゃ、ピカイチの腕を持つ、お前を紹介したんだ。			釣りあげるは夢か魔物か							
なるほど、村の恩人様か……。確かに、ナヨシじゃ、釣りのコツなんて教えられないだろうな。恩人様への礼代わりに、オレがわかることは、全部教えるよ！			なるほど、村の恩人様か……。確かに、ナヨシじゃ、釣りのコツなんて教えられないだろうな。恩人様への礼代わりに、オレがわかることは、全部教えるよ！			釣りあげるは夢か魔物か							
オレ、昔はイマイチの腕前でな、いろいろ工夫したんだ。網やらツボを使ってみたり、擬似餌を使ってみたり……。			オレ、昔はイマイチの腕前でな、いろいろ工夫したんだ。網やらツボを使ってみたり、擬似餌を使ってみたり……。			釣りあげるは夢か魔物か							
