赤誠組屯所前のゴウセツは、どこか申し訳なさそうにしている。			赤誠組屯所前のゴウセツは、どこか申し訳なさそうにしている。			再会と旅立ち							
おおっと、驚いた……！メシの献立を考えるのに、必死だったもんでな。俺は海賊衆の料理番、奔放な連中の腹の面倒をみてるのさ。			おおっと、驚いた……！メシの献立を考えるのに、必死だったもんでな。俺は海賊衆の料理番、奔放な連中の腹の面倒をみてるのさ。			海賊衆の料理番							
俺が考え抜いた、今日の献立を教えてやろうか？な、な、なーんと、具だくさんの「海賊鍋」でい！ほーら、聞いただけでヨダレが出てきたろ？			俺が考え抜いた、今日の献立を教えてやろうか？な、な、なーんと、具だくさんの「海賊鍋」でい！ほーら、聞いただけでヨダレが出てきたろ？			海賊衆の料理番							
しかしな……最近は、帆別銭の徴収が滞ってるもんで、食糧費を減らすように、勘定方から言われてんだ……。			しかしな……最近は、帆別銭の徴収が滞ってるもんで、食糧費を減らすように、勘定方から言われてんだ……。			海賊衆の料理番							
だが、俺の役目は野郎どもの腹を満たすことだ！ってわけで、節約しながら食材を調達するしかない！そこで相談なんだが、手伝ってくれないか？			だが、俺の役目は野郎どもの腹を満たすことだ！ってわけで、節約しながら食材を調達するしかない！そこで相談なんだが、手伝ってくれないか？			海賊衆の料理番							
お前は、砦の西あたりにいる「ギュウキ」を倒して、「ギュウキの肝」を3切れほど、取ってきてくれ。俺は、海でほかの食材を諸々調達しておくからよ！			お前は、砦の西あたりにいる「ギュウキ」を倒して、「ギュウキの肝」を3切れほど、取ってきてくれ。俺は、海でほかの食材を諸々調達しておくからよ！			海賊衆の料理番							
お前は、砦の西あたりにいる「ギュウキ」を倒して、「ギュウキの肝」を3切れほど、取ってきてくれ！			お前は、砦の西あたりにいる「ギュウキ」を倒して、「ギュウキの肝」を3切れほど、取ってきてくれ！			海賊衆の料理番							
おお、姉ちゃん兄ちゃん、ご苦労さん！俺の方も、いろいろと収穫があったぞ！あとは鍋の主役、「ギュウキの肝」を待つばかりでい！			おお、姉ちゃん兄ちゃん、ご苦労さん！俺の方も、いろいろと収穫があったぞ！あとは鍋の主役、「ギュウキの肝」を待つばかりでい！			海賊衆の料理番							
はぁ～この匂い……たまんねえぜ！肉はまずいが、肝は火を通すと、絶品でなあ。こいつが、海賊鍋の主役と言われる由縁よ！			はぁ～この匂い……たまんねえぜ！肉はまずいが、肝は火を通すと、絶品でなあ。こいつが、海賊鍋の主役と言われる由縁よ！			海賊衆の料理番							
海水を入れた鍋に、たっぷりの海産物と焼き石をぶち込み、最後に、この肝をど真ん中に鎮座させて、ごった煮すれば、海賊鍋の出来上がりでい！			海水を入れた鍋に、たっぷりの海産物と焼き石をぶち込み、最後に、この肝をど真ん中に鎮座させて、ごった煮すれば、海賊鍋の出来上がりでい！			海賊衆の料理番							
紅玉海の恵みが、たっぷりつまったこの鍋は、この海を守る、俺たち海賊衆の誇りでもあるんだぜ～！			紅玉海の恵みが、たっぷりつまったこの鍋は、この海を守る、俺たち海賊衆の誇りでもあるんだぜ～！			海賊衆の料理番							
さあて、こいつは礼だ。食の恩は必ず返す、これも海賊衆の仕来りよ！姉ちゃん兄ちゃん、ありがとよ！！			さあて、こいつは礼だ。食の恩は必ず返す、これも海賊衆の仕来りよ！姉ちゃん兄ちゃん、ありがとよ！！			海賊衆の料理番							
筋違砦のハンサクは、誰かを探しているようだ。			筋違砦のハンサクは、誰かを探しているようだ。			漕ぎ出せ勘定方							
ハンサクは、上司に冒険者を紹介したいようだ。筋違砦の「ツキカゲ」と話そう。			ハンサクは、上司に冒険者を紹介したいようだ。筋違砦の「ツキカゲ」と話そう。			漕ぎ出せ勘定方							
ツキカゲと話した。拿捕した船の所属を確認をするため、クガネのウルダハ商館にいる「東アルデナード商会の商人」と話そう。			ツキカゲと話した。拿捕した船の所属を確認をするため、クガネのウルダハ商館にいる「東アルデナード商会の商人」と話そう。			漕ぎ出せ勘定方							
東アルデナード商会の商人と話し、担当の商人を紹介された。クガネの第一波止場の「キキモ」に「緋色の船旗」と「積荷の目録」を見せよう。			東アルデナード商会の商人と話し、担当の商人を紹介された。クガネの第一波止場の「キキモ」に「緋色の船旗」と「積荷の目録」を見せよう。			漕ぎ出せ勘定方							
キキモに資料を見せ、捕縛した船乗りの偽証を確認した。筋違砦の「ツキカゲ」に「緋色の船旗」と「積荷の目録」を返し、報告しよう。			キキモに資料を見せ、捕縛した船乗りの偽証を確認した。筋違砦の「ツキカゲ」に「緋色の船旗」と「積荷の目録」を返し、報告しよう。			漕ぎ出せ勘定方							
