クォーリーミルのスィミは、冒険者に託したいものがあるようだ。			クォーリーミルのスィミは、冒険者に託したいものがあるようだ。			聖典の真実							
足止めをしていただいたおかげで、こちらも準備完了です！よくやってくれました、私たちも脱出しましょう！……船を残すのは悔しいですが、魚の餌になるよりはマシです。			足止めをしていただいたおかげで、こちらも準備完了です！よくやってくれました、私たちも脱出しましょう！……船を残すのは悔しいですが、魚の餌になるよりはマシです。			海魔の名は潮騒に乗って							
ひとまず、最寄りの港である「エールポート」に向かいます。現地の酒場でお会いしましょう！			ひとまず、最寄りの港である「エールポート」に向かいます。現地の酒場でお会いしましょう！			海魔の名は潮騒に乗って							
……ああ、冒険者さん、ありがとうございました！船を失ったのは残念ですが、船員と乗客が全員、無事に生還できたことは、まさに不幸中の幸いでしたよ。			……ああ、冒険者さん、ありがとうございました！船を失ったのは残念ですが、船員と乗客が全員、無事に生還できたことは、まさに不幸中の幸いでしたよ。			海魔の名は潮騒に乗って							
最近の民間船襲撃事件に用心し、万が一のことを考えて脱出用ボートを用意しておいて、本当に良かった。備えあれば憂いなし……ですね。			最近の民間船襲撃事件に用心し、万が一のことを考えて脱出用ボートを用意しておいて、本当に良かった。備えあれば憂いなし……ですね。			海魔の名は潮騒に乗って							
しかし、こう頻繁に船が襲われちゃ、商売あがったりです。ここ最近の襲撃事件は、やはりすべて同一犯。あいつら……サハギン族の一味の仕業です。			しかし、こう頻繁に船が襲われちゃ、商売あがったりです。ここ最近の襲撃事件は、やはりすべて同一犯。あいつら……サハギン族の一味の仕業です。			海魔の名は潮騒に乗って							
確か、奴らは自らを「珊瑚の銛」と名乗っていました……自分たちは「紅珊瑚の海魔」に率いられた、最強の海賊団だと……。			確か、奴らは自らを「珊瑚の銛」と名乗っていました……自分たちは「紅珊瑚の海魔」に率いられた、最強の海賊団だと……。			海魔の名は潮騒に乗って							
(-？？？？-)な、何っ！？べっ……「紅珊瑚の海魔」だ……と！？			(-？？？？-)な、何っ！？べっ……「紅珊瑚の海魔」だ……と！？			海魔の名は潮騒に乗って							
……失礼、小官はウルツ・コグルツ。このエールポートに駐留する黒渦団の少甲士だ。			……失礼、小官はウルツ・コグルツ。このエールポートに駐留する黒渦団の少甲士だ。			海魔の名は潮騒に乗って							
船長、今の話は本当か？			船長、今の話は本当か？			海魔の名は潮騒に乗って							
今の話……というと……船を襲ったのは、「紅珊瑚の海魔」という頭目に率いられた、「珊瑚の銛」というサハギン族の一味だということですか？			今の話……というと……船を襲ったのは、「紅珊瑚の海魔」という頭目に率いられた、「珊瑚の銛」というサハギン族の一味だということですか？			海魔の名は潮騒に乗って							
そ、そんな……聞き間違いではなかったか……「紅珊瑚の海魔」……馬鹿な……ッ！奴が、再びこの海に現れたというのか……？			そ、そんな……聞き間違いではなかったか……「紅珊瑚の海魔」……馬鹿な……ッ！奴が、再びこの海に現れたというのか……？			海魔の名は潮騒に乗って							
少甲士さん、何かご存知なんですか？			少甲士さん、何かご存知なんですか？			海魔の名は潮騒に乗って							
15年前……西ラノシアを恐怖のどん底に叩き落とした、最凶最悪、冷酷非情のサハギン族の大海賊がいた。			15年前……西ラノシアを恐怖のどん底に叩き落とした、最凶最悪、冷酷非情のサハギン族の大海賊がいた。			海魔の名は潮騒に乗って							
首から提げた「白珊瑚」の首飾りが、ヒトの返り血により、「紅珊瑚」のように赤く染まっていたため、ついた名が……「紅珊瑚の海魔」！			首から提げた「白珊瑚」の首飾りが、ヒトの返り血により、「紅珊瑚」のように赤く染まっていたため、ついた名が……「紅珊瑚の海魔」！			海魔の名は潮騒に乗って							
その名を聞けば、船乗りたちは舫を結ぶ手を震わせ、恐怖によって、心は時化の海のごとく荒れ狂う……。当時のバラクーダ騎士でさえ、まるで歯が立たなかった……。			その名を聞けば、船乗りたちは舫を結ぶ手を震わせ、恐怖によって、心は時化の海のごとく荒れ狂う……。当時のバラクーダ騎士でさえ、まるで歯が立たなかった……。			海魔の名は潮騒に乗って							
その名を久しく聞かなくなったため、てっきり死んだかと思っていたが……なんということだ……奴め、生きていたのか……！			その名を久しく聞かなくなったため、てっきり死んだかと思っていたが……なんということだ……奴め、生きていたのか……！			海魔の名は潮騒に乗って							
とにかく……これは重大な情報だ。キャンプ・スカルバレーのファルクブリダ中甲佐に報告し、黒渦団として今後の対策を練ることにする！			とにかく……これは重大な情報だ。キャンプ・スカルバレーのファルクブリダ中甲佐に報告し、黒渦団として今後の対策を練ることにする！			海魔の名は潮騒に乗って							
