朋友の灯火のエレンヴィルは、何やら注意を促したいようだ。			朋友の灯火のエレンヴィルは、何やら注意を促したいようだ。			捕集の民、モブリン族							
僕は彼らを勇連隊に引き渡しつつ、追跡術に長けたサンクレッドに連絡を入れておきます。あなたはワーケサを追っていただけますか？			僕は彼らを勇連隊に引き渡しつつ、追跡術に長けたサンクレッドに連絡を入れておきます。あなたはワーケサを追っていただけますか？			兄として							
奴は東の方角へと走り去っていったようです。すぐに捕まえるのではなく、少し泳がせてみてください。もしかしたら、ラマチの居場所へと戻るかもしれません。			奴は東の方角へと走り去っていったようです。すぐに捕まえるのではなく、少し泳がせてみてください。もしかしたら、ラマチの居場所へと戻るかもしれません。			兄として							
この人たちを放っておいては、また通行人が襲われる。ワーケサの追跡は任せましたよ。			この人たちを放っておいては、また通行人が襲われる。ワーケサの追跡は任せましたよ。			兄として							
ワーケサの「尾行」に再挑戦しますか？			ワーケサの「尾行」に再挑戦しますか？			兄として							
待ってたぜ、旦那！とっとと報酬を渡してくれ！やばそうな奴に勘づかれてるんだよ！			待ってたぜ、旦那！とっとと報酬を渡してくれ！やばそうな奴に勘づかれてるんだよ！			兄として							
(-怪しげなフビゴ族-)そう慌てるんじゃねぇよ。こっちだって、良い隠れ場所を見つけるのにひと苦労したんだ。			(-怪しげなフビゴ族-)そう慌てるんじゃねぇよ。こっちだって、良い隠れ場所を見つけるのにひと苦労したんだ。			兄として							
よ、よし……！			よ、よし……！			兄として							
これで俺の仕事は終わりだ！さっさとどっかに行ってくれ！			これで俺の仕事は終わりだ！さっさとどっかに行ってくれ！			兄として							
(-怪しげなフビゴ族-)カネに困ってる様子だったから助けてやったのに、ずいぶんな言い草じゃねぇか。			(-怪しげなフビゴ族-)カネに困ってる様子だったから助けてやったのに、ずいぶんな言い草じゃねぇか。			兄として							
う、うるせぇ！まさか、あんな手練れが出てくるなんて思ってなかったんだ！			う、うるせぇ！まさか、あんな手練れが出てくるなんて思ってなかったんだ！			兄として							
対峙してみてわかった……あの冒険者の女男は並大抵の腕じゃねぇ……。			対峙してみてわかった……あの冒険者の女男は並大抵の腕じゃねぇ……。			兄として							
(-怪しげなフビゴ族-)ふん、臆病風に吹かれやがって。せいぜいそいつに報復される前に、高飛びでもするんだな。			(-怪しげなフビゴ族-)ふん、臆病風に吹かれやがって。せいぜいそいつに報復される前に、高飛びでもするんだな。			兄として							
(-サンクレッド-)コーナから聞いたぞ。王女を連れ去ったという派手髪の男を見つけたんだって？詳しい状況を教えてくれ。			(-サンクレッド-)コーナから聞いたぞ。王女を連れ去ったという派手髪の男を見つけたんだって？詳しい状況を教えてくれ。			兄として							
(-サンクレッド-)ほう……盗賊たちの依頼主は、怪しげなフビゴ族か。そいつが王女の居場所を知っている可能性が高そうだな。			(-サンクレッド-)ほう……盗賊たちの依頼主は、怪しげなフビゴ族か。そいつが王女の居場所を知っている可能性が高そうだな。			兄として							
