自由弁論館の水晶公は、とっておきの提案があるようだ。			自由弁論館の水晶公は、とっておきの提案があるようだ。			クリスタリウムの意気							
Forenameさんは、彼らの好む美しきものを。近くに色鮮やかな羽を持つ「ホーカー」がいるので、傷つけすぎない程度に弱らせ、こちらの箱で捕らえてください。			Forenameさんは、彼らの好む美しきものを。近くに色鮮やかな羽を持つ「ホーカー」がいるので、傷つけすぎない程度に弱らせ、こちらの箱で捕らえてください。			篤学者は問う							
俺は何を手伝わされるやら、だ。まあ、ピクシー族に弄ばれるよりはマシだろう……多分な。			俺は何を手伝わされるやら、だ。まあ、ピクシー族に弄ばれるよりはマシだろう……多分な。			篤学者は問う							
この近くにいる「ホーカー」を少し弱らせ、先ほどお渡しした「北洋風の秘密箱」で捕まえてきてください。その間に、私も別の贈り物を準備いたしましょう。			この近くにいる「ホーカー」を少し弱らせ、先ほどお渡しした「北洋風の秘密箱」で捕まえてきてください。その間に、私も別の贈り物を準備いたしましょう。			篤学者は問う							
おや、さすがにお早い……。「ホーカー」は無事に捕まえられたでしょうか？			おや、さすがにお早い……。「ホーカー」は無事に捕まえられたでしょうか？			篤学者は問う							
確かに頂戴いたしました。さっそくこの羽を乾かして、色褪せぬ贈答品にいたしましょう。			確かに頂戴いたしました。さっそくこの羽を乾かして、色褪せぬ贈答品にいたしましょう。			篤学者は問う							
サンクレッドの方も、そう長くはかからないはず。あとは私がそれをまとめて……ああ、出立の準備も必要ですね。あなたはしばし、そのままで休息を……。			サンクレッドの方も、そう長くはかからないはず。あとは私がそれをまとめて……ああ、出立の準備も必要ですね。あなたはしばし、そのままで休息を……。			篤学者は問う							
君たちが、迅速に戻ってきてくれてよかったよ。ピクシー族は妙に双子が好きなようでね、あと少し遅ければ、アリゼーと服を取り換えさせられていたかもしれない……。			君たちが、迅速に戻ってきてくれてよかったよ。ピクシー族は妙に双子が好きなようでね、あと少し遅ければ、アリゼーと服を取り換えさせられていたかもしれない……。			篤学者は問う							
ふ、ふふふふ……ふふ……！あなたが変なタイミングで戻ってこなくて、本当によかった！ええ！　本当！　にッ！			ふ、ふふふふ……ふふ……！あなたが変なタイミングで戻ってこなくて、本当によかった！ええ！　本当！　にッ！			篤学者は問う							
……あとで、アルフィノとアリゼーを労ってやってくれ。お前の助けになれたとあれば、多少は報われるはずだ。			……あとで、アルフィノとアリゼーを労ってやってくれ。お前の助けになれたとあれば、多少は報われるはずだ。			篤学者は問う							
私たちの留守中に、ここで何があったんでしょう……？			私たちの留守中に、ここで何があったんでしょう……？			篤学者は問う							
アリゼー様たちとの再会を喜びたいところですが、それはのちほど、ゆっくりとにいたしましょう。手土産はすでに、スール＝ウィンに渡してあります。			アリゼー様たちとの再会を喜びたいところですが、それはのちほど、ゆっくりとにいたしましょう。手土産はすでに、スール＝ウィンに渡してあります。			篤学者は問う							
まあ、あなたもおかえりなさい！まるで羊の尻尾みたいな、短いお出かけだったわね。もっともーっと、双子と遊ばせてくれてもよかったのに……。			まあ、あなたもおかえりなさい！まるで羊の尻尾みたいな、短いお出かけだったわね。もっともーっと、双子と遊ばせてくれてもよかったのに……。			篤学者は問う							
だけど、ウリエンジェが持ってきてくれた贈り物は、とっても素晴らしかったわ！ミルクに蜂蜜、ビスケット、それに綺麗な羽まで添えて！			だけど、ウリエンジェが持ってきてくれた贈り物は、とっても素晴らしかったわ！ミルクに蜂蜜、ビスケット、それに綺麗な羽まで添えて！			篤学者は問う							
