双蛇党：統合司令部の白蛇の守人は、冒険者に至急報せたいことがあるようだ。			双蛇党：統合司令部の白蛇の守人は、冒険者に至急報せたいことがあるようだ。			偽りの角							
ヴェーネスから道案内を受けた。エルピスのヒュペルボレア造物院前にいる「ヴェーネス」と話そう。			ヴェーネスから道案内を受けた。エルピスのヒュペルボレア造物院前にいる「ヴェーネス」と話そう。			いつの日か、君に花を							
ヴェーネスと話していたところ、エメトセルク、ヒュトロダエウスのふたりと再会した。彼らもまた、同じ結論に行き着き、ヘルメスを味方につけることを考えていたらしい。頼もしいふたりの力も借りて、終末の真相を解き明かそう！			ヴェーネスと話していたところ、エメトセルク、ヒュトロダエウスのふたりと再会した。彼らもまた、同じ結論に行き着き、ヘルメスを味方につけることを考えていたらしい。頼もしいふたりの力も借りて、終末の真相を解き明かそう！			いつの日か、君に花を							
アルゴスと話す			アルゴスと話す			いつの日か、君に花を							
ヴェーネスと話す			ヴェーネスと話す			いつの日か、君に花を							
ナビ・北ゼピュロスから、ナビ・南ボレアースに移動			ナビ・北ゼピュロスから、ナビ・南ボレアースに移動			いつの日か、君に花を							
ヴェーネスと話す			ヴェーネスと話す			いつの日か、君に花を							
ヴェーネスと再度話す			ヴェーネスと再度話す			いつの日か、君に花を							
では、飛び立ちやすいように、島の端まで移動しましょうか。			では、飛び立ちやすいように、島の端まで移動しましょうか。			いつの日か、君に花を							
あとはアルゴスに跨れば、すでに風を知っている彼が、くだんの浮島まで連れていってくれるはずですよ。さあ、こちらへ……。			あとはアルゴスに跨れば、すでに風を知っている彼が、くだんの浮島まで連れていってくれるはずですよ。さあ、こちらへ……。			いつの日か、君に花を							
出発できそうなら、アルゴスの背へ……。ふふ、彼が私以外を乗せるのは、いったいいつ以来かしら？			出発できそうなら、アルゴスの背へ……。ふふ、彼が私以外を乗せるのは、いったいいつ以来かしら？			いつの日か、君に花を							
アルゴスは、鼻先で自分の背を示した。「乗れ」と言っているようだ！			アルゴスは、鼻先で自分の背を示した。「乗れ」と言っているようだ！			いつの日か、君に花を							
アルゴスに乗って移動しますか？			アルゴスに乗って移動しますか？			いつの日か、君に花を							
アルゴスは力強く、空を駆けあがる……！			アルゴスは力強く、空を駆けあがる……！			いつの日か、君に花を							
