忘れられた騎士亭のエティエーヌは、冒険者に興味があるようだ。			忘れられた騎士亭のエティエーヌは、冒険者に興味があるようだ。			イシュガルドのモブハント（初級）							
ありがとう、ヴィゾーヴニル。			ありがとう、ヴィゾーヴニル。			霊峰を越えて							
かの者の持つ「竜の眼」の力には、くれぐれも気を付けよ。次なる災厄の禍根とならねば良いのだが……。			かの者の持つ「竜の眼」の力には、くれぐれも気を付けよ。次なる災厄の禍根とならねば良いのだが……。			霊峰を越えて							
どういうことなの……？			どういうことなの……？			霊峰を越えて							
さあ、道は拓けた。……行くぞ。			さあ、道は拓けた。……行くぞ。			霊峰を越えて							
待って……この先は慎重に進みましょう。ヴィゾーヴニルの忠告どおり、この先は竜たちの支配域……。特に雌竜「ティオマン」は、強大な力を持つというわ。			待って……この先は慎重に進みましょう。ヴィゾーヴニルの忠告どおり、この先は竜たちの支配域……。特に雌竜「ティオマン」は、強大な力を持つというわ。			霊峰を越えて							
ティオマン……ふん、ニーズヘッグのお気に入りの雌竜か。だが、何を怯える必要がある。立ち塞がるならば、屠るだけだ。			ティオマン……ふん、ニーズヘッグのお気に入りの雌竜か。だが、何を怯える必要がある。立ち塞がるならば、屠るだけだ。			霊峰を越えて							
言ったはずよ、対話するために行くのだと！			言ったはずよ、対話するために行くのだと！			霊峰を越えて							
女、勘違いするなよ……。俺はイシュガルドの民を守るために来たのだ。それに、対話するのはフレースヴェルグだろう？			女、勘違いするなよ……。俺はイシュガルドの民を守るために来たのだ。それに、対話するのはフレースヴェルグだろう？			霊峰を越えて							
その雌竜を屠れば、奴の侵攻の翼も鈍ろうというもの……それが蒼の竜騎士である、俺の務めだ。			その雌竜を屠れば、奴の侵攻の翼も鈍ろうというもの……それが蒼の竜騎士である、俺の務めだ。			霊峰を越えて							
くっ……。			くっ……。			霊峰を越えて							
ともかく、ここで言い争いをしても始まらない。フレースヴェルグに会うために、この山を登らねばならないのは確かだ。			ともかく、ここで言い争いをしても始まらない。フレースヴェルグに会うために、この山を登らねばならないのは確かだ。			霊峰を越えて							
ドラゴン族に襲撃されれば、これを払いのけつつ進む。ただし、避けられる戦いは避ける。それしかあるまい？			ドラゴン族に襲撃されれば、これを払いのけつつ進む。ただし、避けられる戦いは避ける。それしかあるまい？			霊峰を越えて							
ドラゴン族に襲撃されれば、これを払いのけつつ進む。ただし、避けられる戦いは避ける。それしかあるまい？			ドラゴン族に襲撃されれば、これを払いのけつつ進む。ただし、避けられる戦いは避ける。それしかあるまい？			霊峰を越えて							
霊峰「ソーム・アル」か……。俺たちに向けられたドラゴン族の敵意を、ひしひしと感じるぞ……。			霊峰「ソーム・アル」か……。俺たちに向けられたドラゴン族の敵意を、ひしひしと感じるぞ……。			霊峰を越えて							
怒りに我を忘れたドラゴン族は、容易く留められるものではない……。皇都に彼らを招き入れた時、それを知ったのだ……。			怒りに我を忘れたドラゴン族は、容易く留められるものではない……。皇都に彼らを招き入れた時、それを知ったのだ……。			霊峰を越えて							
気高き竜よ！私は「氷の巫女」……どうか対話を！			気高き竜よ！私は「氷の巫女」……どうか対話を！			霊峰を越えて							
どうやら聞く耳はもたないらしいぞ。構えろ、聖竜に会う前に死にたくないならな……！			どうやら聞く耳はもたないらしいぞ。構えろ、聖竜に会う前に死にたくないならな……！			霊峰を越えて							
くっ……怒りに我を忘れている。やはり、戦うしかないというの……？			くっ……怒りに我を忘れている。やはり、戦うしかないというの……？			霊峰を越えて							
大丈夫か……！？			大丈夫か……！？			霊峰を越えて							
雌竜「ティオマン」……奴で最後だったようだな。あたりから竜の気配が消えた……。			雌竜「ティオマン」……奴で最後だったようだな。あたりから竜の気配が消えた……。			霊峰を越えて							
な、なんだ！？			な、なんだ！？			霊峰を越えて							
グッ……こ、これは、ニーズヘッグの咆哮……。			グッ……こ、これは、ニーズヘッグの咆哮……。			霊峰を越えて							
こちらの存在に気付いたということ？			こちらの存在に気付いたということ？			霊峰を越えて							
ハァ……ハァ……「竜の眼」を通じて、奴の怒りの感情が……伝わってきやがった。			ハァ……ハァ……「竜の眼」を通じて、奴の怒りの感情が……伝わってきやがった。			霊峰を越えて							
