トライヨラのボロガーは、冒険者に紹介したい人がいるようだ。			トライヨラのボロガーは、冒険者に紹介したい人がいるようだ。			トラル大陸のモブハント（中級）							
この魔物は、今しばらく捕らえておいてください。デミールの遺烈郷に聞き込みに行った際に知り合った、錬金術師さんに頼んで、調べてもらいましょう！			この魔物は、今しばらく捕らえておいてください。デミールの遺烈郷に聞き込みに行った際に知り合った、錬金術師さんに頼んで、調べてもらいましょう！			人気の秘訣を追え							
こちらの錬金術師さんが、以前、私の相談に乗ってくださった方です。「捕獲したスポーン・モルボルバルブ」を調べていただきましょう！			こちらの錬金術師さんが、以前、私の相談に乗ってくださった方です。「捕獲したスポーン・モルボルバルブ」を調べていただきましょう！			人気の秘訣を追え							
テペケちゃんから話は聞いてるよ。さっそく、捕獲したスポーン・モルボルバルブを見せてもらえるかい？			テペケちゃんから話は聞いてるよ。さっそく、捕獲したスポーン・モルボルバルブを見せてもらえるかい？			人気の秘訣を追え							
はいはい、たしかに受け取ったよ！魔物とはいえ植物ってことなら、成分の調査は任せておいてちょうだい！			はいはい、たしかに受け取ったよ！魔物とはいえ植物ってことなら、成分の調査は任せておいてちょうだい！			人気の秘訣を追え							
実に興味深い魔物だったよ。結論から伝えると、こいつは自然に生まれた個体ではないね……！			実に興味深い魔物だったよ。結論から伝えると、こいつは自然に生まれた個体ではないね……！			人気の秘訣を追え							
調査の結果、この魔物はまだ幼体だということがわかった。魔物の種や菌糸に、特定の錬金薬を加えることで、無理やり成長させられたんだ！			調査の結果、この魔物はまだ幼体だということがわかった。魔物の種や菌糸に、特定の錬金薬を加えることで、無理やり成長させられたんだ！			人気の秘訣を追え							
その錬金薬には、対象を興奮させる副作用もある。幼体が、自分よりも大きな人間に襲いかかったのも、その影響だろうね。			その錬金薬には、対象を興奮させる副作用もある。幼体が、自分よりも大きな人間に襲いかかったのも、その影響だろうね。			人気の秘訣を追え							
ただ、この錬金薬……。一般に流通してないのはもちろん、希少な素材を要するので、個人で調合を行うには、相当な資金が必要になるはずだよ。			ただ、この錬金薬……。一般に流通してないのはもちろん、希少な素材を要するので、個人で調合を行うには、相当な資金が必要になるはずだよ。			人気の秘訣を追え							
つまり相手は、かなりのお金持ちということですね……？			つまり相手は、かなりのお金持ちということですね……？			人気の秘訣を追え							
ふむ……今まで集めた目撃情報でも、その大半が、小ぶりの魔物に襲われたと証言していました。錬金薬によって生み出された幼体と考えて良さそうですね。			ふむ……今まで集めた目撃情報でも、その大半が、小ぶりの魔物に襲われたと証言していました。錬金薬によって生み出された幼体と考えて良さそうですね。			人気の秘訣を追え							
これほど短期間に多くの魔物退治を行っていることからして、相手は、魔物が順当に育つのを待ってられないのでしょう。なので錬金薬を利用して襲撃を行わせた、と……！			これほど短期間に多くの魔物退治を行っていることからして、相手は、魔物が順当に育つのを待ってられないのでしょう。なので錬金薬を利用して襲撃を行わせた、と……！			人気の秘訣を追え							
