ベントブランチ牧場のルクロは、消えたチョコボの卵探しを依頼したいようだ。			ベントブランチ牧場のルクロは、消えたチョコボの卵探しを依頼したいようだ。			守るべきぬくもり							
ウルダハのために活躍した冒険者へ、女王ナナモは深く感謝しているようだ。その印として、ある品の進呈と晩餐会への招待をしてくれた。女王ナナモに仕えるラウバーンも、活躍目覚ましい冒険者が晩餐会へ出席することを望んでいるようだ。これからも、ウルダハの力になれるよう努めていこう。			ウルダハのために活躍した冒険者へ、女王ナナモは深く感謝しているようだ。その印として、ある品の進呈と晩餐会への招待をしてくれた。女王ナナモに仕えるラウバーンも、活躍目覚ましい冒険者が晩餐会へ出席することを望んでいるようだ。これからも、ウルダハの力になれるよう努めていこう。			至宝の影で蠢く闇							
銀冑団総長室のオワインにオワイン宛の封書を渡す			銀冑団総長室のオワインにオワイン宛の封書を渡す			至宝の影で蠢く闇							
アンホーリーエアーでオワインを待つ			アンホーリーエアーでオワインを待つ			至宝の影で蠢く闇							
銀冑団総長室のパパシャンに報告			銀冑団総長室のパパシャンに報告			至宝の影で蠢く闇							
よかったわ、引き受けてくれるのね。実はね……。			よかったわ、引き受けてくれるのね。実はね……。			至宝の影で蠢く闇							
このウルダハは、対外的には王政をとって、ナナモ女王陛下を元首と仰いでいるわ。			このウルダハは、対外的には王政をとって、ナナモ女王陛下を元首と仰いでいるわ。			至宝の影で蠢く闇							
でも実際は、「砂蠍衆」と呼ばれる6人の有力者による合議制によって動いている……。彼らは圧倒的な富で、政治の実権を握っているの。			でも実際は、「砂蠍衆」と呼ばれる6人の有力者による合議制によって動いている……。彼らは圧倒的な富で、政治の実権を握っているの。			至宝の影で蠢く闇							
……そんなウルダハで、最近ある事件が起きたの。公にはなっていないのだけど、王宮から、王家の象徴である王冠が盗まれたらしいのよ。			……そんなウルダハで、最近ある事件が起きたの。公にはなっていないのだけど、王宮から、王家の象徴である王冠が盗まれたらしいのよ。			至宝の影で蠢く闇							
傀儡の女王だと言われて、ただでさえ肩身の狭い王家が、この事件のために、さらに面目を失ったって聞いたわ。			傀儡の女王だと言われて、ただでさえ肩身の狭い王家が、この事件のために、さらに面目を失ったって聞いたわ。			至宝の影で蠢く闇							
手紙の宛先のオワインさん……。この事件で、王冠が盗まれる原因になったって噂の人なのよ。			手紙の宛先のオワインさん……。この事件で、王冠が盗まれる原因になったって噂の人なのよ。			至宝の影で蠢く闇							
わたしの勘だけど……。この手紙を書いたのって、事件の犯人かもしれないわ。			わたしの勘だけど……。この手紙を書いたのって、事件の犯人かもしれないわ。			至宝の影で蠢く闇							
事件の噂が立った後に、その人に宛て、銀冑団にまで届けに行かせる……。わざと目立つようにしてるのが、どうも引っかかるの。			事件の噂が立った後に、その人に宛て、銀冑団にまで届けに行かせる……。わざと目立つようにしてるのが、どうも引っかかるの。			至宝の影で蠢く闇							
この手紙、あなたが渡しに行ったほうがいいわ。……きっと冒険者の力が必要になる。わたしの名前を出せば、案内してもらえるはずよ。			この手紙、あなたが渡しに行ったほうがいいわ。……きっと冒険者の力が必要になる。わたしの名前を出せば、案内してもらえるはずよ。			至宝の影で蠢く闇							
