トライヨラのボロガーは、冒険者に頼みたいことがあるようだ。			トライヨラのボロガーは、冒険者に頼みたいことがあるようだ。			トラル大陸のモブハント（上級）							
科学者だったお母様から聞いたんだけど、あの金色のおっきなお顔、スフェーン様なんだって！			科学者だったお母様から聞いたんだけど、あの金色のおっきなお顔、スフェーン様なんだって！			アレクサンドリアの王国騎士							
それからあのターミナル……「お墓」とも言ってたよ。きっと、あそこからみんなを見守ってくれてるのね。			それからあのターミナル……「お墓」とも言ってたよ。きっと、あそこからみんなを見守ってくれてるのね。			アレクサンドリアの王国騎士							
建国祭の劇……？アレクサンドリアの歴史を学べるのかしら？			建国祭の劇……？アレクサンドリアの歴史を学べるのかしら？			アレクサンドリアの王国騎士							
お母様と一緒に行ってみるね！招待してくれてありがとう、ウサギさん！			お母様と一緒に行ってみるね！招待してくれてありがとう、ウサギさん！			アレクサンドリアの王国騎士							
またスフェーン様とお話しできたらいいなぁ。私の内緒の話も、なんでも聞いてくれるの！			またスフェーン様とお話しできたらいいなぁ。私の内緒の話も、なんでも聞いてくれるの！			アレクサンドリアの王国騎士							
ここからエアキャブを眺めるのが好きでね。ウサギの着ぐるみを着た人、僕に何か用？			ここからエアキャブを眺めるのが好きでね。ウサギの着ぐるみを着た人、僕に何か用？			アレクサンドリアの王国騎士							
どうせ、いつもと同じ劇の宣伝だろ？僕なんてもう、50回は観てるからね。			どうせ、いつもと同じ劇の宣伝だろ？僕なんてもう、50回は観てるからね。			アレクサンドリアの王国騎士							
なっ、今回はオーティスが本人役で出るって！？そいつはレアだな……。			なっ、今回はオーティスが本人役で出るって！？そいつはレアだな……。			アレクサンドリアの王国騎士							
わかった、君の熱心な仕事ぶりに免じて、観に行ってみるとしよう。			わかった、君の熱心な仕事ぶりに免じて、観に行ってみるとしよう。			アレクサンドリアの王国騎士							
ここからエアキャブを眺めるのが好きなんだよ。僕に用があるなら、エアキャブ以上に気を引くことだね。			ここからエアキャブを眺めるのが好きなんだよ。僕に用があるなら、エアキャブ以上に気を引くことだね。			アレクサンドリアの王国騎士							
このクエストを進行させるには、衣替状態で目的を達成する必要があります。「オーティス」に話しかけて、着替えましょう！			このクエストを進行させるには、衣替状態で目的を達成する必要があります。「オーティス」に話しかけて、着替えましょう！			アレクサンドリアの王国騎士							
