ピーリングストーンズのメ・ラツ・ヌンは、再び冒険者に頼みたいことがあるようだ。			ピーリングストーンズのメ・ラツ・ヌンは、再び冒険者に頼みたいことがあるようだ。			大精霊が宿る木							
1年前の反乱の折、忍びの里からも、帝国に寝返る者が出た。そのせいもあって、里にも大きな被害が出てな……。			1年前の反乱の折、忍びの里からも、帝国に寝返る者が出た。そのせいもあって、里にも大きな被害が出てな……。			ドマ民一揆							
今も残っている忍びたちは、あの日の無念を胸に抱いて、再び忠義を誓い、鍛練を積んできた者たちなのだ。			今も残っている忍びたちは、あの日の無念を胸に抱いて、再び忠義を誓い、鍛練を積んできた者たちなのだ。			ドマ民一揆							
あなたがほかも手伝うって言ってくれるなら、もちろん止めはしないけれど……くれぐれも無理はしないでよね。			あなたがほかも手伝うって言ってくれるなら、もちろん止めはしないけれど……くれぐれも無理はしないでよね。			ドマ民一揆							
さっき、ちょうど一時帰還してきたリセと会ったの。なんだか村の方で問題が起きているみたい。			さっき、ちょうど一時帰還してきたリセと会ったの。なんだか村の方で問題が起きているみたい。			ドマ民一揆							
奥にいるみたいだから、声をかけてあげたらどう？私も、次の仕事にいってくるわ。			奥にいるみたいだから、声をかけてあげたらどう？私も、次の仕事にいってくるわ。			ドマ民一揆							
まいったな……。こっちも武具の数はカツカツか……。			まいったな……。こっちも武具の数はカツカツか……。			ドマ民一揆							
えっ、手を貸してくれるの……？助かるよ、アタシが準備を手伝ってるナマイ村で、ちょっと問題が起きててね……。			えっ、手を貸してくれるの……？助かるよ、アタシが準備を手伝ってるナマイ村で、ちょっと問題が起きててね……。			ドマ民一揆							
今回の作戦、最初にアタシとドマの民で、帝国軍を相手に暴動を起こすことになってるでしょ？……それに使う武具が足りないんだ。			今回の作戦、最初にアタシとドマの民で、帝国軍を相手に暴動を起こすことになってるでしょ？……それに使う武具が足りないんだ。			ドマ民一揆							
烈士庵に予備があればって思って来たんだけど、駄目みたい。これから「イッセ」のところに戻って相談するから、あなたもよければ知恵を貸して！			烈士庵に予備があればって思って来たんだけど、駄目みたい。これから「イッセ」のところに戻って相談するから、あなたもよければ知恵を貸して！			ドマ民一揆							
どうしたものかな……。			どうしたものかな……。			ドマ民一揆							
おっ、話には聞いちゃいたが、あんたも無事に戻ったんだな。心強い、それじゃあさっそく…………			おっ、話には聞いちゃいたが、あんたも無事に戻ったんだな。心強い、それじゃあさっそく…………			ドマ民一揆							
イッセちゃん、言われてたとおり、使えそうな縄を集めておいたよ。			イッセちゃん、言われてたとおり、使えそうな縄を集めておいたよ。			ドマ民一揆							
こっちは農具の刃を研いでるが、やっぱ数が足んねぇんだ。お前んとこ、もう１本くらいクワ持ってねぇか？			こっちは農具の刃を研いでるが、やっぱ数が足んねぇんだ。お前んとこ、もう１本くらいクワ持ってねぇか？			ドマ民一揆							
ああ、ありがとうチグサさん。手が空いたなら、リョウセンさんとこに、手伝いにいってもらえるか？			ああ、ありがとうチグサさん。手が空いたなら、リョウセンさんとこに、手伝いにいってもらえるか？			ドマ民一揆							
それから、うちの農具はもう全部出したって。好きに家に上がっていいから、使えそうなもんがあったら、適当に持って行ってくれ。			それから、うちの農具はもう全部出したって。好きに家に上がっていいから、使えそうなもんがあったら、適当に持って行ってくれ。			ドマ民一揆							
わたしはね、みんなの分のおにぎりつくったよ！……今日こそ、イッセにいが、ユウギリさんとこ届けに行く？			わたしはね、みんなの分のおにぎりつくったよ！……今日こそ、イッセにいが、ユウギリさんとこ届けに行く？			ドマ民一揆							
ばばばばば馬鹿お前、何言ってんだ……！できたなら、早く届けにいってこい！　今すぐっ！			ばばばばば馬鹿お前、何言ってんだ……！できたなら、早く届けにいってこい！　今すぐっ！			ドマ民一揆							
