テイルフェザーのエルヴォワは、とても面倒そうな案件を抱えているようだ。			テイルフェザーのエルヴォワは、とても面倒そうな案件を抱えているようだ。			口より手を							
これは、これは、善良そうな旅のヒト！事情は、グヌバヌから聞いておる。弟がいろいろと世話になっているようで、かたじけない……。			これは、これは、善良そうな旅のヒト！事情は、グヌバヌから聞いておる。弟がいろいろと世話になっているようで、かたじけない……。			黒き悪魔							
グヌバヌよ、お前が自力でやったことといえば、司祭さまの家から地野菜を盗んだことだけか……。それにしても、よく盗めたな？			グヌバヌよ、お前が自力でやったことといえば、司祭さまの家から地野菜を盗んだことだけか……。それにしても、よく盗めたな？			黒き悪魔							
でしょ、でしょ、すごいでしょ！？コッソリ盗むのは得意なんだぞ。兄さんのおやつも、よくいただいてるんだぞぉ！			でしょ、でしょ、すごいでしょ！？コッソリ盗むのは得意なんだぞ。兄さんのおやつも、よくいただいてるんだぞぉ！			黒き悪魔							
いつの間にか減っておると思ったら、お前か！……まぁいい、今は置いておこう。そんなに盗みが得意なら、活かさない手はないな。			いつの間にか減っておると思ったら、お前か！……まぁいい、今は置いておこう。そんなに盗みが得意なら、活かさない手はないな。			黒き悪魔							
……東の「オク・ブンド・ヴァナ」の一角に、嵐を呼ぶ暗雲のごとき不吉な黒鎧どもが、陣取っておる。連中が持ちこみし、ピカピカの珍品……これを盗め、弟よ！			……東の「オク・ブンド・ヴァナ」の一角に、嵐を呼ぶ暗雲のごとき不吉な黒鎧どもが、陣取っておる。連中が持ちこみし、ピカピカの珍品……これを盗め、弟よ！			黒き悪魔							
そ、それって、前に村を襲った、「てーこくへい」っていう怖いヒトたちだろぉ！うーん、うーん……大丈夫かなぁ……。			そ、それって、前に村を襲った、「てーこくへい」っていう怖いヒトたちだろぉ！うーん、うーん……大丈夫かなぁ……。			黒き悪魔							
……うう、うう。怖いけど、これが最後の機会……。よし、わかった……僕はやるぞぉ！			……うう、うう。怖いけど、これが最後の機会……。よし、わかった……僕はやるぞぉ！			黒き悪魔							
で、でも、Forenameも一緒だぞ！？「てーこくへい」を引きつけてもらわなきゃ、盗めないし！……が、が、がんばるぞぉ～！			で、でも、Forenameも一緒だぞ！？「てーこくへい」を引きつけてもらわなきゃ、盗めないし！……が、が、がんばるぞぉ～！			黒き悪魔							
手間をかけて、すまぬ……。今度こそ、うまくいくといいのだが。			手間をかけて、すまぬ……。今度こそ、うまくいくといいのだが。			黒き悪魔							
Forename！　Forename！すっごく、すっごく、怖かった……。だけど僕、ひとりでここまで来れたんだぞ……！			Forename！　Forename！すっごく、すっごく、怖かった……。だけど僕、ひとりでここまで来れたんだぞ……！			黒き悪魔							
そ、それじゃあ、僕がピカピカを盗む間、「てーこくへい」の気を引いてほしいんだぞ。……そうだなぁ、3人くらい、倒しちゃって！			そ、それじゃあ、僕がピカピカを盗む間、「てーこくへい」の気を引いてほしいんだぞ。……そうだなぁ、3人くらい、倒しちゃって！			黒き悪魔							
ああ、ああ、巨大な渡り鳥に睨まれたときくらい、ドキドキしてきたんだぞ……。Forename、一緒にがんばろうね！			ああ、ああ、巨大な渡り鳥に睨まれたときくらい、ドキドキしてきたんだぞ……。Forename、一緒にがんばろうね！			黒き悪魔							
Forenameは、おもいっきり暴れて、「てーこくへい」たちの気を引いてほしいんだぞ。その間に、僕はピカピカを盗んでおくぞ……！			Forenameは、おもいっきり暴れて、「てーこくへい」たちの気を引いてほしいんだぞ。その間に、僕はピカピカを盗んでおくぞ……！			黒き悪魔							
すーはー、すーはー。深呼吸、深呼吸……。			すーはー、すーはー。深呼吸、深呼吸……。			黒き悪魔							
……って、Forename！？もう「てーこくへい」を倒しちゃったの！？僕、まだピカピカを盗めてないぞぉ……！			……って、Forename！？もう「てーこくへい」を倒しちゃったの！？僕、まだピカピカを盗めてないぞぉ……！			黒き悪魔							
い、今から盗みに行こうと思ってたんだ、本当だぞ。だから、もう一度、「てーこくへい」の気を引いてきてよ！あと3人くらい倒しちゃって！			い、今から盗みに行こうと思ってたんだ、本当だぞ。だから、もう一度、「てーこくへい」の気を引いてきてよ！あと3人くらい倒しちゃって！			黒き悪魔							
もう一度、「てーこくへい」の気を引いてきてよ！僕、ピカピカを盗んでおくから……！			もう一度、「てーこくへい」の気を引いてきてよ！僕、ピカピカを盗んでおくから……！			黒き悪魔							
やればできる……やればできるんだ……。			やればできる……やればできるんだ……。			黒き悪魔							
……って、Forename！？もう倒しちゃったの？だから、早いってばぁ！			……って、Forename！？もう倒しちゃったの？だから、早いってばぁ！			黒き悪魔							
ちょうど、今から行こうと思ってたところなんだぞ……！だから、もう一度「てーこくへい」の気を引いてきて！3人くらい、Forenameならいける、いける！			ちょうど、今から行こうと思ってたところなんだぞ……！だから、もう一度「てーこくへい」の気を引いてきて！3人くらい、Forenameならいける、いける！			黒き悪魔							
もう一度、「てーこくへい」の気を引いてきて！Forenameならいける、いける！			もう一度、「てーこくへい」の気を引いてきて！Forenameならいける、いける！			黒き悪魔							
わ～い、やったぞ、やったぞ！Forenameが戦ってる一瞬の隙に、今度こそ、ピカピカを盗み出したんだ！			わ～い、やったぞ、やったぞ！Forenameが戦ってる一瞬の隙に、今度こそ、ピカピカを盗み出したんだ！			黒き悪魔							
これで、青空くらい晴れやかに、儀式を通過できること間違いなしだぞ！さっそく、司祭さまに見せにいくんだぞぉ！			これで、青空くらい晴れやかに、儀式を通過できること間違いなしだぞ！さっそく、司祭さまに見せにいくんだぞぉ！			黒き悪魔							
