ウォーラーの残響のエレンヴィルは、仲間たちに提案したいことがあるようだ。			ウォーラーの残響のエレンヴィルは、仲間たちに提案したいことがあるようだ。			ウクラマトの平和							
ならば今こそ明かしましょう。祭司長は、かの霊峰……ウォーコー・ゾーモーの山頂にて、あなたがたをお待ちしています。			ならば今こそ明かしましょう。祭司長は、かの霊峰……ウォーコー・ゾーモーの山頂にて、あなたがたをお待ちしています。			墓の試練							
へっ……やっぱあの山を登ることになんのかよ。上等だぜ、それでこそ王を決める試練だ！			へっ……やっぱあの山を登ることになんのかよ。上等だぜ、それでこそ王を決める試練だ！			墓の試練							
ウォーコー・ゾーモーへの入口は、ここを出て南に進んだ先。山頂までの道には、獰猛な獣や魔法生物が多く生息しています。どうかお気をつけて。			ウォーコー・ゾーモーへの入口は、ここを出て南に進んだ先。山頂までの道には、獰猛な獣や魔法生物が多く生息しています。どうかお気をつけて。			墓の試練							
ああ、ありがとよ！壁画について教えてくれたこともな！			ああ、ありがとよ！壁画について教えてくれたこともな！			墓の試練							
それじゃ行こうぜ。目指すはここから南にある「ウォーコー・ゾーモー」だ！			それじゃ行こうぜ。目指すはここから南にある「ウォーコー・ゾーモー」だ！			墓の試練							
上等とは言ったけどよ……ここまでひたすら坂を上り下りして、足がパンパンだぜ……。			上等とは言ったけどよ……ここまでひたすら坂を上り下りして、足がパンパンだぜ……。			墓の試練							
ヨカフイ族の歴史を知ろうとしてくださったこと……感謝いたします。			ヨカフイ族の歴史を知ろうとしてくださったこと……感謝いたします。			墓の試練							
ふぅ、さすがにこれだけの山道となると、空気が薄いこともあって息が上がるわね……。			ふぅ、さすがにこれだけの山道となると、空気が薄いこともあって息が上がるわね……。			墓の試練							
って、あなたいつからそこに？言っとくけど、ぜんぜん疲れてなんかないから！			って、あなたいつからそこに？言っとくけど、ぜんぜん疲れてなんかないから！			墓の試練							
ほらほら！アルフィノたちに置いていかれないよう、先に進むわよ！			ほらほら！アルフィノたちに置いていかれないよう、先に進むわよ！			墓の試練							
これが、ウォーコー・ゾーモー……近くで見ると、その高さに圧倒されるわね。			これが、ウォーコー・ゾーモー……近くで見ると、その高さに圧倒されるわね。			墓の試練							
今回ばかりは、俺のガイドは期待しないでくれ。秘境であるウォーコー・ゾーモーについて書かれた文献は、トライヨラにも、ほとんど存在しないんだ。			今回ばかりは、俺のガイドは期待しないでくれ。秘境であるウォーコー・ゾーモーについて書かれた文献は、トライヨラにも、ほとんど存在しないんだ。			墓の試練							
ウクラマトには簡単な治癒魔法をかけておいたよ。ここまでの険しい山道で、足腰に限界がきていたみたいだからね。			ウクラマトには簡単な治癒魔法をかけておいたよ。ここまでの険しい山道で、足腰に限界がきていたみたいだからね。			墓の試練							
山頂を目指す道中で、バクージャジャたちと出くわすかもしれないわね。そのときは、コザマル・カでの借りを返してあげないと！			山頂を目指す道中で、バクージャジャたちと出くわすかもしれないわね。そのときは、コザマル・カでの借りを返してあげないと！			墓の試練							
