エバーキープ前のウクラマトは、冒険者たちに頼みがあるようだ。			エバーキープ前のウクラマトは、冒険者たちに頼みがあるようだ。			護る者、壊す者							
ウヴロに押し負けたシューニェから、地層の採集を依頼された。「深地層の断片」を6個、採集し、ワチュメキメキ万貨街の「シューニェ」へ納品しよう。「深地層の断片」は、採掘師の場合ヤクテル樹海のイクブラーシャ付近で、園芸師の場合ヤクテル樹海のイヨンアソの家々付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			ウヴロに押し負けたシューニェから、地層の採集を依頼された。「深地層の断片」を6個、採集し、ワチュメキメキ万貨街の「シューニェ」へ納品しよう。「深地層の断片」は、採掘師の場合ヤクテル樹海のイクブラーシャ付近で、園芸師の場合ヤクテル樹海のイヨンアソの家々付近で採集できる。※納品は、収集価値「240」以上で可能となりますが、「600」以上で納品した場合、より多くの報酬が得られます。			積み重なる時間							
シューニェに深地層の断片を渡した。そこから「花弁」と似た色味の粒が見つかったものの、小さすぎて同じものだと断定するには至らなかった。ウヴロと冒険者に背中を押されたシューニェは、ほかに手がないか考えてみるそうだ。改めて話を聞きにこよう。			シューニェに深地層の断片を渡した。そこから「花弁」と似た色味の粒が見つかったものの、小さすぎて同じものだと断定するには至らなかった。ウヴロと冒険者に背中を押されたシューニェは、ほかに手がないか考えてみるそうだ。改めて話を聞きにこよう。			積み重なる時間							
イクブラーシャ付近で採集した深地層の断片をシューニェに納品イヨンアソの家々付近で採集した深地層の断片をシューニェに納品採掘師または園芸師になり深地層の断片をシューニェに納品			イクブラーシャ付近で採集した深地層の断片をシューニェに納品イヨンアソの家々付近で採集した深地層の断片をシューニェに納品採掘師または園芸師になり深地層の断片をシューニェに納品			積み重なる時間							
……俺は従業員として、やるべき仕事をこなす。今はただ、それだけだ。			……俺は従業員として、やるべき仕事をこなす。今はただ、それだけだ。			積み重なる時間							
いらっしゃい、Forename。いつも気にかけてくださって、ありがとうございます。			いらっしゃい、Forename。いつも気にかけてくださって、ありがとうございます。			積み重なる時間							
……前回の、ワポタとの一件について覚えていますか？あれから、ウヴロの様子がちょっとおかしくて。			……前回の、ワポタとの一件について覚えていますか？あれから、ウヴロの様子がちょっとおかしくて。			積み重なる時間							
気にする必要はないと言ったはずなんですが、私の過去を聞いてしまったことへの詫びのつもりなのか、すさまじい勢いで働いてるんですよ。			気にする必要はないと言ったはずなんですが、私の過去を聞いてしまったことへの詫びのつもりなのか、すさまじい勢いで働いてるんですよ。			積み重なる時間							
おかげで、あなたに頼む仕事がないんですよねぇ。			おかげで、あなたに頼む仕事がないんですよねぇ。			積み重なる時間							
だったら、今日は例の……「蒼碧の花弁」について、一緒に調べてみないか？			だったら、今日は例の……「蒼碧の花弁」について、一緒に調べてみないか？			積み重なる時間							
……もしやあなた、Forenameが来たらそう誘うつもりで、仕事を前倒しに？			……もしやあなた、Forenameが来たらそう誘うつもりで、仕事を前倒しに？			積み重なる時間							
まあ、その意図がなかったわけじゃない。少しばかり思いついたことがあってな。			まあ、その意図がなかったわけじゃない。少しばかり思いついたことがあってな。			積み重なる時間							
集落の跡地に落ちていたという、あの「花弁」……。			集落の跡地に落ちていたという、あの「花弁」……。			積み重なる時間							
