忘れられた騎士亭前のユステシアは、冒険者に興味があるようだ。			忘れられた騎士亭前のユステシアは、冒険者に興味があるようだ。			イシュガルドのモブハント（中級）							
強制帰国命令ですって……？			強制帰国命令ですって……？			継がれる挑戦							
……つまり、占星魔法はシャーレアンで編み出された知識。議会の決議次第では、それを伝えることすら罪になる……そういうことですか？			……つまり、占星魔法はシャーレアンで編み出された知識。議会の決議次第では、それを伝えることすら罪になる……そういうことですか？			継がれる挑戦							
左様、お祖父様も罪人となる覚悟で、協力してくれた。証をForenameに譲られたのも、かような事情があったのだ。			左様、お祖父様も罪人となる覚悟で、協力してくれた。証をForenameに譲られたのも、かような事情があったのだ。			継がれる挑戦							
それほどの覚悟で……改めて感謝します、レヴェヴァ師。なればこそ、お祖父様の想いに報いるためにも、志をなさねばなりませんね……！			それほどの覚悟で……改めて感謝します、レヴェヴァ師。なればこそ、お祖父様の想いに報いるためにも、志をなさねばなりませんね……！			継がれる挑戦							
ああ、そのとおりだ……そこで、わしは決めた。しばしテイルフェザーに残り、治療活動を続ける。汝らは皇都に戻り、引き続き修練を積んでくれ。			ああ、そのとおりだ……そこで、わしは決めた。しばしテイルフェザーに残り、治療活動を続ける。汝らは皇都に戻り、引き続き修練を積んでくれ。			継がれる挑戦							
Forenameさん、お疲れさまです。テイルフェザーでは、大きな前進がありました。レヴェヴァ師を狙う襲撃者たちも、撃退できましたしね。			Forenameさん、お疲れさまです。テイルフェザーでは、大きな前進がありました。レヴェヴァ師を狙う襲撃者たちも、撃退できましたしね。			継がれる挑戦							
ですが、シャーレアンの「哲学者議会」の動向次第では、レヴェヴァ師が、また狙われる可能性があります。			ですが、シャーレアンの「哲学者議会」の動向次第では、レヴェヴァ師が、また狙われる可能性があります。			継がれる挑戦							
そのときに、レヴェヴァ師の力となれるよう……どうか、引き続き、修練をお願いいたします。			そのときに、レヴェヴァ師の力となれるよう……どうか、引き続き、修練をお願いいたします。			継がれる挑戦							
雲霧街のアルフィノは、引き続き聞きこみをするつもりだ。			雲霧街のアルフィノは、引き続き聞きこみをするつもりだ。			ツケの回収							
アルフィノから、ジブリオンに話を聞いてみるよう頼まれた。イシュガルドの忘れられた騎士亭にいる「ジブリオン」と話そう。			アルフィノから、ジブリオンに話を聞いてみるよう頼まれた。イシュガルドの忘れられた騎士亭にいる「ジブリオン」と話そう。			ツケの回収							
ジブリオンと話した。使いをやれば、「長耳」のヒントをくれるらしい。イシュガルドの宝杖通りにいる「たくましい猟師」と話そう。			ジブリオンと話した。使いをやれば、「長耳」のヒントをくれるらしい。イシュガルドの宝杖通りにいる「たくましい猟師」と話そう。			ツケの回収							
たくましい猟師から新鮮な香草を受け取った。忘れられた騎士亭の「ジブリオン」に「新鮮な香草」を渡そう。			たくましい猟師から新鮮な香草を受け取った。忘れられた騎士亭の「ジブリオン」に「新鮮な香草」を渡そう。			ツケの回収							
