アルザダール通りのグ・ラハ・ティアは、渡したいものがあるようだ。			アルザダール通りのグ・ラハ・ティアは、渡したいものがあるようだ。			闇の戦士の再訪							
俺は大丈夫だ、この程度の怪我なら、すぐに治せる……。それよりも……悪い、リュカオンを頼んだ……！			俺は大丈夫だ、この程度の怪我なら、すぐに治せる……。それよりも……悪い、リュカオンを頼んだ……！			結論と責任							
……ありがとう……それに、巻き込んですまない。			……ありがとう……それに、巻き込んですまない。			結論と責任							
リュカオンは、この先だ。見てのとおり宙に浮いた状態……うまくやらないと、空を駆けて逃げるだろう。			リュカオンは、この先だ。見てのとおり宙に浮いた状態……うまくやらないと、空を駆けて逃げるだろう。			結論と責任							
作戦がある……君はリュカオンの正面に出て、注意を引いてくれ。			作戦がある……君はリュカオンの正面に出て、注意を引いてくれ。			結論と責任							
彼らは炎狼の異名で呼ばれるとおり、炎を吐く。君にも、火球を飛ばしてくるはずだ……。			彼らは炎狼の異名で呼ばれるとおり、炎を吐く。君にも、火球を飛ばしてくるはずだ……。			結論と責任							
申し訳ないが、それに耐えて、正面に立ち続けていてくれ。リュカオンの警戒が君に集中したとき……自分が魔法で不意打ちをかけよう。			申し訳ないが、それに耐えて、正面に立ち続けていてくれ。リュカオンの警戒が君に集中したとき……自分が魔法で不意打ちをかけよう。			結論と責任							
………………よし、行動開始だ！			………………よし、行動開始だ！			結論と責任							
リュカオンの正面に立って、注意を引きつけてくれ。彼の飛ばしてくる火球には気をつけるんだ……！			リュカオンの正面に立って、注意を引きつけてくれ。彼の飛ばしてくる火球には気をつけるんだ……！			結論と責任							
リュカオンの火球が襲い掛かってきた！！			リュカオンの火球が襲い掛かってきた！！			結論と責任							
リュカオンが再び火球を生み出した！！			リュカオンが再び火球を生み出した！！			結論と責任							
あと少し……！そのままリュカオンの正面で、注意を引きつけてくれ！			あと少し……！そのままリュカオンの正面で、注意を引きつけてくれ！			結論と責任							
ここで一段落といこうか。キミも、突然のことばかりで驚いただろう。怪我はしていないかい？			ここで一段落といこうか。キミも、突然のことばかりで驚いただろう。怪我はしていないかい？			結論と責任							
私たちが合流した時点でヘルメスも察していただろうが、残り2体のリュカオンへの対処も、すでに終わっている。			私たちが合流した時点でヘルメスも察していただろうが、残り2体のリュカオンへの対処も、すでに終わっている。			結論と責任							
