不滅隊：作戦本部のダンシング・ウルフ大闘士は、現状に焦れているようだ。			不滅隊：作戦本部のダンシング・ウルフ大闘士は、現状に焦れているようだ。			残留する力をその身に							
ノッチド・ボーンにノッチド・ボーン宛ての手紙を渡す			ノッチド・ボーンにノッチド・ボーン宛ての手紙を渡す			ふたりは仲間ゴブ！							
悪党面の金貸しと話す			悪党面の金貸しと話す			ふたりは仲間ゴブ！							
ノッチド・ボーンと話す			ノッチド・ボーンと話す			ふたりは仲間ゴブ！							
シャーレアン選者街の悪党面の金貸しと話す			シャーレアン選者街の悪党面の金貸しと話す			ふたりは仲間ゴブ！							
イディルシャイアのスローフィクスと話す			イディルシャイアのスローフィクスと話す			ふたりは仲間ゴブ！							
大工房アーキテクトンのドリップウィクスにイディルシャイア印の封筒を渡す			大工房アーキテクトンのドリップウィクスにイディルシャイア印の封筒を渡す			ふたりは仲間ゴブ！							
イディルシャイアのノッチド・ボーンに書類入りの封筒を渡す			イディルシャイアのノッチド・ボーンに書類入りの封筒を渡す			ふたりは仲間ゴブ！							
そうだ、もう一度アンタの力を貸してくれねえか？			そうだ、もう一度アンタの力を貸してくれねえか？			ふたりは仲間ゴブ！							
指圧の一件で、俺たちはここの都市民になると決めた。だから、正式にここの都市民になると申請したいんだ。			指圧の一件で、俺たちはここの都市民になると決めた。だから、正式にここの都市民になると申請したいんだ。			ふたりは仲間ゴブ！							
アンタは、ゴブリン族のリーダーと親しいんだろう？「スローフィクス」に、俺たちのことを話してくれないか？お、俺はまだ、心の準備ができてないからさ……。			アンタは、ゴブリン族のリーダーと親しいんだろう？「スローフィクス」に、俺たちのことを話してくれないか？お、俺はまだ、心の準備ができてないからさ……。			ふたりは仲間ゴブ！							
アンタは、ゴブリン族のリーダーと親しいんだろう？「スローフィクス」に、俺たちのことを話してくれないか？お、俺はまだ、心の準備ができてないからさ……。			アンタは、ゴブリン族のリーダーと親しいんだろう？「スローフィクス」に、俺たちのことを話してくれないか？お、俺はまだ、心の準備ができてないからさ……。			ふたりは仲間ゴブ！							
うおー！　僕はいま、かつてないほど燃えているっす！兄貴のため、イディルシャイアのため、やってやるっす！			うおー！　僕はいま、かつてないほど燃えているっす！兄貴のため、イディルシャイアのため、やってやるっす！			ふたりは仲間ゴブ！							
シュコォ……シュコォ……あらたなおふたり　都市民に？歓迎　歓迎　大歓迎！			シュコォ……シュコォ……あらたなおふたり　都市民に？歓迎　歓迎　大歓迎！			ふたりは仲間ゴブ！							
さっそく　とっとと　おふたりの都市民認定書を　作るゴブ！お名前　教えて　ほしいゴブ！			さっそく　とっとと　おふたりの都市民認定書を　作るゴブ！お名前　教えて　ほしいゴブ！			ふたりは仲間ゴブ！							
ノッチド・ボーンと　デデアン？なんだか　とっても　聞き覚え……たしかに　どっかで　聞き覚え……。			ノッチド・ボーンと　デデアン？なんだか　とっても　聞き覚え……たしかに　どっかで　聞き覚え……。			ふたりは仲間ゴブ！							
そうだ　お手紙　来てたゴブ！「ノッチド・ボーン」宛ての　お手紙ゴブ！彼に　届けてほしいゴブ！			そうだ　お手紙　来てたゴブ！「ノッチド・ボーン」宛ての　お手紙ゴブ！彼に　届けてほしいゴブ！			ふたりは仲間ゴブ！							
そうだ　お手紙　来てたゴブ！「ノッチド・ボーン」に　来てたゴブ！彼に　届けてほしいゴブ！			そうだ　お手紙　来てたゴブ！「ノッチド・ボーン」に　来てたゴブ！彼に　届けてほしいゴブ！			ふたりは仲間ゴブ！							
よう、スローフィクスに話は通せたか！？			よう、スローフィクスに話は通せたか！？			ふたりは仲間ゴブ！							
……ん？　俺宛ての手紙だって？そんなばかな、俺に手紙だなんていったい誰が……。			……ん？　俺宛ての手紙だって？そんなばかな、俺に手紙だなんていったい誰が……。			ふたりは仲間ゴブ！							
(-ノッチド・ボーン宛ての手紙-)「お前がそこにいるのはわかっている。　貸したギル、全額返してもらいに行くから待ってろよ。　今度は絶対に逃さねえから、覚悟しとけ！」			(-ノッチド・ボーン宛ての手紙-)「お前がそこにいるのはわかっている。　貸したギル、全額返してもらいに行くから待ってろよ。　今度は絶対に逃さねえから、覚悟しとけ！」			ふたりは仲間ゴブ！							
あ、あ、あああ、兄貴を追っている金貸しっす！こんなところまで、追ってくるっすか！？			あ、あ、あああ、兄貴を追っている金貸しっす！こんなところまで、追ってくるっすか！？			ふたりは仲間ゴブ！							
……奴が追っているのは俺だ、俺は逃げる。デデアン、お前はここにいろ……。ゴブリン族と、仲良くやれよ。			……奴が追っているのは俺だ、俺は逃げる。デデアン、お前はここにいろ……。ゴブリン族と、仲良くやれよ。			ふたりは仲間ゴブ！							
