あんたが持っているソレは……。もしかして、ミリスの「探検手帳」じゃないか？			あんたが持っているソレは……。もしかして、ミリスの「探検手帳」じゃないか？			蒼天の探検手帳							
あなた方には親子ともども命を救われ、感謝の念に堪えません。あらためまして、お礼をさせていただきたく……。この包みを、シ・ルン様へお渡しください。			あなた方には親子ともども命を救われ、感謝の念に堪えません。あらためまして、お礼をさせていただきたく……。この包みを、シ・ルン様へお渡しください。			抗いと報いと							
私は商談に向かいますので、ここで失礼させていただきます。Forename様、本当にお世話になりました！			私は商談に向かいますので、ここで失礼させていただきます。Forename様、本当にお世話になりました！			抗いと報いと							
尾行の成果はあったぜ！逃げたヤツは海に飛び込んで、小舟が回収していった。……逃亡先は、沖合に停泊した商船のようだ。			尾行の成果はあったぜ！逃げたヤツは海に飛び込んで、小舟が回収していった。……逃亡先は、沖合に停泊した商船のようだ。			抗いと報いと							
商船の素性を洗えば、黒幕に近づけるだろう。よって、次は…………ん？ウィルキン氏から包みを預かったって？			商船の素性を洗えば、黒幕に近づけるだろう。よって、次は…………ん？ウィルキン氏から包みを預かったって？			抗いと報いと							
こいつは、謝礼か？ん……礼状も入ってるな。			こいつは、謝礼か？ん……礼状も入ってるな。			抗いと報いと							
(-ウィルキンの礼状-)シ・ルン様とForename様に感謝いたします。特にシ・ルン様には、娘のみならず、私自身も、二度までも命を救っていただいたことになります。			(-ウィルキンの礼状-)シ・ルン様とForename様に感謝いたします。特にシ・ルン様には、娘のみならず、私自身も、二度までも命を救っていただいたことになります。			抗いと報いと							
(-ウィルキンの礼状-)20年前の動乱のさなか……私は「紅の疾風」に命を救われた、避難民の子どものひとりです。当時と変わらぬあなた様の装束、見紛うはずもありません……。			(-ウィルキンの礼状-)20年前の動乱のさなか……私は「紅の疾風」に命を救われた、避難民の子どものひとりです。当時と変わらぬあなた様の装束、見紛うはずもありません……。			抗いと報いと							
ウィルキン氏は、オレの正体に気づいてたのか。だからこそ、すんなり警護をまかせてくれた……。			ウィルキン氏は、オレの正体に気づいてたのか。だからこそ、すんなり警護をまかせてくれた……。			抗いと報いと							
実はこの装束は、「紅の疾風」時代のものなんだ。オレは故郷を守れなかったが、救えた命もあったんだな。いや…………救われたのは、オレの方かもしれん。			実はこの装束は、「紅の疾風」時代のものなんだ。オレは故郷を守れなかったが、救えた命もあったんだな。いや…………救われたのは、オレの方かもしれん。			抗いと報いと							
別に、同郷のよしみで助けたわけじゃない。他国にもいいヤツがいるし、アラミゴにだって酷いヤツはいる。「抗う力」はただ、救いを求める者に手をさしのべるためにある。			別に、同郷のよしみで助けたわけじゃない。他国にもいいヤツがいるし、アラミゴにだって酷いヤツはいる。「抗う力」はただ、救いを求める者に手をさしのべるためにある。			抗いと報いと							
…………その志を胸に、ずっと戦ってきた。抗いの日々も、少しは報われたってわけだ。力を貸してくれて、礼を言うぜ！			…………その志を胸に、ずっと戦ってきた。抗いの日々も、少しは報われたってわけだ。力を貸してくれて、礼を言うぜ！			抗いと報いと							
忘れられた騎士亭のシドゥルグは、暗黒騎士にとって興味深い話を知っているようだ。			忘れられた騎士亭のシドゥルグは、暗黒騎士にとって興味深い話を知っているようだ。			怒れる男と少女の話							
シドゥルグから、暗黒騎士の極意を追っていると打ち明けられた。彼と冒険者が護ることとなる、忘れられた騎士亭の「リエル」と話そう。			シドゥルグから、暗黒騎士の極意を追っていると打ち明けられた。彼と冒険者が護ることとなる、忘れられた騎士亭の「リエル」と話そう。			怒れる男と少女の話							
