聖フィネア連隊の露営地のエスティニアンは、異端者を呼びつけたいようだ。			聖フィネア連隊の露営地のエスティニアンは、異端者を呼びつけたいようだ。			千年の裏切り							
現在、私たちの仲間が、第三分隊を追跡中です。私も向かうつもりですので、「ハイブリッジ」に赴き、「ドウワレ」さんと合流してください。			現在、私たちの仲間が、第三分隊を追跡中です。私も向かうつもりですので、「ハイブリッジ」に赴き、「ドウワレ」さんと合流してください。			ラウバーンを追って							
現在、私たちの仲間が、第三分隊を追跡中です。私も向かうつもりですので、「ハイブリッジ」に赴き、「ドウワレ」さんと合流してください。			現在、私たちの仲間が、第三分隊を追跡中です。私も向かうつもりですので、「ハイブリッジ」に赴き、「ドウワレ」さんと合流してください。			ラウバーンを追って							
さすがは、ドマの忍び……。その追跡術と情報網は頼りになるな。			さすがは、ドマの忍び……。その追跡術と情報網は頼りになるな。			ラウバーンを追って							
厨房で働く「東方風の女性」……まさか、彼女が「忍びの連絡役」なのか？			厨房で働く「東方風の女性」……まさか、彼女が「忍びの連絡役」なのか？			ラウバーンを追って							
……そろったようだな。こうして「暁」のお二方とともに、「士道」に背きし、裏切り者に立ち向かえること、心の底より喜んでいる次第だ。			……そろったようだな。こうして「暁」のお二方とともに、「士道」に背きし、裏切り者に立ち向かえること、心の底より喜んでいる次第だ。			ラウバーンを追って							
肝心の「ユユハセ」らの行方だが……奴らは、南の「ハラタリ修練所」に向かったようだ。			肝心の「ユユハセ」らの行方だが……奴らは、南の「ハラタリ修練所」に向かったようだ。			ラウバーンを追って							
かの地は「コロセウム財団」の施設だが、例の一件以後は、砂蠍衆のロロリト殿が管理していたらしい。そんな場所に武装兵が向かったとなると、いよいよ怪しい。			かの地は「コロセウム財団」の施設だが、例の一件以後は、砂蠍衆のロロリト殿が管理していたらしい。そんな場所に武装兵が向かったとなると、いよいよ怪しい。			ラウバーンを追って							
「ハラタリ修練所」の様子は、我が同志「ホウザン」が見張っている。彼の下に急ごう。			「ハラタリ修練所」の様子は、我が同志「ホウザン」が見張っている。彼の下に急ごう。			ラウバーンを追って							
ユユハセか……。彼はあの日、私に刃を向けてきた。思い起こしただけで、心がざわついてしまうよ。			ユユハセか……。彼はあの日、私に刃を向けてきた。思い起こしただけで、心がざわついてしまうよ。			ラウバーンを追って							
この装束に身を包むのも久しぶりです。でも、私だって忍びの端くれ……お役に立って見せますよ。			この装束に身を包むのも久しぶりです。でも、私だって忍びの端くれ……お役に立って見せますよ。			ラウバーンを追って							
良いところに来てくださいました。先ほど、クリスタルブレイブ総隊長、イルベルドがやって来て、修練所に入ったところです。			良いところに来てくださいました。先ほど、クリスタルブレイブ総隊長、イルベルドがやって来て、修練所に入ったところです。			ラウバーンを追って							
これはもう「アタリ」ですな。ラウバーン殿は、「ハラタリ修練所」に収監されていると見て、まず間違いないでしょう……。			これはもう「アタリ」ですな。ラウバーン殿は、「ハラタリ修練所」に収監されていると見て、まず間違いないでしょう……。			ラウバーンを追って							
ラウバーン局長の「コロセウム財団」が保有する場所を、処刑場所に選ぶとは……イルベルドめ、何と趣味が悪い。失権したことを思い知らせつつ始末するつもりか……！			ラウバーン局長の「コロセウム財団」が保有する場所を、処刑場所に選ぶとは……イルベルドめ、何と趣味が悪い。失権したことを思い知らせつつ始末するつもりか……！			ラウバーンを追って							
フォルタン伯爵邸のアルフィノは、次の行動について話をしたいようだ。			フォルタン伯爵邸のアルフィノは、次の行動について話をしたいようだ。			ウルダハの今							
ウルダハの情勢を聞くため、アルフィノとともに、メルウィブに会いに行くことになった。リムサ・ロミンサの「提督室」へ向かおう。「提督室」へは、下甲板層のブルワークホールにいる「ザントヘール甲軍曹」が案内してくれるようだ。			ウルダハの情勢を聞くため、アルフィノとともに、メルウィブに会いに行くことになった。リムサ・ロミンサの「提督室」へ向かおう。「提督室」へは、下甲板層のブルワークホールにいる「ザントヘール甲軍曹」が案内してくれるようだ。			ウルダハの今							
メルウィブから、ウルダハの情勢について話を聞いた。ドマの忍びたちが、詳しい情報を調べているらしい。レヴナンツトールのロウェナ記念会館にいる「東方風の女性」と話そう。			メルウィブから、ウルダハの情勢について話を聞いた。ドマの忍びたちが、詳しい情報を調べているらしい。レヴナンツトールのロウェナ記念会館にいる「東方風の女性」と話そう。			ウルダハの今							
