クリスタリウムのハルドルは、冒険者に伝えたいことがあるようだ。			クリスタリウムのハルドルは、冒険者に伝えたいことがあるようだ。			ナッツクランのモブハント（上級）							
動いてはいけません……今、手当を……。			動いてはいけません……今、手当を……。			地は冷たく、空は遠く							
息をゆっくり吐いて……そう、ゆっくり……。大丈夫よ……もう大丈夫……。			息をゆっくり吐いて……そう、ゆっくり……。大丈夫よ……もう大丈夫……。			地は冷たく、空は遠く							
……アルフィノたちは、負傷者の手当をしてるわ。私もこれから、移送を手伝ってくる。			……アルフィノたちは、負傷者の手当をしてるわ。私もこれから、移送を手伝ってくる。			地は冷たく、空は遠く							
それでも、被害が大きすぎて、手が足りてない……。Forename、もしまだ動けるなら、あなたも負傷者を介抱してあげて……。			それでも、被害が大きすぎて、手が足りてない……。Forename、もしまだ動けるなら、あなたも負傷者を介抱してあげて……。			地は冷たく、空は遠く							
終わったら、どこかにライナがいると思うから、探して指示を仰ぐといいわ。……それじゃあ、行ってくるわね。			終わったら、どこかにライナがいると思うから、探して指示を仰ぐといいわ。……それじゃあ、行ってくるわね。			地は冷たく、空は遠く							
気を強く持って……。大丈夫よ、次のアマロで、クリスタリウムに運ぶわ。			気を強く持って……。大丈夫よ、次のアマロで、クリスタリウムに運ぶわ。			地は冷たく、空は遠く							
あ……ぅ……ぁ…………。			あ……ぅ……ぁ…………。			地は冷たく、空は遠く							
瀕死の負傷兵は、すがるように手を握ってきた。その目に、涙が浮かんでいる……。			瀕死の負傷兵は、すがるように手を握ってきた。その目に、涙が浮かんでいる……。			地は冷たく、空は遠く							
……ぁ……ぃ…………。			……ぁ……ぃ…………。			地は冷たく、空は遠く							
ぁ……ありがとう、ございます……。けど、俺……罪喰いの攻撃、受けて…………。			ぁ……ありがとう、ございます……。けど、俺……罪喰いの攻撃、受けて…………。			地は冷たく、空は遠く							
