潮風亭のエストリルドは、道行く人を見定めているようだ。			潮風亭のエストリルドは、道行く人を見定めているようだ。			ベテラン・モブハント（初級）							
数日前のこと、私が当番だったもので、筋違砦の周辺を見回りしていたのですが……その際、見たこともない魔物の群れに、襲撃されたのです。			数日前のこと、私が当番だったもので、筋違砦の周辺を見回りしていたのですが……その際、見たこともない魔物の群れに、襲撃されたのです。			深淵なるはアメノミハシラ							
なんとか撃退したのち、周辺の捜索を行いましたところ、物置小屋の床に、見知らぬ隠し戸が開いているじゃありませんか。驚いて調べると、地下に奇妙な装置が設置されていたのです。			なんとか撃退したのち、周辺の捜索を行いましたところ、物置小屋の床に、見知らぬ隠し戸が開いているじゃありませんか。驚いて調べると、地下に奇妙な装置が設置されていたのです。			深淵なるはアメノミハシラ							
さらに驚くべきは、装置に触れるや否や、私は、魔物ひしめく伏魔殿へと転移されたこと……。			さらに驚くべきは、装置に触れるや否や、私は、魔物ひしめく伏魔殿へと転移されたこと……。			深淵なるはアメノミハシラ							
私ごときの技量では、探索はあまりにも無謀と判断。命からがら魔物の巣窟より逃げ帰り、頭領へ報告した次第です。			私ごときの技量では、探索はあまりにも無謀と判断。命からがら魔物の巣窟より逃げ帰り、頭領へ報告した次第です。			深淵なるはアメノミハシラ							
報告を受けた後、俺の方でも調べてみたんだが、転送先はアメノミハシラの内部のようだ。……それが、この話の厄介な点でな。			報告を受けた後、俺の方でも調べてみたんだが、転送先はアメノミハシラの内部のようだ。……それが、この話の厄介な点でな。			深淵なるはアメノミハシラ							
エオルゼアからいらしたSurname殿が、疑問に思うのも当然でしょう。アメノミハシラは、いわゆる聖地なのです。			エオルゼアからいらしたSurname殿が、疑問に思うのも当然でしょう。アメノミハシラは、いわゆる聖地なのです。			深淵なるはアメノミハシラ							
神代の時代、最初に紅玉海へと降り立った神々は、オノコロ島を創り、そこにアメノミハシラを築いたのだとか……。一説には、天から地へ神々を導く階段だとも言われております。			神代の時代、最初に紅玉海へと降り立った神々は、オノコロ島を創り、そこにアメノミハシラを築いたのだとか……。一説には、天から地へ神々を導く階段だとも言われております。			深淵なるはアメノミハシラ							
ともかく、神々が創ったものであるからと、オノコロ島とアメノミハシラは、長らく禁足地とされてきた。			ともかく、神々が創ったものであるからと、オノコロ島とアメノミハシラは、長らく禁足地とされてきた。			深淵なるはアメノミハシラ							
だが、俺たちは神をも恐れぬ海賊衆。誰も足を踏み入れぬならばと、この島に陣取り、砦を築いて、自分たちの拠点としてきたのだ。			だが、俺たちは神をも恐れぬ海賊衆。誰も足を踏み入れぬならばと、この島に陣取り、砦を築いて、自分たちの拠点としてきたのだ。			深淵なるはアメノミハシラ							
そんな俺たちが、アメノミハシラは魔物の巣窟だったと騒げば……いや、騒がずとも、あの柱の探索を大々的に始めれば、どうなると思う？			そんな俺たちが、アメノミハシラは魔物の巣窟だったと騒げば……いや、騒がずとも、あの柱の探索を大々的に始めれば、どうなると思う？			深淵なるはアメノミハシラ							
人々の海賊衆に対する感情は、間違いなく悪化するでしょう。信心深い者たちが、実力行使に出るかもしれません。			人々の海賊衆に対する感情は、間違いなく悪化するでしょう。信心深い者たちが、実力行使に出るかもしれません。			深淵なるはアメノミハシラ							
