「暁の血盟」のラドルフは、冒険者に頼みたいことがあるようだ。			「暁の血盟」のラドルフは、冒険者に頼みたいことがあるようだ。			スカルバレーの女丈夫							
……覚悟しろ、サカナ野郎どもめ！地図が書き変わるほどの艦砲射撃を食らわせてやる！しかる後、我ら陸戦隊が奴らを掃討、蹂躙してみせよう！			……覚悟しろ、サカナ野郎どもめ！地図が書き変わるほどの艦砲射撃を食らわせてやる！しかる後、我ら陸戦隊が奴らを掃討、蹂躙してみせよう！			憎しみの潮流を越えて							
……ええい、くどいぞ！　もはや交渉の余地などない！長官を拉致した卑劣な蛮族にかける情けなどあるものか！復讐するは我にあり！			……ええい、くどいぞ！　もはや交渉の余地などない！長官を拉致した卑劣な蛮族にかける情けなどあるものか！復讐するは我にあり！			憎しみの潮流を越えて							
敵は悪名高き「紅珊瑚の海魔」と聞く……。しかし、相手にとって不足なし！必ずや長官を助け出し、蛮族に正義の鉄槌を食らわせるのだ！			敵は悪名高き「紅珊瑚の海魔」と聞く……。しかし、相手にとって不足なし！必ずや長官を助け出し、蛮族に正義の鉄槌を食らわせるのだ！			憎しみの潮流を越えて							
フスィーッ……やはり……もはや、ヒト勢力を止める術はない……か。			フスィーッ……やはり……もはや、ヒト勢力を止める術はない……か。			憎しみの潮流を越えて							
このままでは大きな戦いになる……そして、どちらが勝とうとも、報復が報復を呼び、産卵地の確保などできなくなるだろう……。			このままでは大きな戦いになる……そして、どちらが勝とうとも、報復が報復を呼び、産卵地の確保などできなくなるだろう……。			憎しみの潮流を越えて							
フスィーッ……こうなれば最後の手段だ！私とお前、2人でズゥグの野望を阻止する…………それしかあるまい！			フスィーッ……こうなれば最後の手段だ！私とお前、2人でズゥグの野望を阻止する…………それしかあるまい！			憎しみの潮流を越えて							
フスィーッ……Forename。まず、捕虜となったヒトの要人を救出するため、捕らわれている居場所をつきとめる必要がある。			フスィーッ……Forename。まず、捕虜となったヒトの要人を救出するため、捕らわれている居場所をつきとめる必要がある。			憎しみの潮流を越えて							
要人を拉致するほどの大掛かりな作戦……となれば、「珊瑚の銛」の奴らも、「海蛇の舌」を使っているだろう。アジトの「海蛇の巣穴」に行けば、手がかりがあるやもしれん！			要人を拉致するほどの大掛かりな作戦……となれば、「珊瑚の銛」の奴らも、「海蛇の舌」を使っているだろう。アジトの「海蛇の巣穴」に行けば、手がかりがあるやもしれん！			憎しみの潮流を越えて							
フスィーッ……頼むぞ、Forename！時は一刻を争う！			フスィーッ……頼むぞ、Forename！時は一刻を争う！			憎しみの潮流を越えて							
フスィーッ……急ぎ「海蛇の舌」のアジトである、「海蛇の巣穴」に向かうのだ！今回の計画を記した、手がかりが見つかるやもしれん！			フスィーッ……急ぎ「海蛇の舌」のアジトである、「海蛇の巣穴」に向かうのだ！今回の計画を記した、手がかりが見つかるやもしれん！			憎しみの潮流を越えて							
フスィーッ……Forename、どうだ！？何か手がかりはあったか？			フスィーッ……Forename、どうだ！？何か手がかりはあったか？			憎しみの潮流を越えて							
これは「要人拉致計画書」か！なるほど……要人は、「海蛇の舌」どもの海賊船、「ダッチェス号」に拘禁されているのか……！			これは「要人拉致計画書」か！なるほど……要人は、「海蛇の舌」どもの海賊船、「ダッチェス号」に拘禁されているのか……！			憎しみの潮流を越えて							
フスィーッ……Forename！今すぐ「エルブスト」で計画書に記された海域に向かい、「ダッチェス号」へと乗りこむのだ！			フスィーッ……Forename！今すぐ「エルブスト」で計画書に記された海域に向かい、「ダッチェス号」へと乗りこむのだ！			憎しみの潮流を越えて							
私も準備が整い次第、後を追う！フスィーッ……頼むぞ！			私も準備が整い次第、後を追う！フスィーッ……頼むぞ！			憎しみの潮流を越えて							
フスィーッ……今すぐ育成地の「エルブスト」を使い、「ダッチェス号」に乗りこめ！私も準備が整い次第、後を追う！			フスィーッ……今すぐ育成地の「エルブスト」を使い、「ダッチェス号」に乗りこめ！私も準備が整い次第、後を追う！			憎しみの潮流を越えて							
フスィーッ……親父から話は聞いている！もたもたするな、早く乗れ！			フスィーッ……親父から話は聞いている！もたもたするな、早く乗れ！			憎しみの潮流を越えて							
エルブストに乗る？			エルブストに乗る？			憎しみの潮流を越えて							
はい			はい			憎しみの潮流を越えて							
いいえ			いいえ			憎しみの潮流を越えて							
くっ……離せ！私をどうするつもりだ！？			くっ……離せ！私をどうするつもりだ！？			憎しみの潮流を越えて							
(-珊瑚の銛の兵士-)フスィーッ……黙れ、ヒレナシ！妙なマネすると、首筋にパックリとエラを切りこむぞ！貴様らは、水中で息すらできんのだろう？			(-珊瑚の銛の兵士-)フスィーッ……黙れ、ヒレナシ！妙なマネすると、首筋にパックリとエラを切りこむぞ！貴様らは、水中で息すらできんのだろう？			憎しみの潮流を越えて							
みくびってもらってはこまるな……！そんな脅しが通用するとでも思ったか！？我々は、貴様らの卑劣な暴力などには、決して屈しない！			みくびってもらってはこまるな……！そんな脅しが通用するとでも思ったか！？我々は、貴様らの卑劣な暴力などには、決して屈しない！			憎しみの潮流を越えて							
